"island","isl.rastCell"
"Anacapa","3602"
"Anacapa","3603"
"Anacapa","3604"
"Anacapa","3605"
"Anacapa","3607"
"Anacapa","3608"
"Anacapa","3609"
"Anacapa","3610"
"Anacapa","3853"
"Anacapa","3854"
"Anacapa","3855"
"Anacapa","3856"
"Anacapa","3857"
"Anacapa","3858"
"Santa Cruz","1808"
"Santa Cruz","1809"
"Santa Cruz","1810"
"Santa Cruz","1811"
"Santa Cruz","1812"
"Santa Cruz","2058"
"Santa Cruz","2059"
"Santa Cruz","2060"
"Santa Cruz","2061"
"Santa Cruz","2062"
"Santa Cruz","2063"
"Santa Cruz","2064"
"Santa Cruz","2065"
"Santa Cruz","2066"
"Santa Cruz","2307"
"Santa Cruz","2308"
"Santa Cruz","2309"
"Santa Cruz","2310"
"Santa Cruz","2311"
"Santa Cruz","2312"
"Santa Cruz","2313"
"Santa Cruz","2314"
"Santa Cruz","2315"
"Santa Cruz","2316"
"Santa Cruz","2317"
"Santa Cruz","2319"
"Santa Cruz","2320"
"Santa Cruz","2321"
"Santa Cruz","2322"
"Santa Cruz","2323"
"Santa Cruz","2341"
"Santa Cruz","2559"
"Santa Cruz","2560"
"Santa Cruz","2561"
"Santa Cruz","2562"
"Santa Cruz","2563"
"Santa Cruz","2564"
"Santa Cruz","2565"
"Santa Cruz","2566"
"Santa Cruz","2567"
"Santa Cruz","2568"
"Santa Cruz","2569"
"Santa Cruz","2570"
"Santa Cruz","2571"
"Santa Cruz","2572"
"Santa Cruz","2573"
"Santa Cruz","2574"
"Santa Cruz","2575"
"Santa Cruz","2576"
"Santa Cruz","2588"
"Santa Cruz","2589"
"Santa Cruz","2590"
"Santa Cruz","2591"
"Santa Cruz","2592"
"Santa Cruz","2810"
"Santa Cruz","2811"
"Santa Cruz","2812"
"Santa Cruz","2813"
"Santa Cruz","2814"
"Santa Cruz","2815"
"Santa Cruz","2816"
"Santa Cruz","2817"
"Santa Cruz","2818"
"Santa Cruz","2819"
"Santa Cruz","2820"
"Santa Cruz","2821"
"Santa Cruz","2822"
"Santa Cruz","2823"
"Santa Cruz","2824"
"Santa Cruz","2825"
"Santa Cruz","2826"
"Santa Cruz","2827"
"Santa Cruz","2828"
"Santa Cruz","2837"
"Santa Cruz","2838"
"Santa Cruz","2839"
"Santa Cruz","2840"
"Santa Cruz","2841"
"Santa Cruz","2842"
"Santa Cruz","2843"
"Santa Cruz","2844"
"Santa Cruz","3061"
"Santa Cruz","3062"
"Santa Cruz","3063"
"Santa Cruz","3064"
"Santa Cruz","3065"
"Santa Cruz","3066"
"Santa Cruz","3067"
"Santa Cruz","3068"
"Santa Cruz","3069"
"Santa Cruz","3070"
"Santa Cruz","3071"
"Santa Cruz","3072"
"Santa Cruz","3073"
"Santa Cruz","3074"
"Santa Cruz","3075"
"Santa Cruz","3076"
"Santa Cruz","3077"
"Santa Cruz","3078"
"Santa Cruz","3079"
"Santa Cruz","3087"
"Santa Cruz","3088"
"Santa Cruz","3089"
"Santa Cruz","3090"
"Santa Cruz","3091"
"Santa Cruz","3092"
"Santa Cruz","3093"
"Santa Cruz","3094"
"Santa Cruz","3095"
"Santa Cruz","3312"
"Santa Cruz","3313"
"Santa Cruz","3314"
"Santa Cruz","3315"
"Santa Cruz","3316"
"Santa Cruz","3317"
"Santa Cruz","3318"
"Santa Cruz","3319"
"Santa Cruz","3320"
"Santa Cruz","3321"
"Santa Cruz","3322"
"Santa Cruz","3323"
"Santa Cruz","3324"
"Santa Cruz","3325"
"Santa Cruz","3326"
"Santa Cruz","3327"
"Santa Cruz","3328"
"Santa Cruz","3329"
"Santa Cruz","3330"
"Santa Cruz","3331"
"Santa Cruz","3332"
"Santa Cruz","3333"
"Santa Cruz","3336"
"Santa Cruz","3337"
"Santa Cruz","3338"
"Santa Cruz","3339"
"Santa Cruz","3340"
"Santa Cruz","3341"
"Santa Cruz","3342"
"Santa Cruz","3343"
"Santa Cruz","3344"
"Santa Cruz","3561"
"Santa Cruz","3562"
"Santa Cruz","3563"
"Santa Cruz","3564"
"Santa Cruz","3565"
"Santa Cruz","3566"
"Santa Cruz","3567"
"Santa Cruz","3568"
"Santa Cruz","3569"
"Santa Cruz","3570"
"Santa Cruz","3571"
"Santa Cruz","3572"
"Santa Cruz","3573"
"Santa Cruz","3574"
"Santa Cruz","3575"
"Santa Cruz","3576"
"Santa Cruz","3577"
"Santa Cruz","3578"
"Santa Cruz","3579"
"Santa Cruz","3580"
"Santa Cruz","3581"
"Santa Cruz","3582"
"Santa Cruz","3583"
"Santa Cruz","3584"
"Santa Cruz","3585"
"Santa Cruz","3586"
"Santa Cruz","3587"
"Santa Cruz","3588"
"Santa Cruz","3589"
"Santa Cruz","3590"
"Santa Cruz","3591"
"Santa Cruz","3592"
