kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,MASTER_ELIM,sci_name,,needs review,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA,assign by island
,,,,,abelia grandifolia,ELIM,abelia grandifolia,K- hort plant,,0,,,,,,,,,
,,,,,abies concolor,ELIM,abies concolor,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia latifolia,KEEP,abronia latifolia,,,1,1,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia maritima,KEEP,abronia maritima,,,7,1,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia maritima subsp. maritima,KEEP,abronia maritima,,,7,1,1,1,1,,1,1,1,
,,,,,abronia maritima x umbellata,,abronia maritima x umbellata,,Yes,0,,,,,,,,,
,,,,,abronia umbellata subsp. breviflora,ELIM,abronia umbellata subsp. breviflora,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia alba,KEEP,abronia umbellata var. umbellata,,,6,1,1,1,,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia insularis,KEEP,abronia umbellata var. umbellata,,,6,1,1,1,,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia neurophylla,KEEP,abronia umbellata var. umbellata,,,6,1,1,1,,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata,KEEP,abronia umbellata var. umbellata,,,6,1,1,1,,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata subsp. alba,KEEP,abronia umbellata var. umbellata,,,6,1,1,1,,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata subsp. umbellata,KEEP,abronia umbellata var. umbellata,,,6,1,1,1,,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata var. umbellata,KEEP,abronia umbellata var. umbellata,,,6,1,1,1,,,1,1,1,
,,,,,abronia umbellata x abronia maritima,,abronia umbellata x abronia maritima,,Yes,0,,,,,,,,,
,,,,,abronia villosa,ELIM,abronia villosa,,,0,,,,,,,,,
,,,,,abutilon californicum,ELIM,abutilon californicum,,,0,,,,,,,,,
,,,,,abutilon theophrasti,ELIM,abutilon theophrasti,,,0,,,,,,,,,
,,,,,acacia baileyana,ELIM,acacia baileyana,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia cyclops,KEEP,acacia cyclops,,,1,,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia dealbata,,acacia dealbata,,Yes,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia decurrens,KEEP,acacia decurrens,,,1,,,,,,,,1,
,,,,,acacia iteaphylla,ELIM,acacia iteaphylla,,,0,,,,,,,,,
,,,,,acacia longifolia,ELIM,acacia longifolia,,,0,,,,,,,,,
,,,,,acacia mearnsii,ELIM,acacia mearnsii,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia melanoxylon,KEEP,acacia melanoxylon,,,2,,,1,,,,,1,
,,,,,acacia paradoxa,ELIM,acacia paradoxa,,,0,,,,,,,,,
,,,,,acacia podalyriifolia,ELIM,acacia podalyriifolia,,,0,,,,,,,,,
,,,,,acacia pycnantha,ELIM,acacia pycnantha,,,0,,,,,,,,,
,,,,,acacia saligna,ELIM,acacia redolens,,,0,,,,,,,,,
,,,,,acaciella goldmanii,ELIM,acaciella goldmanii,K- hort,,0,,,,,,,,,
,,,,,acalypha californica,ELIM,acalypha californica,,,0,,,,,,,,,
,,,,,acanthomintha obovata,ELIM,acanthomintha obovata,,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,acer macrophyllum,KEEP,acer macrophyllum,,,1,,,1,,,,,,
