Latitude,Longitude,lat_round,long_round,lat_long,locality,count,centroid
34.0759,-119.9158,34.0759,-119.9158,"34.0759, -119.9158",West Point Santa Cruz Island,1,
34.075,-120.3697,34.075,-120.3697,"34.075, -120.3697",San Miguel Island: W of Triangulation Pt White Flag Harris Pt,1,
34.075,-120.3697,34.075,-120.3697,"34.075, -120.3697","San Miguel Island: W of Triangulation Pt White Flag, Harris Pt",1,
34.075,-120.369,34.075,-120.369,"34.075, -120.369","San Miguel Island: Harris Pt, just E of Triangulation Pt White Flag",3,
34.075,-120.3681,34.075,-120.3681,"34.075, -120.3681","San Miguel Island: SW side of hill, tip of Harris Pt",1,
34.075,-120.3681,34.075,-120.3681,"34.075, -120.3681",San Miguel Island: tip of Harris Pt,1,
34.075,-119.916667,34.075,-119.9167,"34.075, -119.9167","Santa Cruz Island; NW coastal flats, near road on N side of west Point Ridge, 0.4 mile from road summit, at bottom of grade",1,
34.075,-119.9158,34.075,-119.9158,"34.075, -119.9158",Santa Cruz Island: West Pt,3,
34.075,-119.9141,34.075,-119.9141,"34.075, -119.9141",Santa Cruz Island: West Pt,11,
34.075,-119.9141,34.075,-119.9141,"34.075, -119.9141","Santa Cruz Island, at West Point, W end of the island",1,
34.075,-119.9141,34.075,-119.9141,"34.075, -119.9141",Santa Cruz Island: West Pt near Forney Cove,1,
34.075,-119.9141,34.075,-119.9141,"34.075, -119.9141",Santa Cruz Island; at West Point,1,
34.0748,-119.9135,34.0748,-119.9135,"34.0748, -119.9135","Santa Cruz Island: first drainage gully E of West Point, N of W end of saddle where rd to Painted Cave crosses ridgetop",1,
34.0745,-120.3671,34.0745,-120.3671,"34.0745, -120.3671",San Miguel Island: NE slope near top of Harris Pt,1,
34.0742,-120.3672,34.0742,-120.3672,"34.0742, -120.3672","San Miguel Island: S of Triangulation Pt White Flag, Harris Pt",2,
34.074,-119.9185,34.074,-119.9185,"34.074, -119.9185",Santa Cruz Island: just N of summit of saddle to N of West Pt,1,
34.074,-119.9185,34.074,-119.9185,"34.074, -119.9185",Santa Cruz Island: N of West Pt Benchmark,1,
34.074,-119.9185,34.074,-119.9185,"34.074, -119.9185",Santa Cruz Island: near West Pt,1,
34.074,-119.9185,34.074,-119.9185,"34.074, -119.9185",Santa Cruz Island: NW tip of West Pt,1,
34.0739,-119.9163,34.0739,-119.9163,"34.0739, -119.9163","Santa Cruz Island: S of West Point, N side of West Point ridge.",1,
34.0732,-119.918,34.0732,-119.918,"34.0732, -119.918","Santa Cruz Island: coastal bluffs just W of Santa Cruz West Latitude Station 717, West Pt peninsula",7,
34.0732,-119.918,34.0732,-119.918,"34.0732, -119.918","Santa Cruz Island: coastal bluffs just W of Santa Cruz West Stn 717, West Pt peninsula",1,
34.0732,-119.918,34.0732,-119.918,"34.0732, -119.918","Santa Cruz Island: just W of Santa Cruz West Latitude Station 717, West Pt peninsula",1,
34.0731,-119.9177,34.0731,-119.9177,"34.0731, -119.9177",Santa Cruz Island: at Triangulation Point 717,1,
34.0731,-119.9177,34.0731,-119.9177,"34.0731, -119.9177","Santa Cruz Island: bluff ca. 30 feet W of Triangulation Pt 717, just S of West Pt",1,
