scientificName,acceptedName
Abies concolor,Abies concolor
Abronia latifolia,Abronia latifolia
Abronia maritima,Abronia maritima
Abronia maritima subsp. maritima,Abronia maritima 
Abronia umbellata,Abronia umbellata
Abronia umbellata subsp. breviflora,Abronia umbellata subsp. breviflora
Abronia alba,Abronia umbellata var. umbellata
Abronia insularis,Abronia umbellata var. umbellata
Abronia neurophylla,Abronia umbellata var. umbellata
Abronia umbellata subsp. alba,Abronia umbellata var. umbellata
Abronia umbellata subsp. umbellata,Abronia umbellata var. umbellata
Abronia umbellata var. umbellata,Abronia umbellata var. umbellata
Abronia villosa,Abronia villosa
Abutilon theophrasti,Abutilon theophrasti
Acacia baileyana,Acacia baileyana
Acacia cyclops,Acacia cyclops
Acacia dealbata,Acacia dealbata
Acacia decurrens,Acacia decurrens
Acacia iteaphylla,Acacia iteaphylla
Acacia longifolia,Acacia longifolia
Acacia mearnsii,Acacia mearnsii
Acacia melanoxylon,Acacia melanoxylon
Acacia paradoxa,Acacia paradoxa
Acacia podalyriifolia,Acacia podalyriifolia
Acacia pycnantha,Acacia pycnantha
Acacia saligna,Acacia redolens
Acanthomintha obovata,Acanthomintha obovata
Acer macrophyllum,Acer macrophyllum
Achillea lanulosa,Achillea millefolium
Achillea millefolium,Achillea millefolium
Achillea millefolium var. arenicola,Achillea millefolium
Achillea millefolium var. borealis,Achillea millefolium
Achillea millefolium var. californica,Achillea millefolium
Achillea millefolium var. lanulosa,Achillea millefolium
Stipa coronata,Achnatherum coronatum
Achnatherum diegoense,Achnatherum diegoense
Stipa diegoensis,Achnatherum diegoense
Achyrachaena mollis,Achyrachaena mollis
Acmispon americanus,Acmispon americanus
Acmispon americanus var. americanus,Acmispon americanus var. americanus
Lotus unifoliolatus,Acmispon americanus var. americanus
Acmispon argophyllus,Acmispon argophyllus
Lotus argophyllus,Acmispon argophyllus
Acmispon argophyllus var. adsurgens,Acmispon argophyllus var. adsurgens
Lotus argophyllus var. adsurgens,Acmispon argophyllus var. adsurgens
Acmispon argophyllus var. argenteus,Acmispon argophyllus var. argenteus
Lotus argophyllus subsp. ornithopus,Acmispon argophyllus var. argenteus
Lotus argophyllus var. argenteus,Acmispon argophyllus var. argenteus
