kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,assign by island,needs review,MASTER_ELIM,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
,,,,,abelia grandifolia,,,Yes,,0,,,,,,,,
,,,,,abies concolor,abies concolor,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia alba,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia insularis,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia latifolia,abronia latifolia,,,KEEP,1,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia maritima,abronia maritima,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia maritima subsp. maritima,abronia maritima,,,KEEP,7,1,1,1,1,,1,1,1
,,,,,abronia maritima x umbellata,,,Yes,,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia neurophylla,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata subsp. alba,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
,,,,,abronia umbellata subsp. breviflora,abronia umbellata subsp. breviflora,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata subsp. umbellata,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata var. umbellata,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
,,,,,abronia umbellata x abronia maritima,,,Yes,,0,,,,,,,,
,,,,,abronia villosa,abronia villosa,,,ELIM,0,,,,,,,,
,,,,,abutilon californicum,abutilon californicum,,,ELIM,0,,,,,,,,
,,,,,abutilon theophrasti,abutilon theophrasti,,,ELIM,0,,,,,,,,
,,,,,acacia baileyana,acacia baileyana,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia cyclops,acacia cyclops,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia dealbata,acacia dealbata,,Problem - check if keep,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia decurrens,acacia decurrens,,,KEEP,1,,,,,,,,1
,,,,,acacia iteaphylla,acacia iteaphylla,,,ELIM,0,,,,,,,,
,,,,,acacia longifolia,acacia longifolia,,,ELIM,0,,,,,,,,
,,,,,acacia mearnsii,acacia mearnsii,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acacia melanoxylon,acacia melanoxylon,,,KEEP,2,,,1,,,,,1
,,,,,acacia paradoxa,acacia paradoxa,,,ELIM,0,,,,,,,,
,,,,,acacia podalyriifolia,acacia podalyriifolia,,,ELIM,0,,,,,,,,
,,,,,acacia pycnantha,acacia pycnantha,,,ELIM,0,,,,,,,,
,,,,,acacia saligna,acacia redolens,,,ELIM,0,,,,,,,,
,,,,,acaciella goldmanii,,,Yes,,0,,,,,,,,
,,,,,acalypha californica,acalypha californica,,,ELIM,0,,,,,,,,
,,,,,acanthomintha obovata,acanthomintha obovata,,,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,acanthoxanthium spinosum,xanthium spinosum,,,KEEP,5,1,1,1,,1,,,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,acer macrophyllum,acer macrophyllum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea lanulosa,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. arenicola,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. borealis,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. californica,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. lanulosa,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,achnatherum diegoense,stipa diegoensis,,,KEEP,5,1,1,1,1,,1,,
