kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,species check,sci_name,assign by island,needs review,MASTER_ELIM,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
,,,,,diplacus australis,diplacus x australis,diplacus x australis,,CHECK CLUMP,ELIM,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,grindelia camporum var. bracteosa x stricta var. platyphylla,grindelia camporum var. bracteosa x stricta var. platyphylla,,,CHECK CLUMP,ELIM,0,,,,,,,,
,,,,,mimulus aurantiacus,mimulus aurantiacus,mimulus aurantiacus,,CHECK CLUMP,ELIM,0,,,,,,,,
,,,,,mimulus aurantiacus var. aurantiacus,mimulus aurantiacus var. aurantiacus,mimulus aurantiacus var. aurantiacus,,CHECK CLUMP,ELIM,0,,,,,,,,
,,,,,mimulus clementinus,mimulus clementinus,mimulus clementinus,,CHECK CLUMP,ELIM,0,,,,,,,,
,,,,,mimulus nasutus,mimulus nasutus,mimulus nasutus,,CHECK CLUMP,ELIM,0,,,,,,,,
,,,,,malacothrix saxatilis var. arachnoidea,malacothrix saxatilis var. arachnoidea,malacothrix saxatilis var. arachnoidea,,"CHECK CLUMP - Keep subspecies, bump to species, or take richness bloat?",ELIM,0,,,,,,,,
,,,,,malacothrix saxatilis var. commutata,malacothrix saxatilis var. commutata,malacothrix saxatilis var. commutata,,"CHECK CLUMP - Keep subspecies, bump to species, or take richness bloat?",ELIM,0,,,,,,,,
,,,,,acmispon argophyllus var. fremontii,acmispon argophyllus var. fremontii,acmispon argophyllus var. fremontii,,Check cluster,ELIM,0,,,,,,,,
,,,,,cercocarpus montanus var. glaber,cercocarpus betuloides var. betulodies,cercocarpus betuloides var. betulodies,,,ELIM,0,,,,,,,,
,,,,,cercocarpus betuloides var. betuloides,cercocarpus betuloides var. betuloides,cercocarpus betuloides var. betuloides,,,ELIM,0,,,,,,,,
,,,,,cercocarpus betuloides var. multiflorus,cercocarpus betuloides var. multiflorus,cercocarpus betuloides var. multiflorus,,,ELIM,0,,,,,,,,
,,,,,cercocarpus ledifolius,cercocarpus ledifolius,cercocarpus ledifolius,,,ELIM,0,,,,,,,,
,,,,,cercocarpus montanus,cercocarpus montanus,cercocarpus montanus,,,ELIM,0,,,,,,,,
,,,,,abies concolor,abies concolor,abies concolor,,,ELIM,0,,,,,,,,
,,,,,abronia umbellata subsp. breviflora,abronia umbellata subsp. breviflora,abronia umbellata subsp. breviflora,,,ELIM,0,,,,,,,,
,,,,,abronia villosa,abronia villosa,abronia villosa,,,ELIM,0,,,,,,,,
,,,,,abutilon californicum,abutilon californicum,abutilon californicum,,,ELIM,0,,,,,,,,
,,,,,abutilon theophrasti,abutilon theophrasti,abutilon theophrasti,,,ELIM,0,,,,,,,,
,,,,,acacia baileyana,acacia baileyana,acacia baileyana,,,ELIM,0,,,,,,,,
,,,,,acacia iteaphylla,acacia iteaphylla,acacia iteaphylla,,,ELIM,0,,,,,,,,
,,,,,acacia longifolia,acacia longifolia,acacia longifolia,,,ELIM,0,,,,,,,,
,,,,,acacia mearnsii,acacia mearnsii,acacia mearnsii,,,ELIM,0,,,,,,,,
,,,,,acacia paradoxa,acacia paradoxa,acacia paradoxa,,,ELIM,0,,,,,,,,
,,,,,acacia podalyriifolia,acacia podalyriifolia,acacia podalyriifolia,,,ELIM,0,,,,,,,,
,,,,,acacia pycnantha,acacia pycnantha,acacia pycnantha,,,ELIM,0,,,,,,,,
,,,,,acacia saligna,acacia redolens,acacia redolens,,,ELIM,0,,,,,,,,
,,,,,acalypha californica,acalypha californica,acalypha californica,,,ELIM,0,,,,,,,,
,,,,,acanthomintha obovata,acanthomintha obovata,acanthomintha obovata,,,ELIM,0,,,,,,,,
,,,,,stipa coronata,achnatherum coronatum,achnatherum coronatum,,,ELIM,0,,,,,,,,
,,,,,acmispon glaber,acmispon glaber,acmispon glaber,,,ELIM,0,,,,,,,,
,,,,,lotus scoparius,acmispon glaber,acmispon glaber,,,ELIM,0,,,,,,,,
,,,,,lotus scoparius subsp. scoparius,acmispon glaber var. glaber,acmispon glaber var. glaber,,,ELIM,0,,,,,,,,
,,,,,acmispon glaber var. glaber,acmispon glaber var. glaber,acmispon glaber var. glaber,,,ELIM,0,,,,,,,,
,,,,,lotus scoparius var. scoparius,acmispon glaber var. glaber,acmispon glaber var. glaber,,,ELIM,0,,,,,,,,
