kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,Sort by island?,Needs_review,MASTER_ELIM,Total isls,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia alba,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia insularis,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia maritima,abronia maritima,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia maritima subsp. maritima,abronia maritima,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia neurophylla,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata subsp. alba,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata subsp. umbellata,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,abronia umbellata var. umbellata,abronia umbellata var. umbellata,,,KEEP,6,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,acanthoxanthium spinosum,xanthium spinosum,,,KEEP,5,1,1,1,,1,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea lanulosa,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. arenicola,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. borealis,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. californica,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,achillea millefolium var. lanulosa,achillea millefolium,,,KEEP,8,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,achnatherum diegoense,stipa diegoensis,,,KEEP,5,1,1,1,1,,1,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,achnatherum miliaceum,stipa miliacea var. miliacea,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon americanus,acmispon americanus var. americanus,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon americanus var. americanus,acmispon americanus var. americanus,,,KEEP,2,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus,acmispon argophyllus,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. adsurgens,acmispon argophyllus var. adsurgens,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. argenteus,acmispon argophyllus var. argenteus,,,KEEP,5,,1,,,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. argophyllus,acmispon argophyllus var. argophyllus,,,Problem - check if keep,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. niveus,acmispon argophyllus var. niveus,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon brachycarpus,acmispon brachycarpus,,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus,acmispon dendroideus,assign by island,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. dendroideus,acmispon dendroideus var. dendroideus,assign by island,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. traskiae,acmispon dendroideus var. traskiae,assign by island,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. veatchii,acmispon dendroideus var. veatchii,assign by island,,KEEP,0,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon grandiflorus,acmispon grandiflorus var. grandiflorus,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon grandiflorus var. grandiflorus,acmispon grandiflorus var. grandiflorus,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon heermannii,acmispon heermannii var. heermannii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon heermannii var. heermannii,acmispon heermannii var. heermannii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus,acmispon maritimus var. maritimus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus subsp. maritimus,acmispon maritimus var. maritimus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon maritimus var. maritimus,acmispon micranthus,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon micranthus,acmispon micranthus,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon parviflorus,acmispon parviflorus,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon strigosus,acmispon strigosus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon subpinnatus,acmispon strigosus,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon wrangelianus,acmispon wrangelianus,,,KEEP,5,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,acourtia microcephala,acourtia microcephala,,,KEEP,3,,1,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum,adenostoma fasciculatum,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum var. fasciculatum,adenostoma fasciculatum,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,adenostoma fasciculatum var. prostratum,adenostoma fasciculatum,,,KEEP,4,,1,1,,,,1,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum jordani,adiantum jordanii,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,adiantum jordanii,adiantum jordanii,,,KEEP,7,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris grandiflora,agoseris grandiflora var. grandiflora,,,KEEP,3,1,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,agoseris grandiflora var. grandiflora,agoseris grandiflora var. grandiflora,,,KEEP,3,1,1,1,,,,,
