kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA,needs_info
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,coreopsis gigantea,leptosyne gigantea,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,lonicera hispidula,lonicera hispidula,Keep,,1,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,pseudognaphalium microcephalum,pseudognaphalium microcephalum,Keep,,1,1,1,1,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,viola pedunculata,viola pedunculata,Keep,,1,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,solanum wallacei,solanum wallacei,Keep,,1,1,,,,,1,""
,,,,,solanum umbelliferum,solanum umbelliferum,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lupinus truncatus,lupinus truncatus,Keep,,1,1,1,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ambrosia chamissonis,ambrosia chamissonis,Keep,1,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,atriplex leucophylla,atriplex leucophylla,Keep,1,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Namaceae,eriodictyon traskiae,eriodictyon traskiae subsp. traskiae,Keep,,,,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,stachys bullata,stachys bullata,Keep,,1,1,1,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,nassella lepida,stipa lepida,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,spergularia macrotheca,spergularia macrotheca,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,meconella denticulata,meconella denticulata,Keep,,,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,artemisia dracunculus,artemisia dracunculus,Keep,,,,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia floribunda,phacelia floribunda,Keep,,,,,1,,1,,""
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia cicutaria var. hubbyi,phacelia hubbyi,Keep,,,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,polypogon monspeliensis,polypogon monspeliensis,Keep,1,1,1,1,1,1,1,1,""
,,,,,malacothrix philbrickii,malacothrix philbrickii,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,urtica urens,urtica urens,Keep,1,1,1,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Phrymaceae,diplacus longiflorus,diplacus longiflorus,Keep,,1,1,,,,,,""
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,polypodium californicum,polypodium californicum,Keep,,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,urtica dioica var. holosericea,urtica dioica subsp. holosericea,Keep,,,1,1,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,amsinckia intermedia,amsinckia intermedia,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus traskiae,astragalus traskiae,Keep,,,,,1,1,,,""
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,agrostis exarata,agrostis exarata,Keep,,,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,marah macrocarpus,marah macrocarpa,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,stephanomeria blairii,munzothamnus blairii,Keep,,,,,,,1,,""
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,platystemon californicus,platystemon californicus,Keep,1,1,1,1,1,1,,1,""
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,stellaria media,stellaria media,Keep,1,1,1,1,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Alismatales,Zosteraceae,phyllospadix torreyi,phyllospadix torreyi,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,ceanothus arboreus,ceanothus arboreus,Keep,,1,1,,,,,1,""
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus muricata,pinus muricata var. muricata,Keep,,1,1,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Phrymaceae,mimulus aurantiacus,mimulus aurantiacus,Elim,,,,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus bufonius,juncus bufonius var. bufonius,Keep,1,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,thysanocarpus laciniatus var. laciniatus,thysanocarpus laciniatus,Keep,,1,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,micropus californicus var. californicus,micropus californicus var. californicus,Keep,,1,1,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,pholistoma auritum,pholistoma auritum var. auritum,Keep,,,1,,1,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,tillaea erecta,crassula connata,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,ribes viburnifolium,ribes viburnifolium,Keep,,,,,,,,1,""
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus torreyana subsp. insularis,pinus torreyana subsp. insularis,Keep,,1,,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,vulpia bromoides,festuca bromoides,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,quercus agrifolia,quercus agrifolia var. agrifolia,Keep,,1,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,sidalcea malviflora,sidalcea malviflora subsp. malviflora,Keep,1,1,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,artemisia californica,artemisia californica,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus miguelensis,astragalus miguelensis,Keep,1,1,1,1,,,1,,""
,,,,,quercus dumosa,quercus dumosa,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,rosa californica,rosa californica,Keep,,1,1,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Crossosomatales,Crossosomataceae,crossosoma californicum,crossosoma californicum,Keep,,,,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,rhus ovata,rhus ovata,Keep,,,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis douglasii,baccharis glutinosa,Keep,1,1,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,salix lasiolepis,salix lasiolepis,Keep,1,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos catalinae,arctostaphylos catalinae,Keep,,,,,,,,1,""
