kingdom_final,phylum_final,class_final,order_final,family_final,old_name,new_datasetname,syn_replace,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Achatocarpaceae,Phaulothamnus spinescens,Phaulothamnus spinescens,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus glauca,Sambucus nigra subsp. caerulea,,Keep,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus nigra subsp. cerulea,Sambucus nigra subsp. caerulea,,Keep,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus cerulea,Sambucus nigra subsp. caerulea,,Keep,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus mexicana,Sambucus nigra subsp. caerulea,,Keep,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus nigra subsp. caerulea,Sambucus nigra subsp. caerulea,,Keep,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,Agave americana,Agave americana,,Keep,,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,Chlorogalum pomeridianum var. pomeridianum,Chlorogalum pomeridianum var. pomeridianum,,Keep,,1,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,Chlorogalum pomeridianum,Chlorogalum pomeridianum var. pomeridianum,,Keep,,1,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum cordifolium,Aptenia cordifolia,,Keep,,,,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Aptenia cordifolia,Aptenia cordifolia,,Keep,,,,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum chilense,Carpobrotus chilensis,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus aequilaterus,Carpobrotus chilensis,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus chilensis,Carpobrotus chilensis,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus edulis,Carpobrotus edulis,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Delosperma litorale,Delosperma litorale,,Keep,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Malephora crocea,Malephora crocea,,Keep,,,,1,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Sesuvium verrucosum,Sesuvium verrucosum,,Keep,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Tetragonia tetragonioides,Tetragonia tetragonioides,,Keep,1,1,1,1,,1,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium lacunosum,Allium lacunosum var. lacunosum,,Keep,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium lacunosum var. lacunosum,Allium lacunosum var. lacunosum,,Keep,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium peninsulare var. peninsulare,Allium peninsulare var. peninsulare,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium peninsulare,Allium peninsulare var. peninsulare,,Elim,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium praecox,Allium praecox,,Keep,1,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus albus,Amaranthus albus,,Keep,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus blitoides,Amaranthus blitoides,,Keep,,1,1,,,,,
