Family,OG_spname,Eliminate,Updated_name
Pinaceae,Abies concolor,1,
Nyctaginaceae,Abronia latifolia,,
Nyctaginaceae,Abronia maritima ,,
Nyctaginaceae,Abronia umbellata,,
Nyctaginaceae,Abronia umbellata subsp. breviflora,1,
Nyctaginaceae,Abronia umbellata var. umbellata,,
Nyctaginaceae,Abronia villosa,1,
Fabaceae,Acacia baileyana,1,
Fabaceae,Acacia cyclops,,
Fabaceae,Acacia dealbata,,
Fabaceae,Acacia decurrens,,
Fabaceae,Acacia iteaphylla,1,
Fabaceae,Acacia longifolia,1,
Fabaceae,Acacia mearnsii,1,
Fabaceae,Acacia melanoxylon,,
Fabaceae,Acacia paradoxa,1,
Fabaceae,Acacia podalyriifolia,1,
Fabaceae,Acacia pycnantha,1,
Fabaceae,Acacia redolens,1,
Lamiaceae,Acanthomintha obovata,1,
Sapindaceae,Acer macrophyllum,,
Asteraceae,Achillea millefolium,,
Poaceae,Achnatherum coronatum,1,
Poaceae,Achnatherum diegoense,,Stipa diegoensis
Asteraceae,Achyrachaena mollis,,
Fabaceae,Acmispon americanus,,Acmispon americanus var. americanus
Fabaceae,Acmispon americanus var. americanus,,
Fabaceae,Acmispon argophyllus,,
Fabaceae,Acmispon argophyllus var. adsurgens,,
Fabaceae,Acmispon argophyllus var. argenteus,,
Fabaceae,Acmispon argophyllus var. argophyllus,,
Fabaceae,Acmispon argophyllus var. fremontii,1,
Fabaceae,Acmispon argophyllus var. niveus,,
Fabaceae,Acmispon brachycarpus,,
Fabaceae,Acmispon dendroideus,,
Fabaceae,Acmispon dendroideus var. dendroideus,,
Fabaceae,Acmispon dendroideus var. traskiae,,
Fabaceae,Acmispon dendroideus var. veatchii,,
Fabaceae,Acmispon glaber,1,
Fabaceae,Acmispon glaber var. glaber,1,
Fabaceae,Acmispon grandiflorus,,Acmispon grandiflorus var. grandiflorus
Fabaceae,Acmispon grandiflorus var. grandiflorus,,
Fabaceae,Acmispon heermannii,,Acmispon heermannii var. heermannii
Fabaceae,Acmispon heermannii var. heermannii,,
Fabaceae,Acmispon maritimus,,Acmispon maritimus var. maritimus
Fabaceae,Acmispon maritimus var. maritimus,,
Fabaceae,Acmispon micranthus,,
Fabaceae,Acmispon parviflorus,,
Fabaceae,Acmispon strigosus,,
Fabaceae,Acmispon wrangelianus,,
Asteraceae,Acourtia microcephala,,
Rosaceae,Adenostoma fasciculatum,,
Rosaceae,Adenostoma fasciculatum var. fasciculatum,,
Rosaceae,Adenostoma fasciculatum var. prostratum,,
Poaceae,Aegilops cylindrica,,
Crassulaceae,Aeonium haworthii,1,
Agavaceae,Agave americana,,
Asteraceae,Agoseris apargioides,,
Asteraceae,Agoseris grandiflora,,
Asteraceae,Agoseris grandiflora var. grandiflora,,
Asteraceae,Agoseris heterophylla,,
