Family,Taxa_name,Syn,Eliminate,assign_by_island,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Adoxaceae,Sambucus nigra subsp. caerulea,,,,,1,1,,,,1,1
Agavaceae,Agave americana,,,,,1,1,,,1,1,1
Agavaceae,Chlorogalum pomeridianum var. pomeridianum,,,,,1,,,,,,1
Aizoaceae,Aptenia cordifolia,,,,,,,1,,,,1
Aizoaceae,Carpobrotus chilensis,,,,1,1,1,1,,1,1,1
Aizoaceae,Carpobrotus edulis,,,,1,1,1,1,,1,1,1
Aizoaceae,Delosperma litorale,,,,,,,,,1,,
Aizoaceae,Malephora crocea,,,,,,,1,,1,1,
Aizoaceae,Mesembryanthemum crystallinum,,,,1,1,1,1,1,1,1,1
Aizoaceae,Mesembryanthemum nodiflorum,,,,1,1,1,1,1,1,1,1
Aizoaceae,Sesuvium verrucosum,,,,,,,,,,1,
Aizoaceae,Tetragonia tetragonioides,,,,1,1,1,1,,1,,1
Alliaceae,Allium lacunosum var. lacunosum,,,,,1,1,,,,,
Alliaceae,Allium peninsulare var. peninsulare,,elim,,,,,,,,,
Alliaceae,Allium praecox,,,,1,1,1,,,,1,1
Amaranthaceae,Amaranthus albus,,,,,1,1,1,,,,1
Amaranthaceae,Amaranthus blitoides,,,,,1,1,,,,,
Amaranthaceae,Amaranthus deflexus,,,,,,1,,,,,1
Amaranthaceae,Amaranthus powellii,,,,,,1,1,,,,
Amaryllidaceae,Narcissus tazetta,,elim,,,,,,,,,
Anacardiaceae,Malosma laurina,,,,,,,,,,1,1
Anacardiaceae,Rhus integrifolia,,,,1,1,1,1,,,1,1
Anacardiaceae,Rhus ovata,,,,,,1,,,,1,1
Anacardiaceae,Schinus molle,,,,,1,1,,,1,1,1
Anacardiaceae,Toxicodendron diversilobum,,,,1,1,1,1,,1,1,1
Apiaceae,Apiastrum angustifolium,,,,1,1,1,1,1,1,1,1
Apiaceae,Apium graveolens,,,,,1,1,,,1,1,
Apiaceae,Berula erecta,,,,1,,1,,,1,,
Apiaceae,Bowlesia incana,,,,,1,1,,,,1,1
Apiaceae,Conium maculatum,,,,,,1,,,1,1,
Apiaceae,Daucus carota,,,,,,,,,1,,
Apiaceae,Daucus pusillus,,,,1,1,1,1,1,1,1,1
Apiaceae,Foeniculum vulgare,,,,1,1,1,,,1,1,1
Apiaceae,Lomatium caruifolium var. caruifolium,,,,1,1,1,,,,,
Apiaceae,Lomatium insulare,,,,,,,,,1,1,
Apiaceae,Lomatium utriculatum,,,,1,1,1,,,,,
Apiaceae,Sanicula arguta,,,,1,1,1,1,,1,1,1
Apiaceae,Sanicula crassicaulis,,,,,,,,,,,1
Apiaceae,Sanicula hoffmannii,,,,,1,1,,,,,
Apiaceae,Torilis arvensis,,,,,,1,,,,,1
Apiaceae,Torilis nodosa,,,,1,1,1,,,1,,1
Apiaceae,Yabea microcarpa,,,,,,1,,,,1,1
Apocynaceae,Asclepias fascicularis,,,,,1,1,,,,,1
Apocynaceae,Funastrum cynanchoides  var. hartwegii ,,,,,,,,,,,1
Apocynaceae,Vinca major,,,,,,1,,,,,1
Araceae,Zantedeschia aethiopica,,elim,,1,,,,,,,
Arecaceae,Phoenix canariensis,,,,,,,,,,,1
Arecaceae,Washingtonia filifera ,,,,1,,1,,,,,1
Arecaceae,Washingtonia robusta,,,,,,,,,,,1
Asparagaceae,Asparagus asparagoides,,,,,,,,,1,,1
Asparagaceae,Asparagus officinalis subsp. officinalis,,,,,,,,,,,1
Asphodelaceae,Asphodelus fistulosus,,,,,,,,,,1,
Asteraceae,Achillea millefolium,,,,1,1,1,1,1,1,1,1
Asteraceae,Achyrachaena mollis,,,,,1,1,,,,1,1
Asteraceae,Acourtia microcephala,,,,,1,1,,,,,1
Asteraceae,Agoseris apargioides,,,,,1,,,,,,
Asteraceae,Agoseris grandiflora,Agoseris grandiflora var. grandiflora,,,1,1,1,,,,,
Asteraceae,Agoseris grandiflora var. grandiflora,,,,1,1,1,,,,,
Asteraceae,Agoseris heterophylla,,,,,1,,,,,,
Asteraceae,Amblyopappus pusillus,,,,1,1,1,1,1,1,1,1
Asteraceae,Ambrosia acanthicarpa,,,,,,,,,,,1
