kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,MASTER_ELIM,sci_name,needs review,assign_by_island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. dendroideus,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus dendroideus,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. dendroideus,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. dendroideus,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. traskiae,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. traskiae,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius subsp. traskiae,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. veatchii,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. veatchii,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. veatchii,KEEP,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia,KEEP,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia,KEEP,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia subsp. cheiranthifolia,KEEP,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia subsp. cheiranthifolia,KEEP,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia subsp. suffruticosa,KEEP,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia subsp. suffruticosa,KEEP,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia guadalupensis subsp. clementina,KEEP,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis guadalupensis,KEEP,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis guadalupensis subsp. clementina,KEEP,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,oenothera guadalupensis subsp. clementina,KEEP,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,delphinium parryi,KEEP,delphinium parryi,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,delphinium parryi subsp. maritimum,KEEP,delphinium parryi,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,delphinium parryi subsp. parryi,KEEP,delphinium parryi,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae,KEEP,dudleya blochmaniae,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae subsp. blochmaniae,KEEP,dudleya blochmaniae,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae subsp. insularis,KEEP,dudleya blochmaniae,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,hasseanthus blochmaniae subsp. insularis,KEEP,dudleya blochmaniae,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens,KEEP,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya hassei,KEEP,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens subsp. hassei,KEEP,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens subsp. insularis,KEEP,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens subsp. virens,KEEP,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens var. virens,KEEP,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum,KEEP,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum subsp. compactum,KEEP,eriogonum giganteum,assign subsp by island,assign subsp by island
