kingdom_final,phylum_final,class_final,order_final,family_final,old_name,new_datasetname,count_in_dataset,syn_replace,josie's comments/instructions,comments back,assign_by_island,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum,Eriogonum giganteum,123,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum subsp. compactum,Eriogonum giganteum var. compactum,2,,will sort in next pass,,assign by island,assign by island,,,,,1,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. compactum,Eriogonum giganteum var. compactum,43,,will sort in next pass,,assign by island,assign by island,,,,,1,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum subsp. formosum,Eriogonum giganteum var. formosum,3,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. formosum,Eriogonum giganteum var. formosum,61,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum giganteum var. giganteum,Eriogonum giganteum var. giganteum,100,,will sort in next pass,,assign by island,assign by island,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande,Eriogonum grande,149,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. grande,Eriogonum grande var. grande,202,,will sort in next pass,,assign by island,assign by island,,,1,1,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande subsp. rubescens,Eriogonum grande var. rubescens,5,,will sort in next pass,,assign by island,assign by island,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. dunklei,Eriogonum grande var. rubescens,11,,will sort in next pass,,assign by island,assign by island,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. rubescens,Eriogonum grande var. rubescens,149,,will sort in next pass,,assign by island,assign by island,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande subsp. timorum,Eriogonum grande var. timorum,10,,will sort in next pass,,assign by island,assign by island,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum grande var. timorum,Eriogonum grande var. timorum,53,,will sort in next pass,,assign by island,assign by island,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus dendroideus,Acmispon dendroideus,10,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus,Acmispon dendroideus,23,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus scoparius var. dendroideus,Acmispon dendroideus var. dendroideus,16,,will sort in next pass,,assign by island,assign by island,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. dendroideus,Acmispon dendroideus var. dendroideus,137,,will sort in next pass,,assign by island,assign by island,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus dendroideus var. dendroideus,Acmispon dendroideus var. dendroideus,155,,will sort in next pass,,assign by island,assign by island,,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus scoparius subsp. traskiae,Acmispon dendroideus var. traskiae,1,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus dendroideus var. traskiae,Acmispon dendroideus var. traskiae,30,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. traskiae,Acmispon dendroideus var. traskiae,62,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus dendroideus var. veatchii,Acmispon dendroideus var. veatchii,2,,will sort in next pass,,assign by island,assign by island,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lotus scoparius var. veatchii,Acmispon dendroideus var. veatchii,5,,will sort in next pass,,assign by island,assign by island,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon dendroideus var. veatchii,Acmispon dendroideus var. veatchii,51,,will sort in next pass,,assign by island,assign by island,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium angustifolium,Galium angustifolium,52,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium angustifolium subsp. angustifolium,Galium angustifolium subsp. angustifolium,54,,will sort in next pass,,assign by island,assign by island,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium angustifolium var. foliosum,Galium angustifolium subsp. foliosum,2,,will sort in next pass,,assign by island,assign by island,,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium angustifolium subsp. foliosum,Galium angustifolium subsp. foliosum,228,,will sort in next pass,,assign by island,assign by island,,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium catalinense,Galium catalinense,124,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium catalinense subsp. acrispum,Galium catalinense subsp. acrispum,82,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium catalinense subsp. catalinense,Galium catalinense subsp. catalinense,60,,will sort in next pass,,assign by island,assign by island,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvastrum nesioticum,Malacothamnus fasciculatus,2,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malacothamnus fasciculatus,Malacothamnus fasciculatus,92,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malacothamnus fasciculatus subsp. catalinensis,Malacothamnus fasciculatus var. catalinensis,2,,will sort in next pass,,assign by island,assign by island,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malacothamnus fasciculatus var. catalinensis,Malacothamnus fasciculatus var. catalinensis,23,,will sort in next pass,,assign by island,assign by island,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malacothamnus fasciculatus var. nesioticus,Malacothamnus fasciculatus var. nesioticus,29,,will sort in next pass,,assign by island,assign by island,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Lavatera assurgentiflora,Malva assurgentiflora,11,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Lavatera assurgentiflora subsp. glabra,Malva assurgentiflora,26,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Lavatera assurgentiflora subsp. assurgentiflora,Malva assurgentiflora,75,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva assurgentiflora,Malva assurgentiflora,227,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva assurgentiflora subsp. glabra,Malva assurgentiflora,,,will sort in next pass,,assign by island,assign by island,,,,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva assurgentiflora subsp. assurgentiflora,Malva assurgentiflora,,,will sort in next pass,,assign by island,assign by island,1,1,1,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissonia cheiranthifolia,Camissoniopsis cheiranthifolia,9,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissoniopsis cheiranthifolia,Camissoniopsis cheiranthifolia,137,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissonia cheiranthifolia subsp. cheiranthifolia,Camissoniopsis cheiranthifolia subsp. cheiranthifolia,62,,will sort in next pass,,assign by island,assign by island,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissoniopsis cheiranthifolia subsp. cheiranthifolia,Camissoniopsis cheiranthifolia subsp. cheiranthifolia,84,,will sort in next pass,,assign by island,assign by island,1,1,1,,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissonia cheiranthifolia subsp. suffruticosa,Camissoniopsis cheiranthifolia subsp. suffruticosa,7,,will sort in next pass,,assign by island,assign by island,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissoniopsis cheiranthifolia subsp. suffruticosa,Camissoniopsis cheiranthifolia subsp. suffruticosa,9,,will sort in next pass,,assign by island,assign by island,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera guadalupensis subsp. clementina,Camissoniopsis guadalupensis subsp. clementina,2,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissonia guadalupensis subsp. clementina,Camissoniopsis guadalupensis subsp. clementina,21,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissoniopsis guadalupensis,Camissoniopsis guadalupensis subsp. clementina,33,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissoniopsis guadalupensis subsp. clementina,Camissoniopsis guadalupensis subsp. clementina,36,,will sort in next pass,,assign by island,assign by island,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium parryi,Delphinium parryi,62,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium parryi subsp. maritimum,Delphinium parryi subsp. maritimum,77,,will sort in next pass,,assign by island,assign by island,1,1,1,1,,,,1
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Delphinium parryi subsp. parryi,Delphinium parryi subsp. parryi,22,,will sort in next pass,,assign by island,assign by island,,,1,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus aspleniifolius,Lyonothamnus floribundus,1,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus,Lyonothamnus floribundus,153,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus var. aspleniifolius,Lyonothamnus floribundus subsp. aspleniifolius,50,,will sort in next pass,,assign by island,assign by island,,,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus subsp. aspleniifolius,Lyonothamnus floribundus subsp. aspleniifolius,263,,will sort in next pass,,assign by island,assign by island,,,1,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Lyonothamnus floribundus subsp. floribundus,Lyonothamnus floribundus subsp. floribundus,157,,will sort in next pass,,assign by island,assign by island,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Dudleya virens,Dudleya virens,158,,will sort in next pass,,assign by island,assign by island,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Dudleya hassei,Dudleya virens subsp. hassei,28,,will sort in next pass,,assign by island,assign by island,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Dudleya virens subsp. hassei,Dudleya virens subsp. hassei,46,,will sort in next pass,,assign by island,assign by island,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Dudleya virens subsp. insularis,Dudleya virens subsp. insularis,45,,will sort in next pass,,assign by island,assign by island,,,,,,1,,1
