kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,syn_replace,assign_by_island,Eliminate
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. traskiae,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. traskiae,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius subsp. traskiae,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. veatchii,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. veatchii,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. veatchii,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia subsp. cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia subsp. cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia subsp. suffruticosa,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia subsp. suffruticosa,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis guadalupensis,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
