kingdom,phylum,class,order,Family_5,scientificName,sciname_3,count,assign_by_island,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus cerulea,Sambucus nigra subsp. caerulea,17,NA,Keep,NA,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus glauca,Sambucus nigra subsp. caerulea,1,NA,Keep,NA,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus mexicana,Sambucus nigra subsp. caerulea,49,NA,Keep,NA,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus nigra subsp. caerulea,Sambucus nigra subsp. caerulea,78,NA,Keep,NA,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus nigra subsp. cerulea,Sambucus nigra subsp. caerulea,15,NA,Keep,NA,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,Agave americana,Agave americana,13,NA,Keep,NA,1,1,NA,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,Chlorogalum pomeridianum,Chlorogalum pomeridianum var. pomeridianum,8,NA,Keep,NA,1,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Agavaceae,Chlorogalum pomeridianum var. pomeridianum,Chlorogalum pomeridianum var. pomeridianum,2,NA,Keep,NA,1,NA,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Aptenia cordifolia,Aptenia cordifolia,7,NA,Keep,NA,NA,NA,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum cordifolium,Aptenia cordifolia,1,NA,Keep,NA,NA,NA,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus aequilaterus,Carpobrotus chilensis,2,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus chilensis,Carpobrotus chilensis,68,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum chilense,Carpobrotus chilensis,1,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus edulis,Carpobrotus edulis,28,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Delosperma litorale,Delosperma litorale,2,NA,Keep,NA,NA,NA,NA,NA,1,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Malephora crocea,Malephora crocea,32,NA,Keep,NA,NA,NA,1,NA,1,1,NA
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,210,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum,246,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Sesuvium verrucosum,Sesuvium verrucosum,12,NA,Keep,NA,NA,NA,NA,NA,NA,1,NA
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Tetragonia tetragonioides,Tetragonia tetragonioides,64,NA,Keep,1,1,1,1,NA,1,NA,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium lacunosum,Allium lacunosum var. lacunosum,5,NA,Keep,NA,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium lacunosum var. lacunosum,Allium lacunosum var. lacunosum,14,NA,Keep,NA,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium peninsulare,Allium peninsulare var. peninsulare,5,NA,Elim,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium peninsulare var. peninsulare,Allium peninsulare var. peninsulare,1,NA,Elim,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Alliaceae,Allium praecox,Allium praecox,229,NA,Keep,1,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus albus,Amaranthus albus,56,NA,Keep,NA,1,1,1,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus blitoides,Amaranthus blitoides,12,NA,Keep,NA,1,1,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus deflexus,Amaranthus deflexus,24,NA,Keep,NA,NA,1,NA,NA,NA,NA,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus powellii,Amaranthus powellii,10,NA,Keep,NA,NA,1,1,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Narcissus tazetta,Narcissus tazetta,4,NA,Elim,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Malosma laurina,Malosma laurina,100,NA,Keep,NA,NA,NA,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus laurina,Malosma laurina,14,NA,Keep,NA,NA,NA,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus integrifolia,Rhus integrifolia,519,NA,Keep,1,1,1,1,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus ovata,Rhus ovata,129,NA,Keep,NA,NA,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus molle,Schinus molle,50,NA,Keep,NA,1,1,NA,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron diversilobum,Toxicodendron diversilobum,89,NA,Keep,1,1,1,1,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apiastrum angustifolium,Apiastrum angustifolium,147,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apium graveolens,Apium graveolens,52,NA,Keep,NA,1,1,NA,NA,1,1,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Berula erecta,Berula erecta,16,NA,Keep,1,NA,1,NA,NA,1,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Berula incisa,Berula erecta,1,NA,Keep,1,NA,1,NA,NA,1,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bowlesia incana,Bowlesia incana,180,NA,Keep,NA,1,1,NA,NA,NA,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Conium maculatum,Conium maculatum,48,NA,Keep,NA,NA,1,NA,NA,1,1,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus carota,Daucus carota,1,NA,Keep,NA,NA,NA,NA,NA,1,NA,NA
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus pusillus,Daucus pusillus,335,NA,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Foeniculum vulgare,Foeniculum vulgare,178,NA,Keep,1,1,1,NA,NA,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium caruifolium,Lomatium caruifolium var. caruifolium,79,NA,Keep,1,1,1,NA,NA,NA,NA,NA
