Sci_Name,Rosa,Cruz,Clemente,Catalina
Acmispon grandiflorus var. grandiflorus,4,84,0,19
Acmispon wrangelianus,16,68,0,51
Acourtia microcephala,21,67,0,43
Adiantum capillus-veneris,8,57,0,38
Agrostis pallens,13,45,0,41
Amaranthus albus,1,26,0,23
Aphyllon parishii subsp. brachylobum,21,34,0,16
Aphyllon tuberosum,9,11,0,17
Artemisia douglasiana,25,30,0,36
Arundo donax,1,12,0,20
Asclepias fascicularis,9,48,0,13
Astragalus trichopodus var. lonchus,8,98,0,113
Baccharis glutinosa,28,65,0,31
Bloomeria crocea var. crocea,7,35,0,43
Brodiaea jolonensis,5,8,0,20
Bromus pseudolaevipes,4,6,0,13
Calochortus albus,18,62,0,1
Calochortus catalinae,24,50,0,78
Calystegia macrostegia subsp. macrostegia,21,88,0,18
Cardamine californica,18,69,0,17
Carduus pycnocephalus subsp. pycnocephalus,12,2,0,24
Carex globosa,27,88,0,1
Castilleja affinis subsp. affinis,79,129,0,72
Castilleja exserta subsp. exserta,28,42,0,34
Ceanothus arboreus,12,163,0,142
Centaurea solstitialis,4,41,0,12
Cercocarpus betuloides var. blancheae,1,228,0,170
Chenopodium berlandieri,1,32,0,11
Cirsium vulgare,16,5,0,12
Clarkia purpurea subsp. quadrivulnera,4,6,0,56
Clematis ligusticifolia,10,33,0,39
Clinopodium douglasii,4,2,0,46
Comarostaphylis diversifolia subsp. planifolia,23,257,0,41
Convolvulus arvensis,2,28,0,34
Corethrogyne filaginifolia,50,86,0,40
Cortaderia selloana,3,6,0,21
Cotula coronopifolia,28,56,0,32
Crocanthemum greenei,2,48,0,12
Cryptantha micromeres,3,13,0,3
Dendromecon harfordii,36,199,0,88
Dichondra occidentalis,16,10,0,27
Dudleya greenei,34,59,0,3
Elymus glaucus subsp. glaucus,9,57,0,41
Elymus triticoides,27,30,0,37
Equisetum laevigatum,7,43,0,34
Erigeron foliosus var. foliosus,11,63,0,33
Eucalyptus camaldulensis,1,14,0,4
Eulobus californicus,1,31,0,6
Euphorbia peplus,7,7,0,35
Galium nuttallii subsp. insulare,36,164,0,101
Gamochaeta ustulata,24,24,0,66
Geranium carolinianum,6,6,0,21
Gilia clivorum,40,76,0,2
Hazardia squarrosa var. grindelioides,12,86,0,27
Hordeum brachyantherum subsp. californicum,39,83,0,6
Jaumea carnosa,17,10,0,47
Juncus mexicanus,11,18,0,24
Lactuca saligna,25,55,0,9
Lastarriaea coriacea,16,12,0,2
Lepechinia fragrans,39,31,0,48
Leptosiphon parviflorus,5,17,0,1
Lupinus albifrons var. albifrons,17,17,0,21
Lupinus albifrons var. douglasii,69,128,0,47
Lythrum hyssopifolia,9,25,0,8
Matricaria discoidea,14,24,0,9
Micropus californicus var. californicus,5,77,0,11
Navarretia atractyloides,20,71,0,17
Papaver californicum,1,31,0,3
Pennisetum clandestinum,6,19,0,28
Phacelia grandiflora,1,8,0,8
Phacelia viscida,5,41,0,2
Pinus muricata var. muricata,36,228,0,2
Piperia elongata,12,26,0,3
Platystemon californicus,60,136,0,1
Pluchea odorata var. odorata,3,27,0,25
Populus trichocarpa,12,51,0,32
Pseudognaphalium beneolens,12,10,0,4
Pteridium aquilinum var. pubescens,15,48,0,25
Quercus pacifica,52,226,0,153
Quercus x macdonaldii,7,152,0,60
Rosa californica,15,82,0,34
Rubus ursinus,20,48,0,31
Sagina apetala,1,4,0,4
Sagina decumbens subsp. occidentalis,2,25,0,1
Salix exigua,4,34,0,11
Schoenoplectus pungens var. longispicatus,7,2,0,2
Senecio aphanactis,2,14,0,1
Silybum marianum,5,23,0,10
Sisymbrium officinale,5,49,0,42
Sisyrinchium bellum,25,27,0,14
Solanum elaeagnifolium,4,19,0,13
Solanum wallacei,25,168,0,135
Solidago velutina subsp. californica,15,39,0,12
Stellaria nitens,2,22,0,3
Stuckenia pectinata,2,15,0,24
Symphoricarpos mollis,5,61,0,37
Taraxacum officinale,4,9,0,9
Tetragonia tetragonioides,5,21,0,6
Torilis nodosa,15,58,0,28
Trifolium albopurpureum,5,53,0,34
Trifolium ciliolatum,4,69,0,11
Trifolium macraei,15,61,0,33
Urtica urens,17,34,0,15
Verbena lasiostachys var. scabrida,8,49,0,42
Woodwardia fimbriata,3,102,0,7
Xanthium spinosum,4,35,0,24
