sci_name,Anacapa,Miguel,Rosa,Cruz
Acmispon dendroideus var. dendroideus,28,0,27,101
acmispon strigosus,4,0,24,86
adiantum capillus-veneris,2,0,7,37
amaranthus albus,1,0,1,13
aphanisma blitoides,2,0,3,6
atriplex pacifica,22,0,2,4
baccharis salicifolia,6,0,8,49
berberis pinnata subsp. insularis,4,0,2,35
brassica nigra,2,0,1,24
brickellia californica,12,0,4,40
bromus arizonicus,9,0,8,2
bromus berteroanus,1,0,1,3
carpobrotus edulis,2,0,1,3
ceanothus megacarpus var. insularis,8,0,19,115
chenopodium berlandieri,8,0,1,17
cistanthe maritima,18,0,9,24
clarkia epilobioides,1,0,15,72
comarostaphylis diversifolia subsp. planifolia,2,0,14,146
cylindropuntia prolifera,2,0,4,9
cynodon dactylon,2,0,10,18
deinandra fasciculata,5,0,9,55
descurainia pinnata,1,0,1,17
eriogonum arborescens,20,0,33,127
eschscholzia ramosa,2,0,5,10
eucalyptus globulus,5,0,3,11
Galium angustifolium subsp. foliosum,29,0,23,111
gilia nevinii,20,0,4,21
hazardia detonsa,16,0,20,104
hesperocyparis macrocarpa,1,0,2,3
heuchera maxima,11,0,16,45
keckiella cordifolia,4,0,14,83
lathyrus vestitus var. vestitus,11,0,16,55
lilium humboldtii subsp. ocellatum,1,0,2,34
lupinus hirsutissimus,3,0,3,33
lupinus truncatus,26,0,6,54
lycopersicon esculentum,8,0,2,7
matricaria discoidea,1,0,9,16
mirabilis laevis var. crassifolia,17,0,1,56
muhlenbergia microsperma,7,0,4,39
pectocarya linearis subsp. ferocula,6,0,1,57
perityle emoryi,19,0,4,41
phacelia cicutaria var. hispida,9,0,3,52
phacelia viscida,10,0,12,75
plagiobothrys canescens var. catalinensis,1,0,11,41
plantago erecta,13,0,36,25
plantago ovata var. insularis,10,0,1,3
poa secunda subsp. secunda,21,0,23,66
polygonum aviculare,4,0,13,33
polypodium californicum,16,0,20,58
polypogon viridis,1,0,11,22
primula clevelandii var. insularis,17,0,15,31
prunus ilicifolia subsp. lyonii,22,0,22,112
pseudognaphalium microcephalum,8,0,8,33
quercus tomentella,14,0,54,102
rafinesquia californica,13,0,6,25
ribes malvaceum var. malvaceum,11,0,1,26
selaginella bigelovii,4,0,13,40
spergularia marina,2,0,4,28
stachys bullata,11,0,19,83
stebbinsoseris heterocarpa,2,0,11,12
uropappus lindleyi,23,0,7,44
vicia hassei,4,0,2,13
vicia ludoviciana subsp. ludoviciana,4,0,11,15
vicia sativa,2,0,9,7
