sci_name,Barbara,Nicolas,Clemente,Catalina
abronia maritima,0,37,25,19
abronia umbellata var. umbellata,0,54,33,6
acmispon maritimus var. maritimus,0,5,1,41
acmispon strigosus,0,1,29,46
adiantum jordanii,0,3,20,55
ambrosia chamissonis,0,43,42,21
ambrosia psilostachya,0,5,2,16
anemopsis californica,0,3,1,16
atriplex argentea var. expansa,0,2,22,3
atriplex lentiformis,0,4,9,3
atriplex leucophylla,0,23,16,27
atriplex watsonii,0,30,40,17
baccharis salicifolia,0,15,10,27
bassia hyssopifolia,0,9,11,6
brachypodium distachyon,0,3,5,35
bromus catharticus,0,23,8,19
bromus sitchensis var. carinatus,0,15,11,29
cakile maritima subsp. maritima,0,26,13,13
carpobrotus chilensis,0,9,1,2
carpobrotus edulis,0,5,2,2
chenopodium macrospermum,0,1,1,3
cirsium occidentale,0,14,19,59
cressa truxillensis,0,1,7,27
distichlis spicata,0,25,10,30
dysphania ambrosioides,0,5,2,4
eleocharis macrostachya,0,15,8,12
elymus condensatus,0,1,1,17
erodium botrys,0,9,8,10
eschscholzia californica,0,1,4,43
eucalyptus globulus,0,8,4,3
festuca arundinacea,0,15,1,6
foeniculum vulgare,0,8,12,14
frankenia salina,0,30,20,37
glebionis coronaria,0,12,10,3
gnaphalium palustre,0,2,10,24
helianthus annuus,0,2,3,3
heliotropium curassavicum var. oculatum,0,14,3,31
heteromeles arbutifolia,0,2,38,85
heterotheca grandiflora,0,17,17,27
hirschfeldia incana,0,18,10,9
hordeum marinum subsp. gussoneanum,0,13,8,15
hordeum vulgare,0,4,5,11
hypochaeris radicata,0,1,2,2
isocoma menziesii,0,57,20,64
jepsonia malvifolia,0,20,21,29
juncus bufonius var. bufonius,0,16,14,35
lactuca serriola,0,22,15,11
lepidium lasiocarpum subsp. lasiocarpum,0,73,45,9
lepidium oblongum,0,58,3,4
lobularia maritima,0,12,3,6
logfia filaginoides,0,5,42,42
lupinus bicolor subsp. bicolor,0,9,39,43
lupinus succulentus,0,5,20,43
lycium brevipes var. hassei,0,3,3,16
lycopersicon esculentum,0,2,3,3
malacothrix saxatilis var. tenuifolia,0,6,7,47
malva pseudolavatera,0,1,6,1
marah fabacea,0,1,4,4
marrubium vulgare,0,13,18,18
medicago sativa,0,4,6,8
melilotus albus,0,21,6,10
mentzelia affinis,0,11,10,2
nicotiana glauca,0,4,4,30
opuntia ficus-indica,0,1,1,1
oxalis corniculata,0,4,3,3
oxalis pes-caprae,0,4,3,12
pectocarya linearis subsp. ferocula,0,16,26,34
pelargonium x hortorum,0,4,2,10
pellaea andromedifolia,0,10,41,28
pentagramma triangularis,0,28,23,42
phalaris paradoxa,0,1,8,9
plantago coronopus,0,11,6,51
plantago erecta,0,2,20,62
poa secunda subsp. secunda,0,13,16,33
polygonum argyrocoleon,0,5,5,12
polygonum aviculare,0,4,14,18
primula clevelandii var. insularis,0,6,6,37
pseudognaphalium stramineum,0,57,6,24
raphanus sativus,0,3,3,14
ricinus communis,0,3,8,6
rumex crispus,0,10,6,16
rumex salicifolius,0,20,19,33
salicornia pacifica,0,13,7,19
salix lasiolepis,0,20,2,53
salsola australis,0,17,10,6
sanicula arguta,0,31,29,44
schinus molle,0,2,3,6
senecio vulgaris,0,21,14,11
sisymbrium irio,0,2,10,11
sisymbrium orientale,0,39,13,17
solanum douglasii,0,3,38,63
sonchus asper subsp. asper,0,5,8,18
spergularia villosa,0,1,17,23
stebbinsoseris heterocarpa,0,1,35,33
stipa cernua,0,19,18,15
stipa miliacea var. miliacea,0,14,10,17
tamarix ramosissima,0,5,4,14
toxicodendron diversilobum,0,1,5,8
tragopogon porrifolius,0,7,9,7
trifolium depauperatum,0,21,26,41
trifolium microcephalum,0,30,24,44
typha domingensis,0,12,6,20
typha latifolia,0,8,6,18
verbena lasiostachys var. lasiostachys,0,1,13,2
vicia hassei,0,1,18,22
xanthium strumarium,0,2,1,11
