sci_name,Barbara,Nicolas,Clemente,Catalina
baccharis salicina,1,0,2,5
bromus berteroanus,10,0,4,2
caulanthus lasiophyllus,5,0,23,27
constancea nevinii,15,0,52,46
cotula australis,2,0,4,10
cryptantha clevelandii,22,0,5,29
deinandra fasciculata,8,0,19,54
hedypnois cretica,1,0,3,15
hedypnois rhagadioloides,1,0,3,9
hesperocnide tenella,1,0,10,11
laennecia coulteri,1,0,9,2
logfia arizonica,2,0,28,25
mirabilis laevis var. crassifolia,7,0,37,58
papaver heterophyllum,6,0,11,8
perityle emoryi,16,0,35,45
pholistoma auritum var. auritum,9,0,23,16
pholistoma racemosum,12,0,36,59
polycarpon tetraphyllum,2,0,2,10
pseudognaphalium microcephalum,1,0,14,11
rafinesquia californica,4,0,20,23
schismus barbatus,1,0,3,6
tropaeolum majus,1,0,2,5
uropappus lindleyi,3,0,34,26
