family_final,specimens,Anacapa,San Clemente,San Miguel,San Nicolas,Santa Barbara,Santa Catalina,Santa Cruz,Santa Rosa
Adoxaceae,90,NA,12,NA,NA,NA,35,33,10
Agavaceae,11,NA,NA,NA,NA,NA,4,2,5
Aizoaceae,341,39,41,45,53,26,66,48,23
Alliaceae,151,NA,31,12,NA,NA,31,57,20
Amaranthaceae,53,2,NA,NA,NA,NA,19,30,2
Anacardiaceae,388,18,53,19,3,NA,157,118,20
Apiaceae,1080,38,113,75,192,7,235,314,106
Apocynaceae,67,NA,NA,NA,NA,NA,23,40,4
Arecaceae,2,NA,NA,1,NA,NA,1,NA,NA
Asparagaceae,18,NA,NA,NA,NA,NA,18,NA,NA
Asphodelaceae,6,NA,6,NA,NA,NA,NA,NA,NA
Asteraceae,9410,581,1276,542,892,277,1981,2815,1046
Athyriaceae,22,NA,NA,NA,NA,NA,NA,22,NA
Azollaceae,17,NA,NA,NA,NA,NA,17,NA,NA
Bataceae,2,NA,1,NA,NA,NA,1,NA,NA
Berberidaceae,41,4,NA,NA,NA,NA,NA,35,2
Blechnaceae,66,NA,NA,NA,NA,NA,3,61,2
Boraginaceae,1390,73,211,81,156,72,307,380,110
Brassicaceae,2214,145,263,148,343,29,371,738,177
Cactaceae,128,7,37,4,16,9,28,22,5
Campanulaceae,68,NA,1,NA,NA,NA,24,40,3
Caprifoliaceae,186,NA,9,NA,NA,NA,106,64,7
Caryophyllaceae,1324,80,195,88,96,26,260,427,152
Chenopodiaceae,1913,162,370,101,245,103,413,345,174
Cistaceae,168,NA,2,1,NA,NA,39,101,25
Cleomaceae,122,NA,8,NA,NA,NA,79,NA,35
Convolvulaceae,457,31,53,37,46,5,115,126,44
Cornaceae,18,NA,1,NA,NA,NA,17,NA,NA
Crassulaceae,487,32,48,36,53,26,108,124,60
Crossosomataceae,165,NA,17,NA,NA,NA,148,NA,NA
Cucurbitaceae,289,22,38,22,16,11,54,113,13
Cupressaceae,6,1,NA,NA,NA,NA,NA,3,2
Cyatheaceae,1,NA,NA,NA,NA,NA,1,NA,NA
Cyperaceae,382,NA,24,13,33,NA,88,143,81
Dennstaedtiaceae,44,NA,NA,NA,NA,NA,10,28,6
Dryopteridaceae,158,4,13,2,NA,NA,28,82,29
Elatinaceae,1,NA,NA,NA,NA,NA,1,NA,NA
Equisetaceae,94,NA,NA,NA,NA,NA,40,49,5
Ericaceae,827,2,NA,NA,NA,NA,117,615,93
Euphorbiaceae,211,1,47,NA,3,NA,100,49,11
Fabaceae,5327,297,726,269,421,84,1274,1742,514
Fagaceae,1091,16,62,NA,NA,NA,270,618,125
Frankeniaceae,157,19,20,11,30,NA,37,24,16
Garryaceae,28,NA,NA,NA,NA,NA,NA,28,NA
Gentianaceae,83,NA,5,NA,14,NA,35,28,1
Geraniaceae,374,29,47,17,58,23,86,82,32
Grossulariaceae,207,11,12,NA,NA,NA,76,107,1
Heliotropaceae,107,6,3,12,14,NA,31,27,14
Hydrophyllaceae,1000,61,144,74,12,45,239,320,105
Iridaceae,62,NA,NA,22,NA,NA,8,14,18
Isoetaceae,2,NA,2,NA,NA,NA,NA,NA,NA
Juglandaceae,4,NA,NA,NA,NA,NA,4,NA,NA
Juncaceae,405,3,31,24,16,NA,129,123,79
Lamiaceae,624,27,34,17,14,NA,176,251,105
Liliaceae,243,1,NA,NA,NA,NA,82,127,33
Linaceae,5,NA,NA,NA,NA,NA,5,NA,NA
Loasaceae,70,NA,16,NA,11,NA,32,10,1
Lythraceae,39,NA,NA,NA,5,NA,4,23,7
Malvaceae,514,36,95,58,15,7,143,92,68
Melanthiaceae,62,16,NA,3,NA,NA,NA,29,14
Montiaceae,490,43,77,19,52,34,90,131,44
Moraceae,21,NA,6,3,NA,NA,7,5,NA
Myrsinaceae,85,3,8,2,9,4,31,17,11
Myrtaceae,67,5,4,NA,8,NA,11,33,6
Namaceae,31,NA,1,NA,NA,NA,30,NA,NA
Nyctaginaceae,518,20,95,60,91,7,83,113,49
Oleaceae,16,1,NA,NA,NA,NA,5,10,NA
Onagraceae,917,19,109,62,50,1,192,343,141
Ophioglossaceae,1,NA,NA,NA,NA,NA,1,NA,NA
Orchidaceae,74,NA,1,NA,NA,NA,25,38,10
Orobanchaceae,805,62,31,62,60,NA,133,301,156
Oxalidaceae,74,NA,6,1,8,NA,28,30,1
Papaveraceae,798,10,53,55,57,22,140,351,110
Phrymaceae,515,16,43,1,NA,NA,114,289,52
Pinaceae,200,NA,NA,NA,NA,NA,17,135,48
Pittosporaceae,9,NA,NA,NA,NA,NA,9,NA,NA
Plantaginaceae,1091,42,180,20,70,9,323,336,111
Platanaceae,15,NA,NA,NA,NA,NA,4,11,NA
Plumbaginaceae,19,NA,2,NA,NA,NA,4,NA,13
Poaceae,5946,458,616,324,809,199,1419,1528,593
Polemoniaceae,695,31,118,11,2,13,215,243,62
Polygalaceae,25,NA,NA,NA,NA,NA,NA,25,NA
Polygonaceae,1353,68,134,70,118,30,272,504,157
Polypodiaceae,209,16,33,NA,6,5,57,72,20
Portulacaceae,9,NA,NA,NA,NA,NA,4,5,NA
Potamogetonaceae,24,NA,1,NA,NA,NA,17,5,1
Primulaceae,112,17,6,NA,6,NA,37,31,15
Pteridaceae,987,42,140,20,41,NA,225,417,102
Ranunculaceae,300,16,48,11,NA,NA,79,115,31
Resedaceae,109,8,12,17,28,11,15,10,8
Rhamnaceae,716,12,30,NA,NA,NA,293,344,37
Rosaceae,1552,31,161,15,2,NA,603,658,82
Rubiaceae,859,44,88,39,18,13,239,340,78
Ruppiaceae,34,NA,1,NA,NA,NA,11,4,18
Salicaceae,321,1,3,13,21,NA,107,150,26
Sapindaceae,23,NA,NA,NA,NA,NA,NA,23,NA
Saururaceae,37,NA,1,NA,3,NA,16,17,NA
Saxifragaceae,324,11,38,NA,20,NA,37,167,51
Scrophulariaceae,100,NA,14,NA,8,NA,52,21,5
Selaginellaceae,120,4,29,NA,NA,NA,34,40,13
Solanaceae,779,34,93,27,70,16,239,215,85
Tamaricaceae,50,1,4,NA,5,NA,16,22,2
Themidaceae,332,12,97,11,32,11,88,64,17
Theophrastaceae,9,NA,NA,NA,NA,NA,NA,9,NA
Tropaeolaceae,8,NA,2,NA,NA,1,5,NA,NA
Typhaceae,113,NA,12,11,20,NA,38,26,6
Urticaceae,231,2,31,11,11,4,59,88,25
Valerianaceae,34,NA,NA,NA,NA,NA,19,15,NA
Verbenaceae,134,NA,22,1,1,NA,64,36,10
Violaceae,121,NA,27,NA,NA,NA,33,48,13
Vitaceae,24,NA,NA,NA,NA,NA,24,NA,NA
Woodsiaceae,9,NA,NA,NA,NA,NA,NA,9,NA
Zannichelliaceae,4,NA,NA,NA,NA,NA,3,1,NA
Zosteraceae,134,4,11,11,19,17,29,38,5
Zygophyllaceae,8,NA,NA,NA,NA,NA,8,NA,NA
