order_final,family_final,sci_name,San Miguel,Santa Rosa,Santa Cruz,Anacapa,Santa Barbara,San Nicolas,San Clemente,Santa Catalina
Alismatales,Zannichelliaceae,zannichellia palustris,NA,NA,1932,NA,NA,NA,NA,1965
Alismatales,Zosteraceae,phyllospadix scouleri,2002,NA,2003,1940,NA,1995,2019,1995
Apiales,Apiaceae,lomatium insulare,NA,NA,NA,NA,NA,2019,1918,NA
Asterales,Asteraceae,agoseris apargioides,NA,1939,NA,NA,NA,NA,NA,NA
Asterales,Asteraceae,ambrosia acanthicarpa,NA,NA,NA,NA,NA,NA,NA,1932
Asterales,Asteraceae,artemisia dracunculus,NA,NA,NA,NA,NA,NA,NA,1931
Asterales,Asteraceae,eurybia radulina,NA,1929,1996,NA,NA,NA,NA,NA
Asterales,Asteraceae,hazardia squarrosa var. grindelioides,1930,1998,1993,1978,NA,NA,NA,2012
Asterales,Asteraceae,malacothrix coulteri,NA,1981,1932,NA,NA,NA,NA,NA
Asterales,Asteraceae,malacothrix saxatilis var. implicata,1998,NA,2019,2019,1932,NA,NA,NA
Asterales,Asteraceae,malacothrix similis,NA,NA,1888,NA,NA,NA,NA,NA
Asterales,Asteraceae,microseris elegans,1931,NA,1991,NA,NA,1998,2019,NA
Asterales,Asteraceae,senecio aphanactis,NA,1929,1991,NA,NA,NA,NA,1901
Asterales,Asteraceae,senecio flaccidus var. douglasii,NA,NA,1999,NA,NA,NA,1939,NA
Asterales,Asteraceae,stephanomeria cichoriacea,NA,1932,2012,NA,NA,NA,NA,NA
Asterales,Asteraceae,stephanomeria exigua subsp. coronaria,1886,2003,2005,NA,NA,NA,NA,NA
Asterales,Asteraceae,xanthium spinosum,1978,1988,1995,NA,1931,NA,NA,2017
Boraginales,Boraginaceae,amsinckia spectabilis var. spectabilis,2020,1999,2019,1986,1982,2019,2019,1931
Boraginales,Boraginaceae,cryptantha micromeres,NA,1932,1986,NA,NA,NA,NA,1967
Boraginales,Boraginaceae,cryptantha microstachys,NA,NA,NA,NA,NA,NA,NA,1920
Boraginales,Boraginaceae,pectocarya heterocarpa,NA,NA,1932,NA,NA,NA,NA,NA
Boraginales,Boraginaceae,pectocarya penicillata,NA,NA,1960,NA,NA,NA,NA,1971
Boraginales,Boraginaceae,plagiobothrys collinus var. gracilis,1932,NA,2019,1997,NA,NA,2019,2015
Boraginales,Hydrophyllaceae,phacelia ciliata,NA,NA,NA,NA,NA,NA,NA,1897
Brassicales,Bataceae,batis maritima,NA,NA,NA,NA,NA,NA,1885,1899
Brassicales,Brassicaceae,boechera hoffmannii,NA,1930,2004,NA,NA,NA,NA,NA
Brassicales,Brassicaceae,brassica nigra,NA,1979,NA,1980,1940,1978,2019,2019
Brassicales,Brassicaceae,brassica rapa,1939,NA,1991,NA,NA,NA,1962,1966
Brassicales,Brassicaceae,cakile edentula,1979,1930,NA,NA,NA,1961,NA,NA
Brassicales,Brassicaceae,cardamine oligosperma,NA,NA,1925,NA,NA,NA,NA,NA
Brassicales,Brassicaceae,descurainia pinnata,NA,1932,NA,1962,NA,NA,1976,2017
Brassicales,Brassicaceae,draba cuneifolia,NA,NA,1970,NA,NA,1993,NA,1902
Brassicales,Brassicaceae,erysimum ammophilum,1995,1941,NA,NA,NA,NA,NA,NA
Brassicales,Brassicaceae,sibara filifolia,NA,NA,1932,NA,NA,NA,NA,2015
Brassicales,Brassicaceae,turritis glabra,NA,NA,1932,NA,NA,NA,NA,2000
Caryophyllales,Amaranthaceae,amaranthus albus,NA,1930,1991,1978,NA,NA,NA,1998
Caryophyllales,Amaranthaceae,amaranthus blitoides,NA,1930,1990,NA,NA,NA,NA,NA
Caryophyllales,Cactaceae,cylindropuntia prolifera,NA,1991,1993,1959,1968,1992,2011,1999
Caryophyllales,Cactaceae,opuntia ficus-indica,NA,NA,1984,NA,NA,1988,1991,1920
Caryophyllales,Cactaceae,opuntia littoralis,1930,1930,1988,1959,1966,1995,1996,2012
Caryophyllales,Cactaceae,opuntia oricola,1977,NA,1991,1959,1968,1993,1939,1933
Caryophyllales,Caryophyllaceae,minuartia douglasii,NA,1932,2003,NA,NA,NA,1962,2016
Caryophyllales,Caryophyllaceae,polycarpon depressum,1999,NA,1930,NA,NA,NA,1996,1909
Caryophyllales,Caryophyllaceae,sagina decumbens subsp. occidentalis,1932,1929,1993,NA,NA,NA,NA,1931
Caryophyllales,Caryophyllaceae,silene multinervia,NA,NA,1932,NA,NA,NA,NA,NA
Caryophyllales,Caryophyllaceae,stellaria nitens,NA,1930,1985,NA,NA,NA,NA,2003
Caryophyllales,Chenopodiaceae,atriplex argentea var. expansa,NA,1930,1992,NA,NA,2019,2019,1931
Caryophyllales,Chenopodiaceae,atriplex pacifica,NA,1932,2004,1998,1991,1995,2019,2010
Caryophyllales,Chenopodiaceae,atriplex serenana var. davidsonii,NA,1929,NA,NA,NA,NA,NA,2000
Caryophyllales,Chenopodiaceae,atriplex serenana var. serenana,NA,NA,1930,NA,NA,NA,NA,NA
Caryophyllales,Chenopodiaceae,chenopodium berlandieri,NA,1939,1994,1998,NA,2000,NA,2000
Caryophyllales,Chenopodiaceae,salicornia pacifica,1995,2015,1994,1940,NA,2019,1997,2017
Caryophyllales,Montiaceae,calandrinia breweri,NA,1932,1995,NA,NA,NA,NA,NA
Caryophyllales,Montiaceae,montia fontana,NA,NA,1932,NA,NA,NA,NA,NA
Caryophyllales,Nyctaginaceae,abronia latifolia,1932,NA,NA,NA,NA,NA,NA,NA
Caryophyllales,Nyctaginaceae,abronia maritima,1987,1998,2019,1938,NA,2019,2019,2015
Caryophyllales,Polygonaceae,eriogonum cinereum,NA,1922,NA,NA,NA,2018,NA,NA
Caryophyllales,Tamaricaceae,tamarix parviflora,NA,NA,NA,1959,NA,NA,NA,1997
Cornales,Cornaceae,cornus glabrata,NA,NA,NA,NA,NA,NA,1922,NA
Cornales,Loasaceae,mentzelia affinis,NA,NA,1993,NA,NA,2019,1997,1917
Cucurbitales,Cucurbitaceae,marah fabacea,1939,NA,2019,NA,NA,1939,1996,1995
Dipsacales,Caprifoliaceae,lonicera subspicata var. subspicata,NA,NA,1960,NA,NA,NA,NA,1998
Ericales,Myrsinaceae,lysimachia minima,NA,1932,NA,NA,NA,NA,NA,NA
Ericales,Polemoniaceae,gilia achilleifolia subsp. multicaulis,NA,1929,NA,NA,1941,NA,NA,NA
Ericales,Polemoniaceae,gilia clivorum,1998,NA,1992,1997,NA,NA,NA,1931
Ericales,Polemoniaceae,gilia nevinii,NA,1991,1993,1998,1982,1901,2019,NA
Fabales,Fabaceae,acmispon argophyllus var. argenteus,NA,1931,NA,NA,NA,2019,2019,NA
Fabales,Fabaceae,acmispon brachycarpus,NA,NA,1991,NA,NA,NA,NA,1901
Fabales,Fabaceae,acmispon heermannii var. heermannii,NA,NA,NA,NA,NA,NA,NA,1902
Fabales,Fabaceae,acmispon wrangelianus,1997,1991,2001,1940,NA,NA,NA,NA
Fabales,Fabaceae,astragalus trichopodus var. lonchus,1939,1989,2012,1994,NA,NA,NA,NA
Fabales,Fabaceae,lupinus albifrons var. albifrons,1979,1988,1989,1941,NA,2016,NA,NA
Fabales,Fabaceae,lupinus chamissonis,1985,1888,NA,NA,NA,NA,NA,NA
Fabales,Fabaceae,medicago sativa,1992,1929,NA,1940,NA,NA,2019,NA
Fabales,Fabaceae,trifolium barbigerum,1930,2000,NA,NA,NA,NA,NA,NA
Fabales,Fabaceae,trifolium fucatum,2000,1932,2019,1993,NA,NA,1980,NA
Fabales,Fabaceae,trifolium gracilentum,2000,2004,2003,2000,1940,2019,2019,2017
Fabales,Fabaceae,vicia hassei,NA,1941,NA,1994,NA,2001,2003,2016
Gentianales,Gentianaceae,zeltnera davyi,NA,1938,1989,NA,NA,NA,2019,NA
Gentianales,Rubiaceae,galium buxifolium,1998,1930,2019,NA,NA,NA,NA,NA
Geraniales,Geraniaceae,california macrophylla,NA,NA,1888,NA,NA,NA,NA,2017
Geraniales,Geraniaceae,erodium texanum,NA,NA,NA,NA,NA,NA,NA,1901
Lamiales,Orobanchaceae,aphyllon fasciculatum,NA,1932,NA,NA,NA,NA,NA,NA
Lamiales,Orobanchaceae,castilleja mollis,1938,2003,NA,NA,NA,NA,NA,NA
Lamiales,Phrymaceae,diplacus brandegeei,NA,NA,1932,NA,NA,NA,NA,NA
Lamiales,Phrymaceae,diplacus brevipes,NA,NA,NA,NA,NA,NA,NA,1890
Lamiales,Phrymaceae,diplacus traskiae,NA,NA,NA,NA,NA,NA,NA,1901
Lamiales,Phrymaceae,erythranthe floribunda,NA,1932,NA,NA,NA,NA,1990,2019
Lamiales,Plantaginaceae,plantago maritima,NA,1930,NA,NA,NA,NA,NA,NA
Lamiales,Verbenaceae,verbena lasiostachys var. lasiostachys,1995,NA,NA,NA,NA,1985,NA,1931
Liliales,Liliaceae,calochortus albus,NA,NA,2019,NA,NA,NA,NA,1925
Liliales,Liliaceae,calochortus venustus,NA,NA,NA,NA,NA,NA,NA,1904
Malpighiales,Salicaceae,salix lasiandra var. lasiandra,NA,NA,1960,NA,NA,NA,NA,NA
Malvales,Cistaceae,crocanthemum greenei,1932,1999,2005,NA,NA,NA,NA,2015
Malvales,Malvaceae,eremalche exilis,NA,NA,1888,NA,NA,NA,1996,1901
Myrtales,Onagraceae,camissoniopsis ignota,NA,NA,1932,NA,NA,NA,NA,NA
Myrtales,Onagraceae,clarkia prostrata,NA,1938,NA,NA,NA,NA,NA,NA
Myrtales,Onagraceae,eulobus californicus,NA,1927,1993,NA,NA,NA,NA,2010
Pinales,Cupressaceae,hesperocyparis macrocarpa,NA,1988,2012,1959,NA,NA,NA,NA
Piperales,Saururaceae,anemopsis californica,NA,NA,2005,NA,NA,1979,1936,2017
Poales,Cyperaceae,carex globosa,NA,1988,2012,NA,NA,NA,NA,1928
Poales,Cyperaceae,cyperus involucratus,NA,NA,1930,NA,NA,NA,NA,NA
Poales,Juncaceae,juncus effusus subsp. pacificus,NA,1960,NA,NA,NA,NA,NA,NA
Poales,Poaceae,bromus berteroanus,NA,1930,1932,1928,1998,NA,1981,1897
Poales,Poaceae,elymus condensatus,1977,1998,1993,2019,NA,1979,1936,2016
Poales,Poaceae,festuca microstachys,1930,2002,2003,1998,NA,NA,2019,2003
Poales,Poaceae,paspalum distichum,NA,NA,1960,NA,NA,NA,NA,1998
Poales,Poaceae,phalaris caroliniana,NA,NA,1985,NA,1922,2000,2011,1901
Poales,Poaceae,phalaris lemmonii,1998,1993,NA,NA,NA,NA,2019,1897
Poales,Poaceae,phalaris minor,2000,1930,1993,2000,1999,2019,2019,2016
Poales,Poaceae,poa annua,1998,1977,1993,1998,1991,1989,1923,2001
Poales,Poaceae,poa howellii,NA,NA,1931,NA,NA,NA,NA,NA
Poales,Poaceae,polypogon interruptus,2000,1994,2012,NA,NA,NA,1936,NA
Poales,Poaceae,polypogon viridis,NA,1991,2002,1940,NA,NA,1997,1995
Poales,Poaceae,stipa lepida,1965,1977,1994,1998,1939,2019,2019,NA
Polypodiales,Dennstaedtiaceae,pteridium aquilinum var. pubescens,NA,1960,1995,NA,NA,NA,NA,2006
Ranunculales,Berberidaceae,berberis pinnata subsp. insularis,NA,1930,2017,1990,NA,NA,NA,NA
Ranunculales,Papaveraceae,platystemon californicus,1995,1993,NA,1965,1993,2019,NA,1890
Ranunculales,Ranunculaceae,Delphinium parryi,1932,2015,2019,1985,NA,NA,NA,2017
Rosales,Rosaceae,aphanes occidentalis,NA,1960,NA,NA,NA,NA,1997,2016
Rosales,Rosaceae,cercocarpus betuloides var. blancheae,NA,1932,NA,NA,NA,NA,NA,NA
Rosales,Rosaceae,potentilla anserina subsp. pacifica,1930,NA,2005,NA,NA,NA,NA,NA
Rosales,Urticaceae,urtica dioica subsp. holosericea,NA,NA,1994,1940,NA,NA,NA,1998
Sapindales,Anacardiaceae,toxicodendron diversilobum,1961,1977,1976,1967,NA,1990,1967,2016
Saxifragales,Grossulariaceae,ribes malvaceum var. malvaceum,NA,1932,2019,1979,NA,NA,2019,NA
Solanales,Convolvulaceae,calystegia macrostegia subsp. amplissima,NA,NA,NA,NA,1961,2019,2019,NA
Solanales,Convolvulaceae,calystegia soldanella,1979,1998,2012,NA,NA,2019,1936,NA
Solanales,Convolvulaceae,cuscuta campestris,1961,NA,NA,NA,NA,NA,NA,NA
Solanales,Solanaceae,lycium brevipes var. hassei,NA,NA,NA,NA,NA,2019,1936,1918
Solanales,Solanaceae,lycium fremontii,NA,1932,NA,NA,NA,NA,NA,NA
Solanales,Solanaceae,lycium verrucosum,NA,NA,NA,NA,NA,1901,NA,NA
