order_final,family_final,Sci_Name,San Miguel,Santa Rosa,Santa Cruz,Anacapa,Santa Barbara,San Nicolas,San Clemente,Santa Catalina
Alismatales,Zannichelliaceae,Zannichellia palustris,NA,NA,1932,NA,NA,NA,NA,1965
Apiales,Apiaceae,Lomatium insulare,NA,NA,NA,NA,NA,2019,1918,NA
Asterales,Asteraceae,Agoseris apargioides,NA,1939,NA,NA,NA,NA,NA,NA
Asterales,Asteraceae,Ambrosia acanthicarpa,NA,NA,NA,NA,NA,NA,NA,1932
Asterales,Asteraceae,Artemisia dracunculus,NA,NA,NA,NA,NA,NA,NA,1931
Asterales,Asteraceae,Eurybia radulina,NA,1929,1996,NA,NA,NA,NA,NA
Asterales,Asteraceae,Hazardia squarrosa var. grindelioides,1930,1998,1993,1978,NA,NA,NA,2012
Asterales,Asteraceae,Malacothrix coulteri,NA,1981,1932,NA,NA,NA,NA,NA
Asterales,Asteraceae,Malacothrix saxatilis var. implicata,1998,NA,2019,2019,1932,NA,NA,NA
Asterales,Asteraceae,Malacothrix similis,NA,NA,1888,NA,NA,NA,NA,NA
Asterales,Asteraceae,Microseris elegans,1931,NA,1991,NA,NA,1998,2019,NA
Asterales,Asteraceae,Senecio aphanactis,NA,1929,1991,NA,NA,NA,NA,1901
Asterales,Asteraceae,Senecio flaccidus var. douglasii,NA,NA,1999,NA,NA,NA,1939,NA
Asterales,Asteraceae,Stephanomeria cichoriacea,NA,1932,2012,NA,NA,NA,NA,NA
Asterales,Asteraceae,Stephanomeria exigua subsp. coronaria,1886,2003,2005,NA,NA,NA,NA,NA
Asterales,Asteraceae,Xanthium spinosum,1978,1988,1995,NA,1931,NA,NA,2017
Boraginales,Boraginaceae,Amsinckia spectabilis var. spectabilis,2020,1999,2019,1986,1982,2019,2019,1931
Boraginales,Boraginaceae,Cryptantha micromeres,NA,1932,1986,NA,NA,NA,NA,1967
Boraginales,Boraginaceae,Cryptantha microstachys,NA,NA,NA,NA,NA,NA,NA,1920
Boraginales,Boraginaceae,Pectocarya heterocarpa,NA,NA,1932,NA,NA,NA,NA,NA
Boraginales,Boraginaceae,Pectocarya penicillata,NA,NA,1960,NA,NA,NA,NA,1971
Boraginales,Boraginaceae,Plagiobothrys collinus var. gracilis,1932,NA,2019,NA,NA,NA,2019,2015
Boraginales,Hydrophyllaceae,Phacelia ciliata,NA,NA,NA,NA,NA,NA,NA,1897
Brassicales,Bataceae,Batis maritima,NA,NA,NA,NA,NA,NA,1885,1899
Brassicales,Brassicaceae,Boechera hoffmannii,NA,1930,2004,NA,NA,NA,NA,NA
Brassicales,Brassicaceae,Brassica nigra,NA,1979,NA,1980,1940,1978,2019,2019
Brassicales,Brassicaceae,Brassica rapa,1939,NA,1991,NA,NA,NA,1962,1966
Brassicales,Brassicaceae,Cakile edentula,1979,1930,NA,NA,NA,1961,NA,NA
Brassicales,Brassicaceae,Cardamine oligosperma,NA,NA,1925,NA,NA,NA,NA,NA
Brassicales,Brassicaceae,Descurainia pinnata,NA,1932,NA,1962,NA,NA,1976,2017
Brassicales,Brassicaceae,Draba cuneifolia,NA,NA,1970,NA,NA,1993,NA,1902
Brassicales,Brassicaceae,Erysimum ammophilum,1995,1941,NA,NA,NA,NA,NA,NA
Brassicales,Brassicaceae,Sibara filifolia,NA,NA,1932,NA,NA,NA,NA,2015
Brassicales,Brassicaceae,Turritis glabra,NA,NA,1932,NA,NA,NA,NA,2000
Caryophyllales,Amaranthaceae,Amaranthus albus,NA,1930,1991,1978,NA,NA,NA,1998
Caryophyllales,Amaranthaceae,Amaranthus blitoides,NA,1930,1990,NA,NA,NA,NA,NA
