scientificName,acceptedName
Festuca megalura,Festuca myuros
Bromus rubens,Bromus rubens
Amsinckia intermedia,Amsinckia intermedia
Zeltnera venusta,Zeltnera venusta
Coreopsis gigantea,Leptosyne gigantea
Lomentaria hakodatensis,Lomentaria hakodatensis
Hordeum pusillum,Hordeum pusillum
Daucus pusillus,Daucus pusillus
Lupinus succulentus,Lupinus succulentus
Solanum douglasii,Solanum douglasii
Avena fatua,Avena fatua
Brassica nigra,Brassica nigra
Avena barbata,Avena barbata
Cenchrus clandestinus,Pennisetum clandestinum
Lepidium oblongum,Lepidium oblongum
Hordeum murinum,Hordeum murinum
Vicia hassei,Vicia hassei
Ribes malvaceum,Ribes malvaceum
Lupinus bicolor,Lupinus bicolor
Prunus ilicifolia,Prunus ilicifolia
Hordeum californicum,Hordeum brachyantherum subsp. californicum
Lupinus albifrons,Lupinus albifrons
Lepidium nitidum,Lepidium nitidum
Lathyrus vestitus,Lathyrus vestitus
Vicia ludoviciana,Vicia ludoviciana
Lupinus truncatus,Lupinus truncatus
Medicago polymorpha,Medicago polymorpha
Lupinus hirsutissimus,Lupinus hirsutissimus
Beta vulgaris,Beta vulgaris
Vicia sativa,Vicia sativa
Chenopodium berlandieri,Chenopodium berlandieri
Lepidium didymum,Lepidium didymum
Lactuca serriola,Lactuca serriola
Vicia hirsuta,Vicia hirsuta
Sorghum bicolor,Sorghum bicolor
Solanum lycopersicum,Lycopersicon esculentum
Medicago sativa,Medicago sativa
Helianthus annuus,Helianthus annuus
Solanum americanum,Solanum americanum
Rhodoglossum affine,Rhodoglossum affine
Calliarthron tuberculosum,Calliarthron tuberculosum
Laurencia sinicola,Laurencia sinicola
Cryptopleura crispa,Cryptopleura crispa
Nienburgia andersoniana,Nienburgia andersoniana
Schizymenia pacifica,Schizymenia pacifica
Gastroclonium coulteri,Gastroclonium coulteri
Prionitis lanceolata,Prionitis lanceolata
Gigartina canaliculata,Gigartina canaliculata
Haliptylon gracile,Haliptylon gracile
Cladophora columbiana,Cladophora columbiana
Gigartina harveyana,Gigartina harveyana
Gigartina papillata,Gigartina papillata
Gelidium purpurascens,Gelidium purpurascens
Pterocladia capillacea,Pterocladia capillacea
Codium fragile,Codium fragile
Gelidium coulteri,Gelidium coulteri
Gigartina spinosa,Gigartina spinosa
Lithothrix aspergillum,Lithothrix aspergillum
Rhodymenia pacifica,Rhodymenia pacifica
Gigartina leptorhynchos,Gigartina leptorhynchos
Laurencia spectabilis,Laurencia spectabilis
Chaetomorpha linum,Chaetomorpha linum
Endocladia muricata,Endocladia muricata
Bossiella orbigniana,Bossiella orbigniana
Plocamium cartilagineum,Plocamium cartilagineum
Corallina,
Rhodymenia californica,Rhodymenia californica
Ulva californica,Ulva californica
Jania crassa,Jania crassa
Bryopsis corticulans,Bryopsis corticulans
Carpopeltis,
Pterosiphonia baileyi,Pterosiphonia baileyi
Gelidium nudifrons,Gelidium nudifrons
Pterocladia media,Pterocladia media
Corallina officinalis,Corallina officinalis
Chondria californica,Chondria californica
Corallina vancouveriensis,Corallina vancouveriensis
Grateloupia,
Gastroclonium compressum,Gastroclonium compressum
Gelidium robustum,Gelidium robustum
Laurencia masonii,Laurencia masonii
Coreopsis,
Gymnogongrus platyphyllus,Gymnogongrus platyphyllus
Plocamium violaceum,Plocamium violaceum
Laurencia pacifica,Laurencia pacifica
Rhodymenia rhizoides,Rhodymenia rhizoides
Callophyllis flabellulata,Callophyllis flabellulata
Callophyllis firma,Callophyllis firma
Botryocladia pseudodichotoma,Botryocladia pseudodichotoma
Calliarthron cheilosporioides,Calliarthron cheilosporioides
Codium setchellii,Codium setchellii
Bromus carinatus,Bromus carinatus
Caulanthus lasiophyllus,Caulanthus lasiophyllus
Trifolium depauperatum,Trifolium depauperatum
Artemisia californica,Artemisia californica
Chenopodium californicum,Chenopodium californicum
Bromus sitchensis,Bromus sitchensis
Hordeum intercedens,Hordeum intercedens
Agrostis stolonifera,Agrostis stolonifera
Bromus carinatus var. marginatus,Bromus carinatus var. marginatus
Hemizonia clementina,Deinandra clementina
Calystegia macrostegia subsp. macrostegia,Calystegia macrostegia subsp. macrostegia
Achnatherum diegoense,Achnatherum diegoense
Dudleya caespitosa,Dudleya caespitosa
Achillea millefolium,Achillea millefolium
Astragalus miguelensis,Astragalus miguelensis
Festuca octoflora,Festuca octoflora
Galium angustifolium subsp. foliosum,Galium angustifolium subsp. foliosum
Acmispon maritimus var. maritimus,Acmispon micranthus
Melica imperfecta,Melica imperfecta
Atriplex californica,Extriplex californica
Atriplex semibaccata,Atriplex semibaccata
Tamarix parviflora,Tamarix parviflora
Cryptantha clevelandii,Cryptantha clevelandii
Castilleja affinis,Castilleja affinis
Bromus diandrus,Bromus diandrus
Selaginella bigelovii,Selaginella bigelovii
Spergularia macrotheca var. macrotheca,Spergularia macrotheca var. macrotheca
Spergularia bocconi,Spergularia bocconi
Ceanothus megacarpus var. insularis,Ceanothus megacarpus var. insularis
Eriophyllum confertiflorum,Eriophyllum confertiflorum
Pseudognaphalium biolettii,Pseudognaphalium biolettii
Silene gallica,Silene gallica
Eucrypta chrysanthemifolia,Eucrypta chrysanthemifolia
Amblyopappus pusillus,Amblyopappus pusillus
Pennisetum clandestinum,Pennisetum clandestinum
Crassula connata,Crassula connata
Poa secunda subsp. secunda,Poa secunda subsp. secunda
Lathyrus vestitus var. vestitus,Lathyrus vestitus var. vestitus
Lasthenia gracilis,Lasthenia gracilis
Lupinus bicolor subsp. microphyllus,Lupinus bicolor
Trifolium willdenovii,Trifolium willdenovii
Rafinesquia californica,Rafinesquia californica
Deinandra clementina,Deinandra clementina
Sonchus asper,Sonchus asper
Leymus condensatus,Leymus condensatus
Aphanisma blitoides,Aphanisma blitoides
Malva parviflora,Malva parviflora
Nassella lepida,Stipa lepida
Lasthenia californica,Lasthenia californica
Erigeron bonariensis,Erigeron bonariensis
Diplacus parviflorus,Diplacus parviflorus
Lepidium,
Isocoma menziesii var. vernonioides,Isocoma menziesii var. vernonioides
Isocoma menziesii,Isocoma menziesii
Hordeum murinum subsp. leporinum,Hordeum murinum subsp. leporinum
Phacelia distans,Phacelia distans
Malephora crocea,Malephora crocea
Acmispon dendroideus var. dendroideus,Acmispon dendroideus var. dendroideus
Mesembryanthemum crystallinum,Mesembryanthemum crystallinum
Polygonum aviculare subsp. depressum,Polygonum aviculare subsp. depressum
Plantago erecta,Plantago erecta
Hordeum brachyantherum subsp. californicum,Hordeum brachyantherum subsp. californicum
Chenopodium murale,Chenopodium murale
Vicia benghalensis,Vicia benghalensis
Vulpia microstachys var. pauciflora,Festuca microstachys
Pectocarya linearis subsp. ferocula,Pectocarya linearis subsp. ferocula
Malacothrix saxatilis var. implicata,Malacothrix saxatilis var. implicata
Phalaris minor,Phalaris minor
Muhlenbergia microsperma,Muhlenbergia microsperma
Cistanthe maritima,Cistanthe maritima
Atriplex lentiformis,Atriplex lentiformis
Lavatera cretica,Malva pseudolavatera
Cryptantha,
Lupinus albifrons var. douglasii,Lupinus albifrons var. douglasii
Cakile maritima,Cakile maritima
Heuchera maxima,Heuchera maxima
Marah macrocarpa,Marah macrocarpa
Verbesina encelioides,Verbesina encelioides
Pseudognaphalium californicum,Pseudognaphalium californicum
Senecio vulgaris,Senecio vulgaris
Erysimum insulare,Erysimum insulare
Nassella pulchra,Stipa pulchra
Festuca bromoides,Festuca bromoides
Hazardia detonsa,Hazardia detonsa
Stachys bullata,Stachys bullata
Melilotus indicus,Melilotus indicus
Extriplex californica,Extriplex californica
Rhus integrifolia,Rhus integrifolia
Leptosyne gigantea,Leptosyne gigantea
Heliotropium curassavicum var. oculatum,Heliotropium curassavicum var. oculatum
Eriophyllum staechadifolium,Eriophyllum staechadifolium
Cardamine californica,Cardamine californica
Acmispon maritimus,Acmispon maritimus
Eriophyllum confertiflorum var. confertiflorum,Eriophyllum confertiflorum var. confertiflorum
Baccharis pilularis subsp. consanguinea,Baccharis pilularis subsp. consanguinea
Uropappus lindleyi,Uropappus lindleyi
Hypochaeris glabra,Hypochaeris glabra
Corethrogyne filaginifolia,Corethrogyne filaginifolia
Mirabilis laevis var. crassifolia,Mirabilis laevis var. crassifolia
Silene laciniata subsp. laciniata,Silene laciniata subsp. laciniata
Nassella cernua,Stipa cernua
Lavatera assurgentiflora subsp. assurgentiflora,Malva assurgentiflora
Pterostegia drymarioides,Pterostegia drymarioides
Carpobrotus chilensis,Carpobrotus chilensis
Pseudognaphalium beneolens,Pseudognaphalium beneolens
Salvia mellifera,Salvia mellifera
Poa secunda,Poa secunda
Deinandra fasciculata,Deinandra fasciculata
Stylomecon heterophylla,Papaver heterophyllum
Malacothrix squalida,Malacothrix squalida
Poa annua,Poa annua
Festuca myuros,Festuca myuros
Delphinium parryi subsp. maritimum,Delphinium parryi subsp. maritimum
Eriogonum grande var. grande,Eriogonum grande var. grande
Ambrosia acanthicarpa,Ambrosia acanthicarpa
Prunus lyonii,Prunus ilicifolia subsp. lyonii
Calandrinia ciliata,Calandrinia ciliata
Castilleja lanata subsp. hololeuca,Castilleja hololeuca
Trifolium fucatum,Trifolium fucatum
Thelypodium lasiophyllum,Caulanthus lasiophyllus
Salsola,
Asteraceae,
Urtica urens,Urtica urens
Cotula australis,Cotula australis
Baccharis salicifolia,Baccharis salicifolia
Bromus arizonicus,Bromus arizonicus
Euthamia occidentalis,Euthamia occidentalis
Logfia filaginoides,Logfia filaginoides
Bromus hordeaceus,Bromus hordeaceus
Perityle emoryi,Perityle emoryi
Melilotus albus,Melilotus albus
Epilobium canum subsp. canum,Epilobium canum subsp. canum
Bromus maritimus,Bromus maritimus
Astragalus trichopodus var. lonchus,Astragalus trichopodus var. lonchus
Trifolium gracilentum,Trifolium gracilentum
Erigeron glaucus,Erigeron glaucus
Veronica arvensis,Veronica arvensis
Grindelia stricta var. platyphylla,Grindelia hirsutula
Acmispon dendroideus,Acmispon dendroideus
Frankenia grandifolia,Frankenia salina
Atriplex pacifica,Atriplex pacifica
Isocoma menziesii var. sedoides,Isocoma menziesii var. sedoides
Primula clevelandii var. insularis,Primula clevelandii var. insularis
Opuntia littoralis,Opuntia littoralis
Gnaphalium microcephalum,Pseudognaphalium microcephalum
Coronopus didymus,Lepidium didymum
Acacia longifolia,Acacia longifolia
Parietaria hespera var. californica,Parietaria hespera var. californica
Heteromeles arbutifolia,Heteromeles arbutifolia
Stebbinsoseris heterocarpa,Stebbinsoseris heterocarpa
Mahonia pinnata subsp. insularis,Berberis pinnata subsp. insularis
Pseudognaphalium stramineum,Pseudognaphalium stramineum
Suaeda taxifolia,Suaeda taxifolia
Stellaria media,Stellaria media
Nicotiana clevelandii,Nicotiana clevelandii
Galium aparine,Galium aparine
Dichelostemma capitatum subsp. capitatum,Dipterostemon capitatus subsp. capitatus
Claytonia perfoliata subsp. mexicana,Claytonia perfoliata subsp. mexicana
Frankenia salina,Frankenia salina
Juncus bufonius,Juncus bufonius
Corethrogyne filaginifolia var. latifolia,Corethrogyne filaginifolia var. filaginifolia
Sonchus oleraceus,Sonchus oleraceus
Hornungia procumbens,Hornungia procumbens
Mesembryanthemum nodiflorum,Mesembryanthemum nodiflorum
Grindelia,
Phacelia cicutaria var. hispida,Phacelia cicutaria var. hispida
Sanicula arguta,Sanicula arguta
Urtica dioica subsp. holosericea,Urtica dioica subsp. holosericea
Oligomeris linifolia,Oligomeris linifolia
Ambrosia chamissonis,Ambrosia chamissonis
Vulpia bromoides,Festuca bromoides
Bromus madritensis,Bromus madritensis
Centaurea melitensis,Centaurea melitensis
Toxicoscordion fremontii,Toxicoscordion fremontii
Malacothrix foliosa subsp. crispifolia,Malacothrix foliosa subsp. crispifolia
Piptatherum miliaceum,Piptatherum miliaceum
Encelia californica,Encelia californica
Lamarckia aurea,Lamarckia aurea
Zostera marina,Zostera marina
Antirrhinum nuttallianum subsp. subsessile,Antirrhinum nuttallianum subsp. subsessile
Comarostaphylis diversifolia subsp. planifolia,Comarostaphylis diversifolia subsp. planifolia
Lycium californicum,Lycium californicum
Silybum marianum,Silybum marianum
Malacothrix junakii,Malacothrix junakii
Atriplex suberecta,Atriplex suberecta
Baccharis pilularis,Baccharis pilularis
Delphinium parryi,Delphinium parryi
Amsinckia menziesii,Amsinckia menziesii
Phacelia,
Festuca microstachys,Festuca microstachys
Silene laciniata subsp. major,Silene laciniata subsp. laciniata
Distichlis spicata,Distichlis spicata
Erodium cicutarium,Erodium cicutarium
Apiastrum angustifolium,Apiastrum angustifolium
Eriogonum arborescens,Eriogonum arborescens
Spergularia macrotheca,Spergularia macrotheca
Brickellia californica,Brickellia californica
Platystemon californicus,Platystemon californicus
Phyllospadix scouleri,Phyllospadix scouleri
Ribes malvaceum var. malvaceum,Ribes malvaceum var. malvaceum
Hordeum murinum subsp. glaucum,Hordeum murinum subsp. glaucum
Erysimum,
Sisymbrium irio,Sisymbrium irio
Plantago ovata,Plantago ovata
Grindelia latifolia,Grindelia hirsutula
Prunus ilicifolia subsp. lyonii,Prunus ilicifolia subsp. lyonii
Gnaphalium bicolor,Pseudognaphalium biolettii
Hazardia squarrosa var. grindelioides,Hazardia squarrosa var. grindelioides
Keckiella cordifolia,Keckiella cordifolia
Lotus dendroideus var. dendroideus,Acmispon dendroideus var. dendroideus
Lavatera,
Quercus tomentella,Quercus tomentella
Ceanothus megacarpus var. megacarpus,Ceanothus megacarpus var. megacarpus
Clarkia epilobioides,Clarkia epilobioides
Achillea millefolium var. borealis,Achillea millefolium
Trifolium microcephalum,Trifolium microcephalum
Dodecatheon clevelandii subsp. insulare,Primula clevelandii var. insularis
Erodium moschatum,Erodium moschatum
Eucalyptus globulus,Eucalyptus globulus
Erigeron foliosus var. foliosus,Erigeron foliosus var. foliosus
Cotula coronopifolia,Cotula coronopifolia
Lotus salsuginosus,Acmispon maritimus
Achillea millefolium var. arenicola,Achillea millefolium
Tetragonia tetragonioides,Tetragonia tetragonioides
Lepidium virginicum var. robinsonii,Lepidium virginicum var. menziesii
Antirrhinum nuttallianum subsp. nuttallianum,Antirrhinum nuttallianum subsp. nuttallianum
Polypogon monspeliensis,Polypogon monspeliensis
Cuscuta salina,Cuscuta salina
Trifolium depauperatum var. amplectens,Trifolium depauperatum var. amplectens
Castilleja hololeuca,Castilleja hololeuca
Descurainia pinnata,Descurainia pinnata
Amsinckia menziesii var. intermedia,Amsinckia intermedia
Suaeda californica,Suaeda californica
Plagiobothrys collinus var. gracilis,Plagiobothrys collinus var. gracilis
Malva arborea,Malva arborea
Atriplex lentiformis subsp. breweri,Atriplex lentiformis
Petroselinum crispum,Petroselinum crispum
Chenopodium berlandieri var. sinuatum,Chenopodium berlandieri var. sinuatum
Pseudognaphalium microcephalum,Pseudognaphalium microcephalum
Hutchinsia procumbens,Hornungia procumbens
Atriplex coulteri,Atriplex coulteri
Acmispon strigosus,Acmispon strigosus
Phyllospadix,
Platystemon californicus var. nutans,Platystemon californicus 
Epilobium canum,Epilobium canum
Claytonia perfoliata subsp. perfoliata,Claytonia perfoliata subsp. perfoliata
Plagiobothrys collinus,Plagiobothrys collinus
Marah macrocarpus,Marah macrocarpa
Ehrharta calycina,Ehrharta calycina
Trifolium gracilentum var. palmeri,Trifolium palmeri
Sisymbrium orientale,Sisymbrium orientale
Claytonia perfoliata,Claytonia perfoliata
Cerastium glomeratum,Cerastium glomeratum
Heliotropium curassavicum,Heliotropium curassavicum
Salsola tragus,Salsola tragus
Berberis pinnata subsp. insularis,Berberis pinnata subsp. insularis
Castilleja affinis subsp. affinis,Castilleja affinis subsp. affinis
Phacelia viscida,Phacelia viscida
Microseris lindleyi,Uropappus lindleyi
Delphinium parryi subsp. parryi,Delphinium parryi subsp. parryi
Hordeum,
Amsinckia spectabilis,Amsinckia spectabilis
Calandrinia maritima,Cistanthe maritima
Bromus,
Pseudognaphalium luteoalbum,Pseudognaphalium luteoalbum
Acmispon dendroideus var. veatchii,Acmispon dendroideus var. veatchii
Hemizonia fasciculata,Deinandra fasciculata
Astragalus didymocarpus,Astragalus didymocarpus
