 ,Country,State,County,Island,Locality Detail,FROM Date Collected,TO Date Collected,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Count,Part,Stage,Elevation,Lat,Lon,,,,,
LACM ENT 398448,USA,CA,Plumas,Meadow Valley,3500-6000ft alt,24.vi.1924,,F.C. Hadden,Coleoptera,Hydrophilidae,,Sphaeridium ,,scarabaeoides,,26Q-04640, ,,,,,,,,,,,,,,,
LACM ENT 402954,Mexico,,Baja,,Punta banda,19.vi.1954,,R. Snow,Coleoptera,Chrysomelidae,,Acanthoscelides,,pullus,,26Q-04642, ,,On Astragalus seed,,UCLA Accession,,,,,,,,,,,
LACM ENT 402955,Mexico,,Baja,,Punta banda,vi.1954,, ,Coleoptera,Chrysomelidae,,Acanthoscelides,,pullus,,26Q-04642, ,,On Astragalus seed,,UCLA Accession,,,,,,,,,,,
LACM ENT 402956,Mexico,,Baja,,Punta banda,19.vi.1954,,R. Snow,Coleoptera,Chrysomelidae,,Acanthoscelides,,pullus,,26Q-04642, ,,On Astragalus seed,,UCLA Accession,,,,,,,,,,,
LACM ENT 402469,USA,CA,"Felton, Santa Cruz",,Mount Hermon,7.viii.1928,,L.J. Muchmore,Coleoptera,Meloidae,,Epicauta,,puncticollis,,26Q-04625, ,,,,,,,,,,,,,,,
LACM ENT 404891,USA,CA,Los Angeles,Pomona,,24.xii.1934,, ,Coleoptera,,,,,,,26Q-10443, ,, ,,Unsorted Coleoptera,,,,,,,,,,,
LACM ENT 406180,USA,AZ,Gila," Tonto Creek Camp Ground, near Kohls Ranch", ,27.vi.1956, ,"LM Martin, JA Comstock, WA Rees",Coleoptera,Scarabaeidae,,Polyphylla,,crinita,,26Q-04623, ,,, ,"Note: Polyphylla need to be reidentified - Young, 1988 lists crinata and nigra",,,,,,,,,,,
LACM ENT 410718,USA,CA,Ventura,,Point Magu,20.vii.1962, ,R.R. Sanders,Diptera,Tipulidae,, , , , ,26R-10450, ,,,,,,,,,,,,,,,
LACM ENT 411291,USA,CA,Santa Barbara, ,Point Arguello,23.viii.1962, ,R.R. Sanders,Diptera, ,, , , , ,26R-10451, ,,,,,,,,,,,,,,,
LACM ENT 411294,USA,CA,Santa Barbara, ,Point Arguello,23.viii.1962, ,R.R. Sanders,Diptera, ,, , , , ,26R-10451, ,,,,,,,,,,,,,,,
LACM ENT 411297,USA,CA,Santa Barbara, ,Point Arguello,23.viii.1962, ,R.R. Sanders,Diptera, ,, , , , ,26R-10451, ,,,,,,,,,,,,,,,
LACM ENT 412067,USA,CA,Los Angeles, ,Palos Verdes Peninsula,15.iv.1979,,G.A. Gorelick,Lepidoptera,Lycaenidae, , , , , ,26R-04649, ,,,,,,,,,,,,,,,
USNM ENT 00009765,USA,CA,Riverside,Indio, ,22.x.1923,, ,Lepidoptera,Gelechiidae,,Chionodes,,sistrella,,26R-04655, ,F,,,,,,,,,,,,,,
USNM ENT 00015804,USA,CA,San Bernadino, ,"Camp O'Ongo, 2 air m NW Running Springs",7.viii.1985,22.viii.1985,C.L. Hogue,Lepidoptera,Gelechiidae,,Chionodes,,trichostola,,26R-04655, ,M,,,,,,,"6,200 ft",,,,,,,
USNM ENT 00015803,USA,CA,San Bernadino, ,"Camp O'Ongo, 2 air m NW Running Springs",7.viii.1985,22.viii.1985,C.L. Hogue,Lepidoptera,Gelechiidae,,Chionodes,,trichostola,,26R-04655, ,M,,,,,,,"6,200 ft",,,,,,,
LACM ENT 419785,USA,AZ,Cochise, ,"Huachuca Mountains, Ramsay Canyon",12.vii.1941, , ,Lepidoptera,Crambidae,,Microcrambus,,copelandi, ,26R-04661, ,, ,Paratype,,,,,,,,,,,,
LACM ENT 419864,USA,AZ,Santa Cruz,"Madera Canyon, Santa Rita Mtns. ", ,2.viii.1947, ,JA Comstock & LM Martin,Lepidoptera,Crambidae,,Nomophila,,nearctica, ,26R-04660, ,,,,,,,,,,,,,,,
LACM ENT 419913,USA,CA,Alameda,Berkley, ,10.vi.1931, ,D. Meadows,Lepidoptera,Crambidae,,Tehama,,bonifatella, ,26R-04660, ,,,,,,,,,,,,,,,
LACM ENT 422902,Mexico,Baja,Baja,Valle de Tinidad,Nr La Zapopita,9.iv.1961, ,F.S. Truxal,Lepidoptera,Erebidae,,Apantesis,,proxima, ,26R-04666, ,,,,,,,,,,,,,,,
LACM ENT 423171,Mexico,Baja,Baja,Guadalupe Island, , , ,Fall,Coleoptera,Carabidae,,Calosoma ,,palmeri, ,26P-04619, ,,,,,,,,,,,,,,,
LACM ENT 423172,Mexico,Baja,Baja,Guadalupe Island, , , , ,Coleoptera,Carabidae,,Calosoma ,,palmeri, ,26P-04619, ,,,,,,,,,,,,,,,
LACM ENT 423173,Mexico,Baja,Baja,Guadalupe Island, , , , ,Coleoptera,Carabidae,,Calosoma ,,palmeri, ,26P-04619, ,,,,,,,,,,,,,,,
LACM ENT 423174,Mexico,Baja,Baja,Guadalupe Island, , , , ,Coleoptera,Carabidae,,Calosoma ,,palmeri, ,26P-04619, ,,,,,,,,,,,,,,,
LACM ENT 423175,Mexico,Baja,Baja,Guadalupe Island, , , , ,Coleoptera,Carabidae,,Calosoma ,,palmeri, ,26P-04619, ,,,,,,,,,,,,,,,
LACM ENT 423176,Mexico,Baja,Baja,Guadalupe Island, , , , ,Coleoptera,Carabidae,,Calosoma ,,palmeri, ,26P-04619, ,,,,,,,,,,,,,,,
LACM ENT 423177,Mexico,Baja,Baja,Guadalupe Island, , , , ,Coleoptera,Carabidae,,Calosoma ,,palmeri, ,26P-04619, ,,,,,,,,,,,,,,,
LACM ENT 424804,USA,CA,Los Angeles, ,El Segundo,4.iv.1939, ,W.D. Pierce,Orthoptera, ,, ,, , ,26P-04617, ,,,,,,,,,,,,,,,
LACM ENT 424816,USA,CA,Los Angeles, ,"Madrona Marsh, Torrance",23.viii.1975, , ,Orthoptera,Gryllidae,,Oecanthus,,argentinus, ,26P-04617, ,,,,,,,,,,,,,,,
LACM ENT 381813,USA,CA,Los Angeles,Santa Catalina,,11.ii.1981,,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381814,USA,CA,Los Angeles,Santa Catalina,,10.v.1981,,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381815,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381816,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381817,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381818,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381819,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381820,USA,CA,Los Angeles,Santa Catalina,,27.vii.1983,,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381821,USA,CA,Santa Barbara,Santa Cruz,,22.iii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381822,USA,CA,Los Angeles,Santa Catalina,,8.iii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381823,USA,CA,Santa Barbara,Santa Cruz,,22.iii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381824,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381825,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381826,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381827,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381828,USA,CA,Los Angeles,San Clemente,,5.xii.1981,,S. Miller,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381829,USA,CA,Los Angeles,Santa Catalina,,22.ii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381830,USA,CA,Ventura,Anacapa,,17.iii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381831,USA,CA,Ventura,Anacapa,,19.iii.1941,,J. C. von Bloeker,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381832,USA,CA,Los Angeles,Santa Catalina,,16.viii.1980,,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381833,USA,CA,Los Angeles,Santa Catalina,,18.viii.1980,,A. Crane,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381834,USA,CA,Los Angeles,Santa Catalina,,10.viii.1981,,S. de Michele,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381835,USA,CA,Los Angeles,Santa Catalina,,25.iii.1981,,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381836,USA,CA,Los Angeles,Santa Catalina,,23.x.1981,,S. Bennett,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381837,USA,CA,Los Angeles,Santa Catalina,,1.viii.1981,,A. Smith,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381838,USA,CA,Los Angeles,Santa Catalina,,2.viii.1982,,N. Chadwick,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
LACM ENT 381839,USA,CA,Los Angeles,Santa Catalina,,9.viii.1964,,A. Ishida & T. Ishida,Coleoptera,,,,,,,26Q-04632,26Q-04632,,On tent pole,,,,,,,,,,,,,
LACM ENT 381840,USA,CA,Ventura,Anacapa,,29.vii.1939,,G. P. Kanakoff,Coleoptera,,,,,,,26Q-04632,26Q-04632,,,,,,,,,,,,,,,
