id,month,year,island,class,acceptedGenus,acceptedName,latitude,longitude,locality,source,type,Lat_alb,Lon_alb,Id,ISL_NAME,geometry
Cal-IBIS,4,2013,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.46514,-118.55296,"creek above Parson's Landing, Catalina Island",Cal-IBIS,Collection,-504449.5006624018,134584.483939365,0,Santa Catalina,"c(134584.483939365, -504449.500662402)"
Cal-IBIS,4,2013,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.46514,-118.55296,"creek above Parson's Landing, Catalina Island",Cal-IBIS,Collection,-504449.5006624018,134584.483939365,0,Santa Catalina,"c(134584.483939365, -504449.500662402)"
Cal-IBIS,4,2013,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.46514,-118.55296,"creek above Parson's Landing, Catalina Island",Cal-IBIS,Collection,-504449.5006624018,134584.483939365,0,Santa Catalina,"c(134584.483939365, -504449.500662402)"
Cal-IBIS,4,2013,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.46514,-118.55296,"creek above Parson's Landing, Catalina Island",Cal-IBIS,Collection,-504449.5006624018,134584.483939365,0,Santa Catalina,"c(134584.483939365, -504449.500662402)"
Cal-IBIS,4,2013,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.46514,-118.55296,"creek above Parson's Landing, Catalina Island",Cal-IBIS,Collection,-504449.5006624018,134584.483939365,0,Santa Catalina,"c(134584.483939365, -504449.500662402)"
Cal-IBIS,4,2013,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.46514,-118.55296,"creek above Parson's Landing, Catalina Island",Cal-IBIS,Collection,-504449.5006624018,134584.483939365,0,Santa Catalina,"c(134584.483939365, -504449.500662402)"
Cal-IBIS,1,1900,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.386692,-118.435344,"Santa Catalina Island, pond at main Buffalo Corral, ca. 1.5 mi. E of Isthmus Harbor",Cal-IBIS,Collection,-512970.2948523485,145666.1115909046,0,Santa Catalina,"c(145666.111590905, -512970.294852349)"
Cal-IBIS,7,1931,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.3927,-118.379,"Catalina Island (= Santa Catalina Island), canyon behind White's Cove",Cal-IBIS,Collection,-512216.32718503894,150899.72925918424,0,Santa Catalina,"c(150899.729259184, -512216.327185039)"
Cal-IBIS,7,1931,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.3927,-118.379,"Catalina Island (= Santa Catalina Island), canyon behind White's Cove",Cal-IBIS,Collection,-512216.32718503894,150899.72925918424,0,Santa Catalina,"c(150899.729259184, -512216.327185039)"
Cal-IBIS,7,1931,Santa Catalina,Amphibia,Pseudacris,Pseudacris regilla,33.3927,-118.379,"Catalina Island (= Santa Catalina Island), canyon behind White's Cove",Cal-IBIS,Collection,-512216.32718503894,150899.72925918424,0,Santa Catalina,"c(150899.729259184, -512216.327185039)"
