...1,source,month,year,island,class,acceptedGenus,acceptedName,latitude,longitude,type,Lat_alb,Lon_alb,Id,ISL_NAME,geometry
1,iNaturalist,4,2012,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.329516,-118.33843,Observation,-519153.0514677274,154798.75779386974,0,Santa Catalina,"c(154798.75779387, -519153.051467727)"
2,iNaturalist,2,2013,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.329516,-118.33843,Observation,-519153.0514677274,154798.75779386974,0,Santa Catalina,"c(154798.75779387, -519153.051467727)"
3,iNaturalist,3,2017,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.36648667,-118.349735,Observation,-515074.3858924806,153674.3219587785,0,Santa Catalina,"c(153674.321958779, -515074.385892481)"
4,iNaturalist,3,2017,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.37056333,-118.35,Observation,-514623.0312152044,153641.7839675206,0,Santa Catalina,"c(153641.783967521, -514623.031215204)"
5,iNaturalist,12,2018,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.33052292,-118.3366818,Observation,-519038.6123348819,154959.65284614512,0,Santa Catalina,"c(154959.652846145, -519038.612334882)"
6,iNaturalist,4,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.328605,-118.3411167,Observation,-519258.3883388038,154550.24582212497,0,Santa Catalina,"c(154550.245822125, -519258.388338804)"
7,iNaturalist,4,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.32805333,-118.339715,Observation,-519317.23640821315,154681.89286905678,0,Santa Catalina,"c(154681.892869057, -519317.236408213)"
8,iNaturalist,4,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.38699167,-118.406335,Observation,-512892.1004122542,148365.97679900398,0,Santa Catalina,"c(148365.976799004, -512892.100412254)"
9,iNaturalist,4,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.36623667,-118.3497817,Observation,-515102.16704412736,153670.4559317568,0,Santa Catalina,"c(153670.455931757, -515102.167044127)"
10,iNaturalist,1,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40341837,-118.42493640000001,Observation,-511100.51166141033,146604.14874713015,0,Santa Catalina,"c(146604.14874713, -511100.51166141)"
11,iNaturalist,2,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40375137,-118.4156799,Observation,-511049.2502602739,147465.03073471674,0,Santa Catalina,"c(147465.030734717, -511049.250260274)"
12,iNaturalist,3,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.35529762,-118.3608007,Observation,-516332.2468843907,152665.41691789465,0,Santa Catalina,"c(152665.416917895, -516332.246884391)"
13,iNaturalist,11,2015,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.4686361,-118.5321059,Observation,-504032.1785279573,136517.90194910154,0,Santa Catalina,"c(136517.901949102, -504032.178527957)"
15,iNaturalist,3,2016,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.46061026,-118.5252035,Observation,-504911.7919031745,137173.6300624782,0,Santa Catalina,"c(137173.630062478, -504911.791903174)"
16,iNaturalist,1,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.40381128,-118.3704736,Observation,-510971.29372331314,151672.21099660915,0,Santa Catalina,"c(151672.210996609, -510971.293723313)"
17,iNaturalist,12,2019,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.34539898,-118.3295337,Observation,-517378.37791363895,155596.47326693643,0,Santa Catalina,"c(155596.473266936, -517378.377913639)"
18,iNaturalist,2,2017,Santa Catalina,Amphibia,Batrachoseps,Batrachoseps major,33.3436,-118.3298333,Observation,-517578.22951040417,155572.08208190656,0,Santa Catalina,"c(155572.082081907, -517578.229510404)"
19,iNaturalist,6,2008,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.007360920000004,-119.7598206,Observation,-445322.3769853739,22186.830331953395,0,Santa Cruz,"c(22186.8303319534, -445322.376985374)"
20,iNaturalist,6,2008,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,33.99976606,-119.7151327,Observation,-446153.3858789061,26317.44294857804,0,Santa Cruz,"c(26317.442948578, -446153.385878906)"
21,iNaturalist,3,2017,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.03463056,-119.566625,Observation,-442234.13035447104,40019.55816368709,0,Santa Cruz,"c(40019.5581636871, -442234.130354471)"
22,iNaturalist,3,2017,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.01766861,-119.6819171,Observation,-444157.82663468504,29379.390216318927,0,Santa Cruz,"c(29379.3902163189, -444157.826634685)"
23,iNaturalist,4,2018,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.03107,-119.7951783,Observation,-442700.12478167145,18914.94868630093,0,Santa Cruz,"c(18914.9486863009, -442700.124781671)"
24,iNaturalist,4,2018,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.031005,-119.7949567,Observation,-442707.2907324624,18935.42864519826,0,Santa Cruz,"c(18935.4286451983, -442707.290732462)"
25,iNaturalist,4,2018,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,33.99272833,-119.70785,Observation,-446931.97331565944,26992.65802171586,0,Santa Cruz,"c(26992.6580217159, -446931.973315659)"
26,iNaturalist,4,2018,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.00847333,-119.7714117,Observation,-445201.63215461094,21115.794628471867,0,Santa Cruz,"c(21115.7946284719, -445201.632154611)"
27,iNaturalist,4,2018,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.00835833,-119.7712883,Observation,-445214.3608196713,21127.224427017452,0,Santa Cruz,"c(21127.2244270175, -445214.360819671)"
28,iNaturalist,4,2019,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.011745,-119.7844767,Observation,-444841.5542732291,19908.09525586858,0,Santa Cruz,"c(19908.0952558686, -444841.554273229)"
29,iNaturalist,12,2019,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,33.9914093,-119.686348,Observation,-447071.9341327897,28979.77250587123,0,Santa Cruz,"c(28979.7725058712, -447071.93413279)"
30,iNaturalist,1,2020,Santa Cruz,Amphibia,Batrachoseps,Batrachoseps nigriventris,34.0191815,-119.684956,Observation,-443990.94797193166,29098.14882826338,0,Santa Cruz,"c(29098.1488282634, -443990.947971932)"
