"","acceptedFamily","acceptedGenus","acceptedName"
"1","Agelenidae",,
"2","Agelenidae","Agelenopsis",
"3","Agelenidae","Agelenopsis","Agelenopsis aperta"
"4","Anyphaenidae","Anyphaena",
"5","Anyphaenidae",,
"6","Anystidae",,
"7","Anystidae","Anystis",
"8","Araneidae","Aculepeira","Aculepeira packardi"
"9","Araneidae",,
"10","Araneidae","Araneus",
"11","Araneidae","Araneus","Araneus andrewsi"
"12","Araneidae","Araneus","Araneus detrimentosus"
"13","Araneidae","Araneus","Araneus gemma"
"14","Araneidae","Argiope",
"15","Araneidae","Argiope","Argiope argentata"
"16","Araneidae","Argiope","Argiope aurantia"
"17","Araneidae","Argiope","Argiope trifasciata"
"18","Araneidae","Cyclosa",
"19","Araneidae","Cyclosa","Cyclosa turbinata"
"20","Araneidae","Eustala",
"21","Araneidae","Mastophora","Mastophora cornigera"
"22","Araneidae","Metepeira",
"23","Araneidae","Metepeira","Metepeira spinipes"
"24","Araneidae","Neoscona",
"25","Araneidae","Neoscona","Neoscona crucifera"
"26","Araneidae","Zygiella",
"27","Araneidae","Zygiella","Zygiella x-notata"
"28","Bdellidae",,
"29","Bdellidae","Neomolgus",
"30","Bdellidae","Neomolgus","Neomolgus littoralis"
"31","Caeculidae",,
"32","Camisiidae",,
"33","Hadruridae","Hadrurus",
"34","Hadruridae","Hadrurus","Hadrurus arizonensis"
"35","Cheiracanthiidae","Cheiracanthium",
"36","Cheiracanthiidae","Cheiracanthium","Cheiracanthium mildei"
"37","Cheliferidae",,
"38","Chernetidae",,
"39","Chthoniidae",,
"40","Clubionidae","Clubiona",
"41","Eupodidae","Linopodes",
"42","Corinnidae","Castianeira",
"43","Corinnidae","Castianeira","Castianeira occidens"
"44","Cybaeidae",,
"45","Cymbaeremaeidae","Scapheremaeus",
"46","Desidae","Badumna","Badumna longinqua"
"47","Dictynidae","Nigma","Nigma linsdalei"
"48","Dysderidae","Dysdera","Dysdera crocata"
"49","Eremobatidae","Eremobates",
"50","Eremobatidae",,
"51","Eriophyidae","Aceria","Aceria baccharices"
"52","Eriophyidae","Aceria","Aceria boycei"
"53","Eriophyidae","Eriophyes","Eriophyes paracalifornicus"
"54","Erythracaridae",,
"55","Erythraeidae","Abrolophus",
"56","Erythraeidae","Balaustium",
"57","Erythraeidae",,
"58","Garypidae","Garypus",
"59","Garypidae","Garypus","Garypus californicus"
"60","Gnaphosidae","Drassodes",
"61","Gnaphosidae",,
"62","Gnaphosidae","Herpyllus","Herpyllus propinquus"
"63","Halonoproctidae","Bothriocyrtum","Bothriocyrtum californicum"
"64","Halonoproctidae",,
"65","Ixodidae","Ixodes","Ixodes pacificus"
"66","Linyphiidae","Erigone",
"67","Linyphiidae",,
"68","Lycosidae","Alopecosa",
"69","Lycosidae","Alopecosa","Alopecosa kochi"
"70","Lycosidae",,
"71","Lycosidae","Pardosa",
"72","Lycosidae","Schizocosa",
"73","Lycosidae","Schizocosa","Schizocosa mccooki"
"74","Eutrombidiidae","Eutrombidium",
"75","Mimetidae","Mimetus",
"76","Oecobiidae","Oecobius",
"77","Oecobiidae","Oecobius","Oecobius navus"
"78","Oonopidae","Escaphiella",
"79","Oxyopidae","Oxyopes","Oxyopes scalaris"
