record,source,id,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,acceptedFamily,scientific,acceptedName,taxonID,scientif_1,genus,acceptedGenus,specificEp,taxonRank,infraspeci,identified,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,island,locality,IslandName_fromArcMap,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
occurrence,Cal-IBIS,1565416,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,7d569656-4c7e-407a-b1fd-646ce9fffa2f,9054247, ,Animalia,Arthropoda,Arachnida,Araneae,Amaurobiidae,Amaurobiidae,Callobius,,23814,"Chamberlin, 1947",Callobius,Callobius, , , , ,E. P. Van Duzee, ,5/10/19,2019,5,10,130,0,DMY: 10-5-1919, , , , , , , , , ,juvenile, ,1, , ,75% ethanol,United States,California,Santa Barbara, ,Santa Cruz,"Channel Islands National Park, Santa Cruz Island", , ,0,0, ,0,",", , , , , ,0, , , , , , , ,Norman D. Penny,5/14/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:7d6a3953-2027-45cd-ac26-01f2b860a519,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1565416
occurrence,Cal-IBIS,1565417,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,234a454e-41ac-48bf-9f5e-57ea642160c7,9051057, ,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneidae,Araneus andrewsi,Araneus andrewsi,101161,"(Archer, 1951)",Araneus,Araneus,andrewsi, , , ,Elbert L. Sleeper, ,5/20/67,1967,5,20,140,0,DMY: 20-5-1967, , , , , , , , , ,adult,2 females,2, , ,75% ethanol,United States,California,Santa Barbara, ,Santa Cruz,"Channel Islands National Park, Santa Cruz Island, CaÃ‚<U+0089>Ãƒ<U+009B>Ãƒ'ada de los Savees", , ,0,0, ,0,",", , , , , ,0, , , , , , , ,Norman D. Penny,6/19/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:f2795942-30bf-45e7-b914-2aef95ac0145,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1565417
occurrence,Cal-IBIS,2077802,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,HUMAN_OBSERVATION,SRLI:Spiders_2018:185, , ,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneidae,Metepeira ventura,Metepeira ventura,272884,"Chamberlin & Ivie, 1942",Metepeira,Metepeira,ventura, , , , , , ,0,0,0,0,0, , , , , , , , , , , , ,0, , , , , , , ,San Clemente, ,San Clemente, ,32.89,-118.5, ,0, , , , , , ,0, , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:279744ae-f157-4035-bc71-80adcb750641,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077802
occurrence,Cal-IBIS,2077809,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,HUMAN_OBSERVATION,SRLI:Spiders_2018:216, , ,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneidae,Metepeira ventura,Metepeira ventura,272884,"Chamberlin & Ivie, 1942",Metepeira,Metepeira,ventura, , , , , ,1/1/65,1965,1,1,1,0,1965, , , , , , , , , , , ,0, , , , , , , ,Santa Catalina, ,Santa Catalina, ,33.44,-118.55, ,0, , , , , , ,0, , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:6fe10ba2-eace-46b9-88a7-5114bc14a34d,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077809
occurrence,Cal-IBIS,2077805,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,HUMAN_OBSERVATION,SRLI:Spiders_2018:186, , ,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneidae,Metepeira ventura,Metepeira ventura,272884,"Chamberlin & Ivie, 1942",Metepeira,Metepeira,ventura, , , , , , ,0,0,0,0,0, , , , , , , , , , , , ,0, , , , , , , ,Santa Catalina, ,Santa Catalina, ,33.35,-118.39, ,0, , , , , , ,0, , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:46934971-e1e0-4def-af47-efcd670652bb,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077805
occurrence,Cal-IBIS,2077804,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,HUMAN_OBSERVATION,SRLI:Spiders_2018:215, , ,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneidae,Metepeira ventura,Metepeira ventura,272884,"Chamberlin & Ivie, 1942",Metepeira,Metepeira,ventura, , , , , ,1/1/93,1993,1,1,1,0,1993, , , , , , , , , , , ,0, , , , , , , ,Santa Catalina, ,Santa Catalina, ,33.38,-118.42, ,0, , , , , , ,0, , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:3139a9ab-a429-4cee-81ce-ec3d66cfd657,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077804
occurrence,Cal-IBIS,2077799,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,HUMAN_OBSERVATION,SRLI:Spiders_2018:220, , ,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneidae,Metepeira ventura,Metepeira ventura,272884,"Chamberlin & Ivie, 1942",Metepeira,Metepeira,ventura, , , , , ,1/1/95,1995,1,1,1,0,1995, , , , , , , , , , , ,0, , , , , , , ,Santa Catalina, ,Santa Catalina, ,33.38,-118.41, ,0, , , , , , ,0, , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:3766b6df-5420-4bb1-86ac-645e25356358,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077799
occurrence,Cal-IBIS,2078377,WAM,ARACH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,PRESERVED_SPECIMEN,69e2b09f-1636-4b64-867b-eca12e53407b,75555,urn:lsid:taxonomy.org.au:ARACH:75555,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Garypinidae,Garypinidae,Garypinidae,,37706, , ,, , , ,"Harvey, M.S.","Lowe, G.", ,9/1/84,1984,9,1,245,0,1984-09-01T00:00:00, , , , , , , , , , , ,1, , , , , , , ,Santa Catalina, ,Santa Catalina,"Los Angelas County: Santa Catalina Island, Toyon Canyon",33.36667,-118.35, ,10000, , , , , , ,0, , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:0f851a35-ca19-4362-8e25-991080a41e90,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2078377
occurrence,Cal-IBIS,1565900,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,9aa2cdf7-29f6-4702-aee5-654f1cd92666,9049728, ,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Gnaphosidae,Gnaphosa californica,Gnaphosa californica,215744,"Banks, 1904",Gnaphosa,Gnaphosa,californica, , , ,David C. Rentz; David Weissman, ,6/14/72,1972,6,14,166,0,DMY: 14-6-1972, , , , , , , , , , , ,1, , ,75% ethanol,United States,California,Santa Barbara, ,Santa Cruz,"Channel Islands National Park, Santa Cruz Island, Research Station", , ,0,0, ,0,",", , , , , ,0, , , , , , , ,Don Heyneman,10/14/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:405befc4-35af-4140-85e9-9b0827996208,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1565900
occurrence,Cal-IBIS,1578342,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,6a6dccde-fc6b-4c87-b5cc-f6ec2f8c4ad0,9049281, ,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Gnaphosidae,Gnaphosa maritima,Gnaphosa maritima,215800,"Platnick & Shadab, 1975",Gnaphosa,Gnaphosa,maritima, , , ,John Doyen, ,5/7/78,1978,5,7,127,0,DMY: 7-5-1978, ,under seaweed, , , , , , , ,"3 adults, 3 juveniles","1 male, 2 females",6, , ,75% ethanol,United States,California,Ventura, ,San Nicolas,"Channel Islands National Park, San Nicolas Island, north end", , ,0,0, ,0,",", , , , , ,0, , , , , , , ,Don Heyneman,9/24/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:dd295f35-4d98-48a1-87fb-18659210a0e7,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1578342
