record,source,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,iconic_taxon_name,taxon_id,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,taxon_subspecies_name,id,month,year,time_obser,ved_at,time_3,time_zone,scientificName,order,acceptedName,common_name,user_login,quality_grade,license,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id
occurrence,iNaturalist,"Avalon, CA 90704, USA",Santa Catalina,33.33499167,-118.3174667,64,64,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,27179155,6,2019,6/16/19,23:06:00,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,sessilefielder,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/27179155,https://static.inaturalist.org/photos/42260044/medium.jpg?1560810043,,0,0,FALSE,
occurrence,iNaturalist,Catalina Island,Santa Catalina,33.38813938,-118.4163104,14564,14564,,,FALSE,gps,gps,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,78532365,5,2021,5/9/21,21:51:59,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,kaitlin_horton,casual,,https://www.inaturalist.org/observations/78532365,https://static.inaturalist.org/photos/128535679/medium.jpeg?1620871473,,1,0,TRUE,2
occurrence,iNaturalist,"Channel Islands National Park, CA, US",Anacapa,34.01545278,-119.3632283,5,5,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,65624473,11,2020,11/25/20,1:35:50,0,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,serpophaga,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/65624473,https://inaturalist-open-data.s3.amazonaws.com/photos/105656904/medium.jpg?1606371061,,2,0,FALSE,3
occurrence,iNaturalist,"Channel Islands National Park, Channel Islands, Santa Barbara County, US-CA, US",Santa Cruz,34.04987285,-119.5785284,10,10,,,FALSE,,,Funnel spiders,Arachnida,47345,Agelenidae,Agelenidae,,,,,17031408,9,2018,9/25/18,18:51:41,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,sbyers,needs_id,,https://www.inaturalist.org/observations/17031408,https://static.inaturalist.org/photos/25762129/medium.jpg?1538241007,,0,0,FALSE,3
occurrence,iNaturalist,"Cherry Cove, , CA, US",Santa Catalina,33.45075833,-118.5099533,,,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,25621739,5,2019,5/23/19,16:14:06,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,madtiller,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/25621739,https://inaturalist-open-data.s3.amazonaws.com/photos/39705717/medium.jpg?1558627929,,1,0,FALSE,3
occurrence,iNaturalist,"China Point, San Clemente Island, Los Angeles County, CA, USA. ",San Clemente,32.8022,-118.4251,10,10,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,72630928,,,,,,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,pileated,needs_id,CC-BY,https://www.inaturalist.org/observations/72630928,https://inaturalist-open-data.s3.amazonaws.com/photos/118448423/medium.jpg?1617306579,Collected by @pileated and @serpophaga in maritime desert scrub in upper spray zone rock piles. Images by Esther C. Duh.,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.87785529,-118.4358593,173,173,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,21810240,3,2019,3/25/19,17:07:00,0,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,cedric_lee,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21810240,https://inaturalist-open-data.s3.amazonaws.com/photos/33776677/medium.jpeg?1553991098,,1,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.88769667,-118.4850517,,,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,21823974,3,2019,3/27/19,15:10:00,0,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,cedric_lee,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21823974,https://inaturalist-open-data.s3.amazonaws.com/photos/33809076/medium.jpeg?1554037540,,0,0,FALSE,
occurrence,iNaturalist,"Los Angeles County, CA, USA",San Clemente,32.9961114,-118.5520955,44,44,,,FALSE,gps,gps,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,28251850,6,2019,6/25/19,14:14:48,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,pileated,needs_id,CC-BY,https://www.inaturalist.org/observations/28251850,https://inaturalist-open-data.s3.amazonaws.com/photos/44027642/medium.jpg?1562360300,,0,0,FALSE,2
occurrence,iNaturalist,"Los Angeles County, US-CA, US",Santa Catalina,33.39740064,-118.4348122,8,8,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,75480015,4,2021,4/27/21,19:04:02,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,laurendennhardt,needs_id,,https://www.inaturalist.org/observations/75480015,https://static.inaturalist.org/photos/123492481/medium.jpeg?1619562769,,1,0,FALSE,2
occurrence,iNaturalist,"Los Angeles, California, United States",San Clemente,32.91842667,-118.4887333,,,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,21786443,3,2019,3/22/19,21:53:00,0,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,cedric_lee,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21786443,https://inaturalist-open-data.s3.amazonaws.com/photos/33741489/medium.jpeg?1553964583,,0,0,FALSE,
occurrence,iNaturalist,"Los Angeles, California, United States",Santa Catalina,33.471765,-118.550885,,,,,FALSE,,,Funnel Weavers,Arachnida,47345,Agelenidae,Agelenidae,,,,,3803261,8,2016,8/1/16,13:46:00,100,Pacific Time (US & Canada),Agelenidae,Araneae,,Funnel Weavers,yetikat,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3803261,https://inaturalist-open-data.s3.amazonaws.com/photos/4441630/medium.jpg?1470326774,OLYMPUS DIGITAL CAMERA,0,0,FALSE,
