"","Family","Genus","Species","Occurence","Literature","OccurenceGen","LiteratureGen","OccurenceFam","LiteratureFam"
"1","Agelenidae",0,0,0,0,0,0,26,24
"2","Agelenidae","Agelenopsis",0,0,0,6,0,26,24
"3","Agelenidae","Agelenopsis","Agelenopsis aperta",2,0,6,0,26,24
"4","Anyphaenidae","Anyphaena",0,0,0,1,2,4,3
"5","Anyphaenidae",0,0,0,0,0,0,4,3
"6","Anystidae",0,0,0,0,0,0,6,1
"7","Anystidae","Anystis",0,0,0,1,0,6,1
"8","Araneidae","Aculepeira","Aculepeira packardi",5,1,5,1,248,30
"9","Araneidae",0,0,0,0,0,0,248,30
"10","Araneidae","Araneus",0,0,0,30,7,248,30
"11","Araneidae","Araneus","Araneus andrewsi",7,1,30,7,248,30
"12","Araneidae","Araneus","Araneus detrimentosus",1,0,30,7,248,30
"13","Araneidae","Araneus","Araneus gemma",1,2,30,7,248,30
"14","Araneidae","Argiope",0,0,0,140,5,248,30
"15","Araneidae","Argiope","Argiope argentata",124,5,140,5,248,30
"16","Araneidae","Argiope","Argiope aurantia",2,0,140,5,248,30
"17","Araneidae","Argiope","Argiope trifasciata",13,0,140,5,248,30
"18","Araneidae","Cyclosa",0,0,0,5,1,248,30
"19","Araneidae","Cyclosa","Cyclosa turbinata",3,1,5,1,248,30
"20","Araneidae","Eustala",0,0,0,5,2,248,30
"21","Araneidae","Mastophora","Mastophora cornigera",1,0,1,0,248,30
"22","Araneidae","Metepeira",0,0,0,34,10,248,30
"23","Araneidae","Metepeira","Metepeira spinipes",1,1,34,10,248,30
"24","Araneidae","Neoscona",0,0,0,5,1,248,30
"25","Araneidae","Neoscona","Neoscona crucifera",4,0,5,1,248,30
"26","Araneidae","Zygiella",0,0,0,4,0,248,30
"27","Araneidae","Zygiella","Zygiella x-notata",3,0,4,0,248,30
"28","Bdellidae",0,0,0,0,0,0,14,1
"29","Bdellidae","Neomolgus",0,0,0,2,0,14,1
"30","Bdellidae","Neomolgus","Neomolgus littoralis",1,0,2,0,14,1
"31","Caeculidae",0,0,0,0,0,0,1,1
"32","Camisiidae",0,0,0,0,0,0,1,1
"33","Hadruridae","Hadrurus",0,0,0,5,0,5,0
"34","Hadruridae","Hadrurus","Hadrurus arizonensis",1,0,5,0,5,0
"35","Cheiracanthiidae","Cheiracanthium",0,0,0,2,3,2,2
"36","Cheiracanthiidae","Cheiracanthium","Cheiracanthium mildei",1,0,2,3,2,2
"37","Cheliferidae",0,0,0,0,0,0,2,1
"38","Chernetidae",0,0,0,0,0,0,1,0
"39","Chthoniidae",0,0,0,0,0,0,2,1
"40","Clubionidae","Clubiona",0,0,0,2,1,2,2
"41","Eupodidae","Linopodes",0,0,0,4,0,4,1
"42","Corinnidae","Castianeira",0,0,0,3,1,3,1
"43","Corinnidae","Castianeira","Castianeira occidens",1,1,3,1,3,1
"44","Cybaeidae",0,0,0,0,0,0,1,2
"45","Cymbaeremaeidae","Scapheremaeus",0,0,0,2,0,2,0
"46","Desidae","Badumna","Badumna longinqua",1,0,1,0,1,0
"47","Dictynidae","Nigma","Nigma linsdalei",3,0,3,0,3,6
"48","Dysderidae","Dysdera","Dysdera crocata",12,0,12,0,12,0
"49","Eremobatidae","Eremobates",0,0,0,1,3,2,3
"50","Eremobatidae",0,0,0,0,0,0,2,3
"51","Eriophyidae","Aceria","Aceria baccharices",1,0,2,1,3,1
"52","Eriophyidae","Aceria","Aceria boycei",1,0,2,1,3,1
"53","Eriophyidae","Eriophyes","Eriophyes paracalifornicus",1,0,1,0,3,1
"54","Erythracaridae",0,0,0,0,0,0,1,0
"55","Erythraeidae","Abrolophus",0,0,0,2,0,13,2
"56","Erythraeidae","Balaustium",0,0,0,6,0,13,2
"57","Erythraeidae",0,0,0,0,0,0,13,2
"58","Garypidae","Garypus",0,0,0,4,5,4,5
"59","Garypidae","Garypus","Garypus californicus",3,5,4,5,4,5
