record,order,family,acceptedFamily,genus,acceptedGenus,species,acceptedEpithet ,acceptedName,DESCRIBER,DESYR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,Anacapa,Santa Barbara,Santa Catalina,San Clemente
literature,Acari,Acaridae,Acaridae,Tyrophagus,Tyrophagus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Adamystidae,Adamystidae,undetermined,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Ameroseiidae,Ameroseiidae,Epicriopsis,Epicriopsis,nr. palustris,,Epicriopsis nr. palustris,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Anystidae,Anystidae,nr. Bechsteinia,nr. Bechsteinia,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Aphelacaridae,Aphelacaridae,Aphelacarus,Aphelacarus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Argasidae,Argasidae,Ornithodoros,Ornithodoros,megnini,,Ornithodoros megnini,(Duges),1884,as Otobius SYN,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,,
literature,Acari,Argasidae,Argasidae,Ornithodoros,Ornithodoros,megnini,,Ornithodoros megnini,(Duges),1884,as Otobius SYN,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,23,-24,,,,,
literature,Acari,Argasidae,Argasidae,Ornithodoros,Argas,talaje,,Argas talaje,(Guerin-Meneville),1849,,"Nuttall, Warburton, et al",1908,Ticks: Mon. Ixodoides,,59,-61,,,,,x
literature,Acari,Argasidae,Argasidae,Ornithodoros,Argas,talaje,,Argas talaje,(Guerin-Meneville),1849,,Banks,1908,"U.S. Dept. Agr., Bur. Ent.",15,1,-60,,,,,x
literature,Acari,Argasidae,Argasidae,Ornithodoros,Argas,talaje,,Argas talaje,(Guerin-Meneville),1849,,"Cox, Jahraus & Moore",1921,Pom Coll. J. Ent. & Zool.,13,23,-37,,,,,x
literature,Acari,Argasidae,Argasidae,Ornithodoros,Argas,talaje,,Argas talaje,(Guerin-Meneville),1849,,Aitken,1939,Pan-Pac. Ent.,15,12,,,,,,x
literature,Acari,Argasidae,Argasidae,Ornithodoros,Argas,talaje,,Argas talaje,(Guerin-Meneville),1849,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,20,,,,,,x
literature,Acari,Ascidae,Antennoseiidae,Antennoseius,Antennoseius,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Ascidae,Ascidae,Gamasellodes,Gamasellodes,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Ascidae,Ascidae,Iphidozercon,Iphidozercon,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Ascidae,Ascidae,Zerconopsis,Zerconopsis,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Bdellidae,Bdellidae,Bdella,Bdella,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Bimichaeliidae,Bimichaeliidae,undetermined,,sp.,,,,,as Pachygnathidae,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Brachychthoniidae,Brachychthoniidae,Eobrachychtonius,Eobrachychtonius,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Brachychthoniidae,Brachychthoniidae,Poecilochthonius,Poecilochthonius,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Brachychthoniidae,Brachychthoniidae,Sellnickochthonius,Sellnickochthonius,sp. (zelawaiensis grp.),,Sellnickochthonius sp. (zelawaiensis grp.),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Caeculidae,Caeculidae,Caeculus,Caeculus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Caligonellidae,Caligonellidae,Caligonella,Caligonella,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Camerobiidae,Camerobiidae,Neophyllobius,Neophyllobius,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Camisiidae,Camisiidae,Camisia,Camisia,sp. (segnis grp.),,Camisia sp. (segnis grp.),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Ceratozetidae,Ceratozetidae,Ceratozetes,Ceratozetes,new sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Ceratozetidae,Ceratozetidae,Ceratozetes,Ceratozetes,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Ceratozetidae,Camobatidae,Chamobates,Chamobates,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Ceratozetidae,Ceratozetidae,new gen.,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
