aracsp
Aceria catalinae
Acomatacarus arizonensis
Agaue variabilis
Agauopsis curvata
Agauopsis filirostris
Allocosa subparva
Amaurobius latescens
Aptostichus atomarius
Araneus montereyensis
Araniella displicata
Archoleptoneta schusteri
Arctosa littoralis
Argas talaje
Ariadna fidicina
Calilena angelena
Calilena californica
Calilena saylori

Cheiracanthium inclusum
Chelaseius floridanus
Citharoceps cruzana
Citharoceps fidicina
Copidognathus ilsebartschi
Copidognathus spinifer
Coriarachne utahensis
Crustulina sticta
Dermacentor albipictus
Dermanyssus gallinae
Dictyna calcarata
Drassinella modesta
Drassodes angulus
Drassyllus barbus
Drassyllus insularis
Drassylus barbus
Ebo pepinensis
Emblyna olympiana
Emblyna serena
Epicriopsis nr. palustris
Epidamaeus nr. longispinosus
Eremaeus stiktos
Eremobates scopulatus
Erigone dentosa
Escaphiella hespera
Euryopis spinigera
Euschoengastia ambocalis
Euschoengastia lacerta
Euschoengastia numerosa
Euschoengastoides nr. neotomae
Eustala conchlea
Eustigmaeus plumifer
Eutrombicula belkini
Frontinella communis
Frontinella pyramitela
Habronattus hirsutus
Habronattus oregonus
Haemaphysalis leporispalustris
Halacarus newelli
Haplochthonius variabilis
Haplodrassus signifer
Herpyllus hesperolus
Hololena barbarana
Hololena pacifica
Hubbardia belkini
Hubbardia pentapeltis
Hypsosinga funebris
Hyptiotes gertschi
Ioxdes pacificus
Isometrus maculatus
Ixodes brunneus
Ixodes murreleti
Ixodes peromysci
Ixodes rugosus
Ixodes sculptus
Ixodes signatus
Joshuella sp. (nr. striata)
Kibramoa isolata
Kukulcania geophila
Kukulcania hibernalis
Labidostommatidae (nr. plumosum)
Laelaps pilosula
Ledermuelleria modiola
Ledermuelleria nr. pectinata
Ledermuelleria segnis
Leiobunum exilipes
Liacarus nr. bidentatus
Lupettiana mordax
Lutica clementea
Lutica maculata
Marinarozelotes lyonneti
Mecaphesa importuna
Mecaphesa importunus belkini
Meriola arcifera
Meriola californica
Metaphidippus utanus
Metepeira crassipes
Metepeira foxi
Metepeira gosoga
Metepeira grinnelli
Meteperia gosoga
Micaria utahna
Microtrombidium augustipes
Neon avalonus
Neoscona oaxacensis
Nodocion voluntarius
Oecobius annulipes
Ophionyssus natricis
Ornithodoros megnini
Ornithonyssus bacoti
Ornithonyssus sylviarum
Ortholasma coronadense
Otodectes cynotis
Oxyopes salticus
Pardosa californica
Pardosa ramulosa
Pardosa sternalis
Peckhamia scorpionia
Pellonyssus passeri
Phanias harfordi
Philodromus chamisis
Philodromus spectabilis
Plectreurys castanea
Promyrmekiaphila clathrata
Propelops canadensis/rossica grp.
Protolophus tuberculatus
Pseidouroctonus minimus thompsoni
Pseudouroctonus minimus minimus
Pseudouroctonus minimus thompsoni
Psilochorus bantus
Pteracarus (nr.) chalinolobus
Raillietia caprae
Rualena alleni
Rualena cockerelli
Rualena cruzana
Rualena rua
Salticus scenicus
Schizomus belkini
Segestria cruzana
Sellnickochthonius sp. (zelawaiensis grp.)
Sergiolus montanus
Spirembolus redondo
Steatoda albomaculata
Steatoda medialis
Steatoda washona
Stigmaeus nr. mimus
Tegenaria domestica
Tetragnatha versicolor
Theridion murarium
Theridion punctipes
Tibellus chamberlini
Tidarren haemorrhoidale
Uroctonus mordax
Wamba crispulus
Wubana drassoides
Xysticus californicus
Xysticus montanensis
Yorima angelica
Zelotes cruz
Zelotes cruzana
