"","acceptedFamily","acceptedGenus","acceptedName","island"
"1","Agelenidae",,,"Santa Catalina"
"2","Agelenidae","Agelenopsis",,"Santa Catalina"
"3","Agelenidae","Agelenopsis","Agelenopsis aperta","Santa Catalina"
"4","Anyphaenidae","Anyphaena",,"Santa Catalina"
"5","Anyphaenidae",,,"Santa Cruz"
"6","Anystidae",,,"San Clemente"
"7","Anystidae","Anystis",,"San Clemente"
"8","Araneidae","Aculepeira","Aculepeira packardi","Santa Cruz"
"9","Araneidae",,,"Santa Catalina"
"10","Araneidae","Araneus",,"Santa Catalina"
"11","Araneidae","Araneus","Araneus andrewsi","San Clemente"
"12","Araneidae","Araneus","Araneus detrimentosus","Santa Catalina"
"13","Araneidae","Araneus","Araneus gemma","Santa Catalina"
"14","Araneidae","Argiope",,"Santa Catalina"
"15","Araneidae","Argiope","Argiope argentata","Santa Catalina"
"16","Araneidae","Argiope","Argiope aurantia","Santa Catalina"
"17","Araneidae","Argiope","Argiope trifasciata","Santa Catalina"
"18","Araneidae","Cyclosa",,"Anacapa"
"19","Araneidae","Cyclosa","Cyclosa turbinata","San Clemente"
"20","Araneidae","Eustala",,"San Clemente"
"21","Araneidae","Mastophora","Mastophora cornigera","San Clemente"
"22","Araneidae","Metepeira",,"Santa Catalina"
"23","Araneidae","Metepeira","Metepeira spinipes","San Clemente"
"24","Araneidae","Neoscona",,"Santa Catalina"
"25","Araneidae","Neoscona","Neoscona crucifera","Santa Catalina"
"26","Araneidae","Zygiella",,"Anacapa"
"27","Araneidae","Zygiella","Zygiella x-notata","San Clemente"
"28","Bdellidae",,,"San Clemente"
"29","Bdellidae","Neomolgus",,"Santa Cruz"
"30","Bdellidae","Neomolgus","Neomolgus littoralis","Santa Catalina"
"31","Caeculidae",,,"San Clemente"
"32","Camisiidae",,,"San Clemente"
"33","Hadruridae","Hadrurus",,"Santa Catalina"
"34","Hadruridae","Hadrurus","Hadrurus arizonensis","Santa Catalina"
"35","Cheiracanthiidae","Cheiracanthium",,"Santa Cruz"
"36","Cheiracanthiidae","Cheiracanthium","Cheiracanthium mildei","San Clemente"
"37","Cheliferidae",,,"Santa Catalina"
"38","Chernetidae",,,"San Clemente"
"39","Chthoniidae",,,"San Clemente"
"40","Clubionidae","Clubiona",,"San Clemente"
"41","Eupodidae","Linopodes",,"San Clemente"
"42","Corinnidae","Castianeira",,"San Clemente"
"43","Corinnidae","Castianeira","Castianeira occidens","Santa Catalina"
"44","Cybaeidae",,,"Santa Cruz"
"45","Cymbaeremaeidae","Scapheremaeus",,"San Clemente"
"46","Desidae","Badumna","Badumna longinqua","Santa Catalina"
"47","Dictynidae","Nigma","Nigma linsdalei","Santa Catalina"
"48","Dysderidae","Dysdera","Dysdera crocata","Santa Catalina"
"49","Eremobatidae","Eremobates",,"Santa Catalina"
"50","Eremobatidae",,,"Santa Catalina"
"51","Eriophyidae","Aceria","Aceria baccharices","Santa Cruz"
"52","Eriophyidae","Aceria","Aceria boycei","Santa Catalina"
"53","Eriophyidae","Eriophyes","Eriophyes paracalifornicus","Santa Cruz"
"54","Erythracaridae",,,"San Clemente"
"55","Erythraeidae","Abrolophus",,"Santa Catalina"
"56","Erythraeidae","Balaustium",,"San Clemente"
"57","Erythraeidae",,,"San Clemente"
"58","Garypidae","Garypus",,"Santa Cruz"
"59","Garypidae","Garypus","Garypus californicus","San Nicolas"
"60","Gnaphosidae","Drassodes",,"San Clemente"
"61","Gnaphosidae",,,"Santa Catalina"
"62","Gnaphosidae","Herpyllus","Herpyllus propinquus","Santa Catalina"
"63","Halonoproctidae","Bothriocyrtum","Bothriocyrtum californicum","Santa Catalina"
"64","Halonoproctidae",,,"Santa Catalina"
"65","Ixodidae","Ixodes","Ixodes pacificus","Santa Rosa"
"66","Linyphiidae","Erigone",,"San Clemente"
"67","Linyphiidae",,,"San Clemente"
"68","Lycosidae","Alopecosa",,"Santa Cruz"
"69","Lycosidae","Alopecosa","Alopecosa kochi","San Clemente"
"70","Lycosidae",,,"Santa Catalina"
"71","Lycosidae","Pardosa",,"Santa Catalina"
"72","Lycosidae","Schizocosa",,"Santa Cruz"
"73","Lycosidae","Schizocosa","Schizocosa mccooki","Santa Cruz"
"74","Eutrombidiidae","Eutrombidium",,"San Clemente"
"75","Mimetidae","Mimetus",,"Santa Cruz"
"76","Oecobiidae","Oecobius",,"Santa Catalina"
"77","Oecobiidae","Oecobius","Oecobius navus","Santa Catalina"
"78","Oonopidae","Escaphiella",,"San Clemente"
"79","Oxyopidae","Oxyopes","Oxyopes scalaris","Santa Cruz"
"80","Oxyopidae",,,"San Nicolas"
"81","Oxyopidae","Peucetia",,"San Clemente"
"82","Oxyopidae","Peucetia","Peucetia viridans","Santa Cruz"
"83","Parasitidae",,,"San Clemente"
"84","Penthaleidae",,,"San Nicolas"
"85","Phalangodidae","Sitalcina",,"San Clemente"
"86","Philodromidae",,,"Santa Cruz"
"87","Philodromidae","Tibellus",,"Santa Cruz"
"88","Philodromidae","Tibellus","Tibellus oblongus","Santa Catalina"
"89","Pholcidae","Holocnemus","Holocnemus pluchei","Santa Cruz"
"90","Pholcidae",,,"San Clemente"
"91","Pholcidae","Pholcus",,"Santa Catalina"
"92","Pholcidae","Pholcus","Pholcus phalangioides","Anacapa"
"93","Pholcidae","Psilochorus",,"San Clemente"
"94","Plectreuridae","Plectreurys",,"San Clemente"
"95","Protolophidae","Protolophus",,"Santa Cruz"
"96","Protolophidae","Protolophus","Protolophus cockerelli","San Clemente"
"97","Protolophidae","Protolophus","Protolophus singularis","Santa Cruz"
"98","Rhagidiidae",,,"San Clemente"
"99","Salticidae",,,"Anacapa"
"100","Salticidae","Habronattus",,"Santa Barbara"
"101","Salticidae","Habronattus","Habronattus californicus","Santa Catalina"
"102","Salticidae","Habronattus","Habronattus oregonensis","Santa Barbara"
"103","Salticidae","Habronattus","Habronattus tarsalis","San Nicolas"
"104","Salticidae","Metacyrba",,"Santa Catalina"
"105","Salticidae","Metacyrba","Metacyrba taeniola","Santa Cruz"
"106","Salticidae","Metaphidippus",,"Anacapa"
"107","Salticidae","Mexigonus","Mexigonus minutus","Santa Catalina"
"108","Salticidae","Mexigonus","Mexigonus morosus","San Clemente"
"109","Salticidae","Pelegrina","Pelegrina aeneola","Santa Cruz"
"110","Salticidae","Phanias",,"Santa Catalina"
"111","Salticidae","Phidippus",,"Santa Catalina"
"112","Salticidae","Phidippus","Phidippus adumbratus","Santa Cruz"
