"","source","year","month","island","order","acceptedFamily","acceptedGenus","acceptedName"
"1","iNaturalist",2019,2,"San Clemente","Coleoptera",,,
"2","iNaturalist",2019,3,"San Clemente","Coleoptera",,,
"3","iNaturalist",2019,4,"San Clemente","Coleoptera",,,
"4","iNaturalist",2019,4,"San Clemente","Coleoptera",,,
"5","iNaturalist",2019,5,"San Clemente","Coleoptera",,,
"6","iNaturalist",2019,6,"San Clemente","Coleoptera",,,
"7","iNaturalist",2019,8,"San Clemente","Coleoptera",,,
"8","iNaturalist",2019,8,"San Clemente","Coleoptera",,,
"9","iNaturalist",2020,1,"San Clemente","Coleoptera",,,
"10","iNaturalist",2020,1,"San Clemente","Coleoptera",,,
"11","iNaturalist",2020,2,"San Clemente","Coleoptera",,,
"12","iNaturalist",2020,2,"San Clemente","Coleoptera",,,
"13","iNaturalist",2020,6,"San Clemente","Coleoptera",,,
"14","iNaturalist",2019,5,"San Clemente","Coleoptera",,,
"15","iNaturalist",2019,5,"San Clemente","Coleoptera",,,
"16","iNaturalist",2019,6,"San Clemente","Coleoptera",,,
"17","iNaturalist",2019,5,"San Clemente","Coleoptera",,,
"18","iNaturalist",2019,6,"San Clemente","Coleoptera",,,
"19","iNaturalist",2021,5,"San Clemente","Coleoptera",,,
"20","iNaturalist",2019,5,"San Clemente","Coleoptera",,,
"21","iNaturalist",2019,5,"San Clemente","Coleoptera",,,
"22","iNaturalist",2019,3,"San Clemente","Coleoptera",,,
"23","iNaturalist",2016,4,"Santa Catalina","Coleoptera",,,
"24","iNaturalist",,,"Santa Catalina","Coleoptera",,,
"25","iNaturalist",2017,3,"Santa Catalina","Coleoptera",,,
"26","iNaturalist",2018,4,"Santa Catalina","Coleoptera",,,
"27","iNaturalist",2018,4,"Santa Catalina","Coleoptera",,,
"28","iNaturalist",2018,4,"Santa Catalina","Coleoptera",,,
"29","iNaturalist",2019,4,"Santa Catalina","Coleoptera",,,
"30","iNaturalist",2019,4,"Santa Catalina","Coleoptera",,,
"31","iNaturalist",2019,5,"Santa Catalina","Coleoptera",,,
"32","iNaturalist",2010,3,"Santa Catalina","Coleoptera",,,
"33","iNaturalist",2019,11,"Santa Catalina","Coleoptera",,,
"34","iNaturalist",2021,3,"Santa Catalina","Coleoptera",,,
"35","iNaturalist",2017,11,"Santa Barbara","Coleoptera",,,
"36","iNaturalist",2019,6,"Santa Barbara","Coleoptera",,,
"37","iNaturalist",2017,4,"Santa Cruz","Coleoptera",,,
"38","iNaturalist",2017,5,"Santa Cruz","Coleoptera",,,
"39","iNaturalist",2017,5,"Santa Cruz","Coleoptera",,,
"40","iNaturalist",2017,5,"Santa Cruz","Coleoptera",,,
"41","iNaturalist",2017,5,"Santa Cruz","Coleoptera",,,
"42","iNaturalist",2018,4,"Santa Cruz","Coleoptera",,,
"43","iNaturalist",2019,2,"Santa Cruz","Coleoptera",,,
"44","iNaturalist",2019,3,"Santa Cruz","Coleoptera",,,
