id,observed_on_string,source,year,month,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,acceptedOrder,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,acceptedName
5708919,2017/04/14 3:37 PM PDT,iNaturalist,2017,4,4/14/17 0:00,2017-04-14 22:37:00 UTC,Pacific Time (US & Canada),213838,vireolanius,2017-04-15 02:29:53 UTC,2017-04-15 02:53:35 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5708919,https://inaturalist-open-data.s3.amazonaws.com/photos/7076530/medium.jpg?1492223370,,,,0,0,FALSE,,"Los Angeles County, US-CA, US",San Clemente,33.014853,-118.604107,273,273,,,FALSE,,manual,Termites,Termitoidae,Termites,Insecta,118903,Blattodea,Blattodea,,,,,,
21350797,2019-03-06 3:51:36 PM PST,iNaturalist,2019,3,3/6/19 0:00,,Pacific Time (US & Canada),34488,pileated,2019-03-18 06:05:15 UTC,2019-03-18 21:43:04 UTC,research,CC-BY,https://www.inaturalist.org/observations/21350797,https://inaturalist-open-data.s3.amazonaws.com/photos/33022437/medium.jpeg?1552889119,,,,2,0,FALSE,2,"Unnamed Road, California, USA",San Clemente,33.002509,-118.55466,44,44,,,FALSE,gps,gps,Turkestan Cockroach,Shelfordella lateralis,Turkestan Cockroach,Insecta,249675,Blattodea,Blattodea,Blattidae,Blattidae,Shelfordella,Shelfordella,Shelfordella lateralis,Shelfordella lateralis
21759707,3/21/19,iNaturalist,2019,3,3/21/19 0:00,,Pacific Time (US & Canada),12809,cedric_lee,2019-03-30 00:55:35 UTC,2020-04-23 23:06:24 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21759707,https://inaturalist-open-data.s3.amazonaws.com/photos/33690388/medium.jpeg?1553896212,,,,1,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.98217833,-118.5697667,,,,,FALSE,,,subterranean termites,Reticulitermes,,Insecta,119933,Blattodea,Blattodea,Rhinotermitidae,Rhinotermitidae,Reticulitermes,Reticulitermes,,
21810273,2019/03/25 6:59 PM PDT,iNaturalist,2019,3,3/25/19 0:00,2019-03-26 01:59:00 UTC,Pacific Time (US & Canada),12809,cedric_lee,2019-03-31 02:11:06 UTC,2020-04-23 22:42:51 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21810273,https://inaturalist-open-data.s3.amazonaws.com/photos/33777716/medium.jpeg?1553991852,,,,1,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.87782116,-118.4354395,81,81,,,FALSE,,,subterranean termites,Reticulitermes,,Insecta,119933,Blattodea,Blattodea,Rhinotermitidae,Rhinotermitidae,Reticulitermes,Reticulitermes,,
35925136,Thu Nov 21 2019 11:50:27 GMT-0800 (PST),iNaturalist,2019,11,11/21/19 0:00,2019-11-21 19:50:27 UTC,Pacific Time (US & Canada),213838,vireolanius,2019-11-21 19:53:27 UTC,2019-11-23 01:41:38 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/35925136,https://inaturalist-open-data.s3.amazonaws.com/photos/56714397/medium.jpg?1574366634,,,,0,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.99588333,-118.552995,5,5,,,FALSE,,,,Reticulitermes hesperus,Western Subterranean Termite,Insecta,296465,Blattodea,Blattodea,Rhinotermitidae,Rhinotermitidae,Reticulitermes,Reticulitermes,Reticulitermes hesperus,Reticulitermes hesperus
35925250,Thu Nov 21 2019 11:55:19 GMT-0800 (PST),iNaturalist,2019,11,11/21/19 0:00,2019-11-21 19:55:19 UTC,Pacific Time (US & Canada),266196,shrike2,2019-11-21 19:58:01 UTC,2019-11-21 20:24:05 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/35925250,https://static.inaturalist.org/photos/56714034/medium.jpg?1574366289,,,,1,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.99590632,-118.5529722,5,5,,,FALSE,,,Western Subterranean Termite,Reticulitermes hesperus,Western Subterranean Termite,Insecta,296465,Blattodea,Blattodea,Rhinotermitidae,Rhinotermitidae,Reticulitermes,Reticulitermes,Reticulitermes hesperus,Reticulitermes hesperus
37660564,Thu Jan 16 2020 09:36:07 GMT-0800 (PST),iNaturalist,2019,1,1/16/20 0:00,2020-01-16 17:36:07 UTC,Pacific Time (US & Canada),266196,shrike2,2020-01-16 20:51:33 UTC,2020-01-16 20:52:46 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/37660564,https://static.inaturalist.org/photos/59749113/medium.jpg?1579207923,,,,0,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,33.00451667,-118.557305,5,5,,,FALSE,,,,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,Blattodea,,,,,,
41740966,2019/06/21 10:24 AM PDT,iNaturalist,2019,6,6/21/19 0:00,2019-06-21 17:24:00 UTC,Pacific Time (US & Canada),173183,serpophaga,2020-04-09 04:33:32 UTC,2020-04-25 03:59:48 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/41740966,https://inaturalist-open-data.s3.amazonaws.com/photos/66223983/medium.jpg?1586406408,,,,0,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.99585,-118.5516139,5,5,,,FALSE,,,Termites,Termitoidae,Termites,Insecta,118903,Blattodea,Blattodea,,,,,,
73269024,6/26/19,iNaturalist,2019,6,6/26/19 0:00,,Pacific Time (US & Canada),34488,pileated,2021-04-08 04:03:47 UTC,2021-04-24 21:01:18 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/73269024,https://inaturalist-open-data.s3.amazonaws.com/photos/119597819/medium.jpg?1617853914,,SBBG-SCL-TIC_000218,Collected by Robyn A. Shea via time-constrained search under stones in a Quercus tomentella stand at the top of a steep canyon. Images by Leah C. Makler.,0,0,FALSE,,"Top of Grove Canyon, San Clemente Island, Los Angeles County, CA, USA. Coordinate uncertainty  reflects the broad area from which the specimens were possibly sampled.",San Clemente,32.8772,-118.4341,200,200,,,FALSE,,,Reticulitermes,Reticulitermes,,Insecta,119933,Blattodea,Blattodea,Rhinotermitidae,Rhinotermitidae,Reticulitermes,Reticulitermes,,
6947516,2017/07/06 12:26 AM PDT,iNaturalist,2017,7,7/6/17 0:00,2017-07-06 07:26:00 UTC,Pacific Time (US & Canada),275891,psyllidhipster,2017-07-06 22:23:27 UTC,2017-10-14 19:21:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6947516,https://inaturalist-open-data.s3.amazonaws.com/photos/8879539/medium.jpeg?1499377539,,,,1,0,FALSE,,"Avalon, CA 90704, USA",Santa Catalina,33.34078258,-118.3263588,233,233,,,FALSE,,,Oriental Cockroach,Blatta orientalis,Oriental Cockroach,Insecta,154213,Blattodea,Blattodea,Blattidae,Blattidae,Blatta,Blatta,Blatta orientalis,Blatta orientalis
