Catalog Number,kingdom,phylum,class,source,order,bee,family,genus,subgenus,specificEp,subspecies,scientificName,scientific name authorship,Collector,Associated Collector(s),month,day,year,Date Collected,Country,State,County,island ,locality ,Country,State/Province,County/Municipality,Verbatim Elevation,Elevation in Meters,Sampling Protocol,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Donated By,Identified By,Date Identified,Identification Remarks,Field Number,Associated Taxa,Habitat,Additional Label Data,Type Status,# of Male ?,# of Female ?,Individual Count,Sex,Life Stage,Basis of Record,Preparation,Disposition,Language,Institution Code,Collection Code,Owner Institution Code
BMEP0323494,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophora,Mystacanthophora,urbana,catalinae,Anthophora urbana catalinae,,"Menke, A.S.","Miller, D.R.",5,12,1973,5/12/73,USA,California,Los Angeles,San Clemente,"San Clemente Island, 0.5 miles SE. of Pyramid Cove",United States,California,Los Angeles,,,,,33.475°,-119.033°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0323579,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Diadasia,Coquillettapis,rinconis,,Diadasia rinconis ,"Cockerell, 1897","Menke, A.S.","Miller, D.R.",5,12,1973,5/12/73,USA,California,Los Angeles,San Clemente,"San Clemente Island, 0.5 miles SE. of Pyramid Cove",United States,California,Los Angeles,,,,,33.475°,-119.033°,,Snelling,1974,,,,,,none,1,,1,Male,adult,preserved specimen,pinned,in collection,en-US,USNM,USNM,USNM
BMEP0328433,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Apis,,mellifera,,Apis mellifera ,"Linnaeus, 1758","Buegler, M.E.",,5,4,1978,5/4/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,EMEC,EMEC,EMEC
BMEP0329116,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Ceratina,,nanula,,Ceratina nanula ,"(Cockerell, 1987)","Coville, R.",,5,4,1978,5/4/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,Ex. Stem Foeniculum vulgare,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,EMEC
BMEP0329117,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Ceratina,,nanula,,Ceratina nanula ,"(Cockerell, 1987)","Coville, R.",,5,4,1978,5/4/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,Ex. Stem Foeniculum vulgare,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,EMEC
BMEP0325829,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Eucera,Synhalonia,lunata,,Eucera lunata ,"(Timberlake, 1969)","Doyen, J.",,5,4,1978,5/4/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,Calochortus,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,EMEC,EMEC,EMEC
BMEP0325421,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Colletes,,hyalinus,,Colletes hyalinus ,"Provancher, 1888","Bennett, S.B.",,8,24,1981,8/24/81,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0325422,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Colletes,,hyalinus,,Colletes hyalinus ,"Provancher, 1888","Bennett, S.B.",,8,24,1981,8/24/81,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0325437,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hylaeus,Paraprosopis,polifolii,catalinensis,Hylaeus polifolii catalinensis,"Cockerell, 1938","Bennett, S.B.",,8,24,1981,8/24/81,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0325585,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Augochlorella,,pomoniella,,Augochlorella pomoniella ,"(Cockerell, 1915)","Bennett, S.",,8,24,1981,8/24/81,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Avalon Canyon",United States,California,Los Angeles,,,,,33.33°,-118.34°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
