id,observed_on_string,source,year,month,,observed_on,time_observed_at,time_zone,user_id,observed_on_date,observed_on_time,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,acceptedName,common_name,iconic_taxon_name,taxon_id,taxon_order_name,acceptedOrder,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,taxon_species_name,taxon_subspecies_name,taxon_variety_name
21796020,2019/03/23 3:21 PM PDT,iNaturalist,2019,3,,3/23/2019  12:00:00 AM,2019-03-23 22:21:00 UTC,Pacific Time (US & Canada),12809,3/23/19,12:00:00,cedric_lee,2019-03-30 20:39:52 UTC,2021-02-06 09:03:55 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21796020,https://inaturalist-open-data.s3.amazonaws.com/photos/33757766/medium.jpeg?1553975829,,,,0,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.82555556,-118.3655556,,,,,FALSE,,,Arenophilus iugans,Arenophilus iugans,Arenophilus iugans,,Animalia,698943,Geophilomorpha,Geophilomorpha,Geophilidae,Geophilidae,Arenophilus,Arenophilus,Arenophilus iugans,,
37636538,Wed Jan 15 2020 10:23:17 GMT-0800 (PST),iNaturalist,2020,1,,1/15/2020  12:00:00 AM,2020-01-15 18:23:17 UTC,Pacific Time (US & Canada),12809,1/15/20,12:00:00,cedric_lee,2020-01-16 02:15:22 UTC,2021-05-27 06:08:08 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/37636538,https://inaturalist-open-data.s3.amazonaws.com/photos/59701672/medium.jpg?1579140995,,,,0,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.998031,-118.5537,6,6,,,FALSE,,,Strigamia fusata,Strigamia fusata,Strigamia fusata,,Animalia,711183,Geophilomorpha,Geophilomorpha,Geophilidae,Geophilidae,Strigamia,Strigamia,Strigamia fusata,,
21810272,2019/03/25 5:23 PM PDT,iNaturalist,2019,3,,3/25/2019  12:00:00 AM,2019-03-26 00:23:00 UTC,Pacific Time (US & Canada),12809,3/25/19,12:00:00,cedric_lee,2019-03-31 02:11:03 UTC,2020-11-24 22:48:19 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21810272,https://inaturalist-open-data.s3.amazonaws.com/photos/33777620/medium.jpeg?1553991781,,,,0,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.87782116,-118.4354395,81,81,,,FALSE,,,Taiyuna claremontus,Taiyuna claremontus,Taiyuna claremontus,,Animalia,776816,Geophilomorpha,Geophilomorpha,Geophilidae,Geophilidae,Taiyuna,Taiyuna,Taiyuna claremontus,,
39394389,2020/02/23 1:27 PM PST,iNaturalist,2020,2,,2/23/2020  12:00:00 AM,2020-02-23 21:27:00 UTC,Pacific Time (US & Canada),12809,2/23/20,12:00:00,cedric_lee,2020-03-01 07:35:53 UTC,2020-03-30 08:16:26 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/39394389,https://inaturalist-open-data.s3.amazonaws.com/photos/62487549/medium.jpeg?1583041698,,,,0,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.84200116,-118.4422543,173,173,,,FALSE,,,Taiyuna claremontus,Taiyuna claremontus,Taiyuna claremontus,,Animalia,776816,Geophilomorpha,Geophilomorpha,Geophilidae,Geophilidae,Taiyuna,Taiyuna,Taiyuna claremontus,,
38782616,Thu Feb 13 2020 09:47:31 GMT-0800 (PST),iNaturalist,2020,2,,2/13/2020  12:00:00 AM,2020-02-13 17:47:31 UTC,Pacific Time (US & Canada),12809,2/13/20,12:00:00,cedric_lee,2020-02-18 03:05:38 UTC,2020-02-18 03:05:53 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/38782616,https://inaturalist-open-data.s3.amazonaws.com/photos/61692278/medium.jpg?1581995149,,,,0,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.87555137,-118.4822136,33,33,,,FALSE,,,,Taiyuna claremontus,Taiyuna claremontus,,Animalia,776816,Geophilomorpha,Geophilomorpha,Geophilidae,Geophilidae,Taiyuna,Taiyuna,Taiyuna claremontus,,
40870965,2/26/20,iNaturalist,2020,2,,2/26/2020  12:00:00 AM,,Pacific Time (US & Canada),12809,2/26/20,12:00:00,cedric_lee,2020-03-28 09:15:26 UTC,2020-11-22 11:17:32 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/40870965,https://inaturalist-open-data.s3.amazonaws.com/photos/64797008/medium.jpeg?1585386903,,,,0,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.89597944,-118.5249685,11,11,,,FALSE,,,Geophilus becki,Geophilus becki,,,Animalia,568153,Geophilomorpha,Geophilomorpha,Geophilidae,Geophilidae,Geophilus,,Geophilus becki,,
38942843,Thu Feb 20 2020 14:28:16 GMT-0800 (PST),iNaturalist,2020,2,,2/20/2020  12:00:00 AM,2020-02-20 22:28:16 UTC,Pacific Time (US & Canada),12809,2/20/20,12:00:00,cedric_lee,2020-02-21 01:11:14 UTC,2021-01-27 12:15:43 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/38942843,https://inaturalist-open-data.s3.amazonaws.com/photos/61866457/medium.jpg?1582247529,,,"@shrike2 I thought they were Strigamia because of their bright red coloration but head shape indicates another genus. Could be related to Geophilus nicolanus, but that was never indicated to be an intertidal species in the original description. However, G. becki from Los Angeles is an intertidal species and Chamberlin mentioned that it resembled G. nicolanus. Thereâ€™s at least 9 species of centipedes on the island from what Iâ€™ve seen.",0,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,33.033799,-118.596238,55,55,,,FALSE,,,Geophilus becki,Geophilus becki,,,Animalia,568153,Geophilomorpha,Geophilomorpha,Geophilidae,Geophilidae,Geophilus,,Geophilus becki,,
37636441,Wed Jan 15 2020 08:13:48 GMT-0800 (PST),iNaturalist,2020,1,,1/15/2020  12:00:00 AM,2020-01-15 16:13:48 UTC,Pacific Time (US & Canada),12809,1/15/20,12:00:00,cedric_lee,2020-01-16 02:11:14 UTC,2020-11-12 06:23:22 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/37636441,https://inaturalist-open-data.s3.amazonaws.com/photos/59701443/medium.jpg?1579140759,,,,0,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.99639878,-118.5522768,9,9,,,FALSE,,,Garriscaphus,Garriscaphus,,,Animalia,636602,Geophilomorpha,Geophilomorpha,Himantariidae,Himantariidae,Garriscaphus,Garriscaphus,,,
21802911,2019/03/24 9:01 AM PDT,iNaturalist,2019,3,,3/24/2019  12:00:00 AM,2019-03-24 16:01:00 UTC,Pacific Time (US & Canada),12809,3/24/19,12:00:00,cedric_lee,2019-03-30 23:10:39 UTC,2020-04-23 22:49:28 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21802911,https://inaturalist-open-data.s3.amazonaws.com/photos/34124917/medium.jpeg?1554453877,,,,0,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.98485206,-118.5770834,15,15,,,FALSE,,,Himantariidae,Himantariidae,,,Animalia,69828,Geophilomorpha,Geophilomorpha,Himantariidae,Himantariidae,,,,,
21810201,2019/03/25 7:31 AM PDT,iNaturalist,2019,3,,3/25/2019  12:00:00 AM,2019-03-25 14:31:00 UTC,Pacific Time (US & Canada),12809,3/25/19,12:00:00,cedric_lee,2019-03-31 02:10:17 UTC,2020-04-23 22:45:21 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21810201,https://inaturalist-open-data.s3.amazonaws.com/photos/34125355/medium.jpeg?1554455482,,,,0,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.87920242,-118.4394284,8,8,,,FALSE,,,Himantariidae,Himantariidae,,,Animalia,69828,Geophilomorpha,Geophilomorpha,Himantariidae,Himantariidae,,,,,
