locality_latlong,Freq,id,island,latitude,longitude,locality,year,taxa
32.806778-118.419623,1,2065836,San Clemente,32.806778,-118.419623,"Smuggler's Cove, San Clemente Island",1897,aves
32.83453-118.45952,1,1962312,San Clemente,32.83453,-118.45952,"Cave Canyon, San Clemente Island",2011,aves
32.836503-118.459987,1,1962379,San Clemente,32.836503,-118.459987,"San Clemente Island, Cave Canyon",2017,aves
32.85963-118.399969,1,1962572,San Clemente,32.85963,-118.399969,"shoreline south of Mosquito Cove, San Clemente Island",2014,aves
32.896723-118.526083,3,1961640,San Clemente,32.896723,-118.526083,"San Clemente Island, Seal Cove area, LA-CLI-08; Area 2 (la isla di Chiara)",1994,aves
32.896723-118.526083,3,1963333,San Clemente,32.896723,-118.526083,"San Clemente Island, Seal Cove area, LA-CLI-08; Area 2 (la isla di Chiara); ca. 25 feet high",1994,aves
32.896723-118.526083,3,1960829,San Clemente,32.896723,-118.526083,"Seal Cove, San Clemente Island",2012,aves
32.9-118.5,1,2562571,San Clemente,32.9,-118.5,San Clemente Island.,2011,aves
32.904707-118.533931,13,1961422,San Clemente,32.904707,-118.533931,"San Clemente Island, Large rock in Seal Cove",1992,aves
32.914551-118.467543,1,1960597,San Clemente,32.914551,-118.467543,east shore of San Clemente Island,1985,aves
32.917716-118.478093,79,1962391,San Clemente,32.917716,-118.478093,San Clemente Island,1993,aves
32.917716-118.478093,79,1962762,San Clemente,32.917716,-118.478093,"San Clemente Island, 60 miles off coast",1907,aves
32.917716-118.478093,79,1961710,San Clemente,32.917716,-118.478093,"Cave Creek, San Clemente Island",2013,aves
32.917716-118.478093,79,1962755,San Clemente,32.917716,-118.478093,San Clemente Island horse ranch,1920,aves
32.917716-118.478093,79,1959884,San Clemente,32.917716,-118.478093,"0.5 kilometers east of Norton Canyon Mouth, San Clemente Island",1984,aves
32.917716-118.478093,79,1960089,San Clemente,32.917716,-118.478093,"China Canyon, San Clemente Island",1994,aves
32.917716-118.478093,79,1961770,San Clemente,32.917716,-118.478093,"Mouth of Box Canyon, San Clemente Island",1986,aves
32.917716-118.478093,79,1961073,San Clemente,32.917716,-118.478093,"column of rock in sea, San Clemente Island",1907,aves
32.917716-118.478093,79,1959911,San Clemente,32.917716,-118.478093,"Upper China Canyon, west San Clemente Island",1991,aves
33.007473-118.560117,1,1962593,San Clemente,33.007473,-118.560117,"Wilson Cove, San Clemente Island",1992,aves
33.035882-118.595182,2,1960036,San Clemente,33.035882,-118.595182,about the ranch house near the northern end of San Clemente Island,1923,aves
33.035882-118.595182,2,1961695,San Clemente,33.035882,-118.595182,Northwest end of San Clemente Island,1915,aves
33.037044-118.591017,16,1961822,San Clemente,33.037044,-118.591017,"San Clemente Island, Bird Rock",1992,aves
33.219283-119.450905,1,1963235,San Nicolas,33.219283,-119.450905,"San Nicholas Island, Daytona Beach",1993,aves
33.226164-119.47001,1,1961065,San Nicolas,33.226164,-119.47001,"San Nicolas Island, Harrington",2013,aves
33.240833-119.503611,1,2562330,San Nicolas,33.240833,-119.503611,San Nicolas Island; Jackson Hwy between Owens and Shannon Roads,2009,aves
33.249444-119.499444,1,2562575,San Nicolas,33.249444,-119.499444,San Nicolas Island.,2010,aves
33.250054-119.505645,17,1961958,San Nicolas,33.250054,-119.505645,San Nicolas Island,1994,aves
33.250054-119.505645,17,1961386,San Nicolas,33.250054,-119.505645,San Nicholas Island,1909,aves
33.252478-118.245578,1,2065666,Santa Catalina,33.252478,-118.245578,"Santa Catalina Island, Red ledge, site 7, Area C",2015,aves
33.253333-119.513611,1,2562329,San Nicolas,33.253333,-119.513611,San Nicolas Island; Shannon Road,2010,aves
33.26538-119.492353,1,1962392,San Nicolas,33.26538,-119.492353,"San Nicholas Island, Tranquility B",1993,aves
33.271402-119.570851,7,1962302,San Nicolas,33.271402,-119.570851,"San Nicolas Island, Vizcaino Point",1995,aves
33.271402-119.570851,7,1960811,San Nicolas,33.271402,-119.570851,"San Nicolas Island, Vizcaino Point colony",1995,aves
33.275626-119.573095,15,1960787,San Nicolas,33.275626,-119.573095,"San Nicolas Island, Bomber Bluff",1992,aves
33.302533-118.335583,6,1959823,Santa Catalina,33.302533,-118.335583,"Pinnacle Rock, Santa Catalina Island",2004,aves
33.306995-118.306763,1,2065676,Santa Catalina,33.306995,-118.306763,"Seal Rocks, Santa Catalina Island",1990,aves
33.3089-118.313983,5,1961300,Santa Catalina,33.3089,-118.313983,"Seal Rocks, Santa Catalina Island",2003,aves
33.317802-118.30256,1,1960690,Santa Catalina,33.317802,-118.30256,"Avalon, Santa Catalina Island, 2 miles southeast of",1991,aves
33.3296-118.31285,1,1961714,Santa Catalina,33.3296,-118.31285,"Seal Rocks, Santa Catalina Island",2001,aves
33.333507-118.316573,1,1962354,Santa Catalina,33.333507,-118.316573,"Pebbly Beach Canyon, Santa Catalina Island",1911,aves
33.338323-118.327008,19,1963501,Santa Catalina,33.338323,-118.327008,"Avalon, Santa Catalina Island",1987,aves
33.338323-118.327008,19,1960221,Santa Catalina,33.338323,-118.327008,Avalon,1906,aves
33.338323-118.361582,1,1962261,Santa Catalina,33.338323,-118.361582,"Avalon, Santa Catalina Island, about 2 miles west of",1932,aves
33.350556-118.432222,1,2562578,Santa Catalina,33.350556,-118.432222,Santa Catalina Island; Middle Canyon,2011,aves
33.353611-118.439444,1,2562582,Santa Catalina,33.353611,-118.439444,Santa Catalina Island; Thompson Reservoir,2010,aves
33.370171-118.348773,1,1960641,Santa Catalina,33.370171,-118.348773,"Gallaghers Landing, Santa Catalina Island",1911,aves
33.388934-118.454436,59,1961545,Santa Catalina,33.388934,-118.454436,"Pinnacle Rock, Santa Catalina Island",1991,aves
33.388934-118.454436,59,1962393,Santa Catalina,33.388934,-118.454436,Santa Catalina Island,1995,aves
33.388934-118.454436,59,1961077,Santa Catalina,33.388934,-118.454436,"Dairy canyon, Santa Catalina Island",1911,aves
33.388934-118.454436,59,1960658,San Clemente,33.388934,-118.454436,at edge of San Clemente Island on top of pinnacle,1927,aves
33.412282-118.384153,1,1962649,Santa Catalina,33.412282,-118.384153,"Italian Gardens, Santa Catalina Island",1989,aves
33.417183-118.388933,7,1959821,Santa Catalina,33.417183,-118.388933,"Twin Rocks, Santa Catalina Island",2007,aves
33.425233-118.514883,4,1962781,Santa Catalina,33.425233,-118.514883,"Catalina Island, Two Harbors",2008,aves
33.426671-118.425056,1,1962314,Santa Catalina,33.426671,-118.425056,"Lava Wall, Santa Catalina Island",2012,aves
33.449167-118.58068,17,1960979,Santa Catalina,33.449167,-118.58068,"Santa Catalina Island, Gull Island",1992,aves
33.451217-118.486942,2,2065605,Santa Catalina,33.451217,-118.486942,"Bird Island, Santa Catalina Island",1938,aves
33.451217-118.486942,2,1962741,Santa Catalina,33.451217,-118.486942,"Bird Rock, Santa Catalina Island",1968,aves
33.46133-118.522968,3,1962126,Santa Catalina,33.46133,-118.522968,Santa Catalina Island; Howlands Landing,1927,aves
33.46133-118.522968,3,1961493,Santa Catalina,33.46133,-118.522968,Santa Catalina Island; near Howlands Landing,1927,aves
33.464224-119.048,4,1962304,Santa Barbara,33.464224,-119.048,"Santa Barbara Island, Sutil Islet",1976,aves
33.464224-119.048,4,1962053,Santa Barbara,33.464224,-119.048,"Santa Barbara Island, Sutil Rock",1992,aves
33.464224-119.048,4,1960102,Santa Barbara,33.464224,-119.048,"Santa Barbara island, Small island off Santa Barbara island",1927,aves
33.464336-119.048868,1,1962580,Santa Barbara,33.464336,-119.048868,"Santa Barbara Island, Little island off southwest end of",1911,aves
33.467493-119.035723,5,1962697,Santa Barbara,33.467493,-119.035723,"Santa Barbara Island, Cat Canyon",1992,aves
33.46813-119.03833,1,1960445,Santa Barbara,33.46813,-119.03833,Santa Barbara Island,2013,aves
33.46878-119.03856,1,2065640,Santa Barbara,33.46878,-119.03856,Santa Barbara Island,2013,aves
33.47147-119.03645,1,1961299,Santa Barbara,33.47147,-119.03645,Santa Barbara Island,2013,aves
33.471888-119.041605,3,1962344,Santa Barbara,33.471888,-119.041605,"Santa Barbara Island, Signal Peak",2013,aves
33.471888-119.041605,3,1962700,Santa Barbara,33.471888,-119.041605,"Santa Barbara Island, Signal Point",2007,aves
33.4728-119.03873,1,1962570,Santa Barbara,33.4728,-119.03873,Santa Barbara Island,2013,aves
33.4761-119.03732,2,2562636,Santa Barbara,33.4761,-119.03732,Santa Barbara Island.,2009,aves
33.476133-119.037426,26,1961802,Santa Barbara,33.476133,-119.037426,Santa Barbara Island,1973,aves
33.476133-119.037426,26,1962477,Santa Barbara,33.476133,-119.037426,"Santa Barbara Island, Dock B9",2008,aves
33.476133-119.037426,26,1960941,Santa Barbara,33.476133,-119.037426,"Santa Barbara Island, XAMU Nest Site #X106",2001,aves
33.476133-119.037426,26,1961160,Santa Barbara,33.476133,-119.037426,"Santa Barbara Island, XAMU Nest Site #X111",2001,aves
