locality_latlong,Freq,id,island,latitude,longitude,locality,year,taxa
33.32-118.34,1,Cal-IBIS,Santa Catalina,33.32,-118.34,"CATALINA ISLAND, AVALON CANYON, ABOUT 2.5 KM SW AVALON",2001,amphibian
33.33576643-118.3279569,1,Cal-IBIS,Santa Catalina,33.33576643,-118.3279569,"Catalina Island, golf course",1957,amphibian
33.33580339-118.3346121,2,Cal-IBIS,Santa Catalina,33.33580339,-118.3346121,"Avalon Canyon along tributary Creek, Bird Park, Santa Catalina Island",1996,amphibian
33.34207924-118.328885,9,Cal-IBIS,Santa Catalina,33.34207924,-118.328885,Catalina Id.;  Avalon,1957,amphibian
33.34228924-118.327763,5,Cal-IBIS,Santa Catalina,33.34228924,-118.327763,"Santa Catalina Island, Avalon, 1/4 mile above Golf Club House along road by clubhouse",1957,amphibian
33.342697-118.327892,1,Cal-IBIS,Santa Catalina,33.342697,-118.327892,"Willow Cre, Catalina Is. School",1972,amphibian
33.342778-118.326944,80,Cal-IBIS,Santa Catalina,33.342778,-118.326944,Avalon,1915,amphibian
33.3428-118.327,7,1322818095,Santa Catalina,33.3428,-118.327,"Catalina Island (= Santa Catalina Island), Avalon",1932,amphibian
33.34309421-118.328222,8,Cal-IBIS,Santa Catalina,33.34309421,-118.328222,"Avalon, Santa Catalina Is.",1941,amphibian
33.34383816-118.3324081,10,Cal-IBIS,Santa Catalina,33.34383816,-118.3324081,"N slope of canyon, Avalon, corner View de Lou and Stage Rd., Santa Catalina Island",1979,amphibian
33.34998544-118.4106369,5,Cal-IBIS,Santa Catalina,33.34998544,-118.4106369,"Middle Canyon, Santa Catalina Island",1967,amphibian
33.35001732-118.4288374,65,Cal-IBIS,Santa Catalina,33.35001732,-118.4288374,"Santa Cruz Island,  Middle Ranch Canyon",1941,amphibian
33.35204-118.36149,6,890746903,Santa Catalina,33.35204,-118.36149,"Haypress Reservoir, Catalina Island",2013,amphibian
33.3530047-118.3606938,1,657469560,Santa Catalina,33.3530047,-118.3606938,"Santa Catalina Is, Haypress Reservoir",1975,amphibian
33.35328-118.4383,1,890746708,Santa Catalina,33.35328,-118.4383,"Thompson Reservoir, Catalina Island",2013,amphibian
33.35376-118.4396,1,890746697,Santa Catalina,33.35376,-118.4396,"Thompson Reservoir, Catalina Island",2013,amphibian
