locality_latlong,Freq,island,latitude,longitude,locality,year,taxa
22.261-119.554,131,San Nicolas,22.261,-119.554,San Nicolas Island W (Dunes),2016,diptera
32.83333333-118.4666667,1,San Clemente,32.83333333,-118.4666667,NA,2000,diptera
32.884758-118.532024,5,San Clemente,32.884758,-118.532024,"San Clemente Island, Seal Cove",1980,diptera
32.900036-118.500912,4,San Clemente,32.900036,-118.500912,"San Clemente Island, Seal Cove",1980,diptera
32.900036-118.500912,4,San Clemente,32.900036,-118.500912,"San Clemente Island, West Cove",1980,diptera
33.015883-118.598225,1,San Clemente,33.015883,-118.598225,"San Clemente Island, West Cove Dunes",1981,diptera
33.016047-118.598203,14,San Clemente,33.016047,-118.598203,"San Clemente Island, West Cove",1980,diptera
33.2195-119.48647,3,San Nicolas,33.2195,-119.48647,"San Nicolas Island, Dutch Harbor area",1978,diptera
33.221-119.449,201,San Nicolas,33.221,-119.449,"San Nicolas Island, SE corner",2016,diptera
33.247-119.544,141,San Nicolas,33.247,-119.544,San Nicolas Island W (Caliche),2016,diptera
33.25572-119.48537,1,San Nicolas,33.25572,-119.48537,"San Nicolas Island, Naval Air Station headquarters area",1978,diptera
33.28328-119.53188,1,San Nicolas,33.28328,-119.53188,"San Nicolas Island, north end dunes/canyon",1978,diptera
33.32472222-118.3413889,1,Santa Catalina,33.32472222,-118.3413889,NA,2008,diptera
33.32879-118.44996,1,Santa Catalina,33.32879,-118.44996,"Santa Catalina Island, Camp Cactus",1978,diptera
33.34083333-118.3277778,1,Santa Catalina,33.34083333,-118.3277778,NA,1932,diptera
33.3631-118.4613,1,Santa Catalina,33.3631,-118.4613,"Santa Catalina Island, Middle Canyon",1978,diptera
33.925-120.177,1,Santa Rosa,33.925,-120.177,"Santa Rosa Island, China Camp - Cluster Point area",1978,diptera
33.950003-120.100964,1,Santa Rosa,33.950003,-120.100964,"Santa Rosa Island, Beecher's Bay",1987,diptera
33.981-120.075,2,Santa Rosa,33.981,-120.075,"Santa Rosa Island, Windmill Canyon to Black Mt.",1978,diptera
33.996-120.048,5,Santa Rosa,33.996,-120.048,"Santa Rosa Island, Bechers Bay",1978,diptera
33.998239-119.725508,177,Santa Cruz,33.998239,-119.725508,Santa Cruz Island,1989,diptera
34.016667-119.716667,60,Santa Cruz,34.016667,-119.716667,Santa Cruz Island,1989,diptera
34.02122-119.726967,40,Santa Cruz,34.02122,-119.726967,Santa Cruz Island,1989,diptera
34.0213-119.6853,6,Santa Cruz,34.0213,-119.6853,Nearest Named Place: Prisoners Harbor,1977,diptera
34.02443-119.87664,5,Santa Cruz,34.02443,-119.87664,"Santa Cruz Island, Christi Beach",1978,diptera
34.005849-119.726948,4,Santa Cruz,34.005849,-119.726948,Santa Cruz Island; Cascada Creek,1989,diptera
34.005849-119.726948,4,Santa Cruz,34.005849,-119.726948,"Santa Cruz Island, between field station and west end",1979,diptera
34.00554-119.401887,2,Anacapa,34.00554,-119.401887,Channel Islands State Park,2018,diptera
34.00554-119.401887,2,Anacapa,34.00554,-119.401887,Channel Island State Park,2018,diptera
34.005849-119.726948,4,Santa Cruz,34.005849,-119.726948,"Santa Cruz Island, in road across from ranch",1913,diptera
34.008126-119.724201,4,Santa Cruz,34.008126,-119.724201,Santa Cruz Island,1975,diptera
33.996689-119.753683,2,Santa Cruz,33.996689,-119.753683,Santa Cruz Island; South Ridge Road,1992,diptera
34.000531-119.758718,2,Santa Cruz,34.000531,-119.758718,Santa Cruz Island; South Ridge Road,1992,diptera
34.0232-119.7658,2,Santa Cruz,34.0232,-119.7658,NA,1977,diptera
33.9971-119.7258,1,Santa Cruz,33.9971,-119.7258,Santa Cruz Island,2017,diptera
33.9975-119.731,1,Santa Cruz,33.9975,-119.731,Santa Cruz Island,2017,diptera
33.9983-119.7334,1,Santa Cruz,33.9983,-119.7334,Santa Cruz Island,2017,diptera
34.004445-119.774797,1,Santa Cruz,34.004445,-119.774797,"Santa Cruz Island, South Ridge Road.",1992,diptera
34.016667-119.727653,1,Santa Cruz,34.016667,-119.727653,Santa Cruz Island,1991,diptera
34.01962-119.68562,1,Santa Cruz,34.01962,-119.68562,"Santa Cruz Island, Prisoners Harbor",1966,diptera
34.026665-119.875,1,Santa Cruz,34.026665,-119.875,Santa Cruz Is.,1985,diptera
34.02666667-119.875,1,Santa Cruz,34.02666667,-119.875,NA,1963,diptera
34.0479-120.356,1,San Miguel,34.0479,-120.356,"San Miguel Island, Cuyler Harbor",1970,diptera
34.0658-120.371,1,San Miguel,34.0658,-120.371,"San Miguel Island, Simonton Cove",1970,diptera
