locality_latlong,Freq,island,latitude,longitude,locality,year,taxa
32.801-118.425,50,San Clemente,32.801,-118.425,"San Clemente Island, China Point",1973,hymenoptera
32.801-118.425,50,San Clemente,32.801,-118.425,"San Clemente Island, south end of island",1980,hymenoptera
32.814-118.431,1,Santa Catalina,32.814,-118.431,"Santa Catalina Island, Cherry Valley",1981,hymenoptera
32.82-118.37,1,San Clemente,32.82,-118.37,"San Clemente Island, Pyramid Cove to Pyramid Head",1973,hymenoptera
32.820038-118.350075,8,San Clemente,32.820038,-118.350075,"San Clemente Island, Pyramid Head",1963,hymenoptera
32.838-118.373,1,San Clemente,32.838,-118.373,"Los Angeles Co.: Knob Canyon, San Clemente Island",2008,hymenoptera
32.83833-118.37333,1,San Clemente,32.83833,-118.37333,"Knob Canyon, San Clemente Island",2008,hymenoptera
32.859797-118.411653,2,San Clemente,32.859797,-118.411653,San Clemente Island; south of Bryce Canyon,2010,hymenoptera
32.86938-118.42518,2,San Clemente,32.86938,-118.42518,"0.3 km SE Eagle Canyon, San Clemente Island",2011,hymenoptera
32.87138-118.42594,1,San Clemente,32.87138,-118.42594,"Eagle Canyon, San Clemente Island",2011,hymenoptera
32.8718-118.4319,1,San Clemente,32.8718,-118.4319,San Clemente Island; Upper Eagle Canyon,2010,hymenoptera
32.872-118.4849,6,San Clemente,32.872,-118.4849,San Clemente Island; Norton Canyon,2010,hymenoptera
32.8722-118.4353,2,San Clemente,32.8722,-118.4353,San Clemente Island; Upper Eagle Canyon,2010,hymenoptera
32.8722-118.4353,2,San Clemente,32.8722,-118.4353,"Upper Eagle Cyn., San Clemente I.",2010,hymenoptera
32.8734-118.448,7,San Clemente,32.8734,-118.448,San Clemente Island; upper Cave Canyon,2010,hymenoptera
32.87567-118.48221,1,San Clemente,32.87567,-118.48221,San Clemente Island; Norton Canyon,2011,hymenoptera
32.87585-118.48232,1,San Clemente,32.87585,-118.48232,"Norton Canyon, San Clemente Island",2011,hymenoptera
32.877242-118.434694,3,San Clemente,32.877242,-118.434694,San Clemente Island; south of Vista Canyon,2010,hymenoptera
32.87735-118.48283,1,San Clemente,32.87735,-118.48283,"Norton Canyon, San Clemente Island",2011,hymenoptera
32.87807-118.48352,3,San Clemente,32.87807,-118.48352,"Norton Canyon, San Clemente Island",2011,hymenoptera
32.8782-118.4907,2,San Clemente,32.8782,-118.4907,San Clemente Island; Middle Ranch Canyon,2010,hymenoptera
32.88122-118.48528,1,San Clemente,32.88122,-118.48528,"Middle Ranch Canyon, San Clemente Island",2011,hymenoptera
32.8818-118.4444,2,San Clemente,32.8818,-118.4444,San Clemente Island; Vista Canyon,2010,hymenoptera
32.882-118.445,12,San Clemente,32.882,-118.445,"San Clemente Island, White Rock Canyon",1962,hymenoptera
32.882294-118.486894,3,San Clemente,32.882294,-118.486894,San Clemente Island; edge of Middle Ranch Canyon; MDS terrace flat,2010,hymenoptera
32.883-118.45,1,San Clemente,32.883,-118.45,"San Clemente Island, east face of Mt. Thirst",1972,hymenoptera
32.88333333-118.5166667,4,San Clemente,32.88333333,-118.5166667,"San Clemente Island, indian shell mound",1968,hymenoptera
32.884758-118.532024,3,San Clemente,32.884758,-118.532024,"San Clemente Island, Seal Cove",1980,hymenoptera
32.89033508-118.4866104,3,San Clemente,32.89033508,-118.4866104,San Clemente Island,1980,hymenoptera
32.893-118.477,1,San Clemente,32.893,-118.477,"San Clemente Island, Middle Ranch",1939,hymenoptera
32.896-118.463,3,San Clemente,32.896,-118.463,"San Clemente Island, transect from Boulder north to coast",1973,hymenoptera
32.896-118.463,3,San Clemente,32.896,-118.463,"San Clemente Island, transect from Thirst to White Rock",1973,hymenoptera
32.9-118.5,78,San Clemente,32.9,-118.5,San Clemente Island,NA,hymenoptera
32.9-118.5,78,San Clemente,32.9,-118.5,"San Clemente Island, west shore",1968,hymenoptera
32.900036-118.500916,2,San Clemente,32.900036,-118.500916,San Clemente Island,1938,hymenoptera
32.90056-118.54444,1,San Clemente,32.90056,-118.54444,"San Clemente Island, Eel Point",1982,hymenoptera
32.90288-118.49807,6,San Clemente,32.90288,-118.49807,San Clemente Island,1939,hymenoptera
32.903619-118.474467,4,San Clemente,32.903619,-118.474467,San Clemente Island; above Twin Dams Canyon,2010,hymenoptera
32.9051-118.4735,5,San Clemente,32.9051,-118.4735,San Clemente Island; Upper Horton Canyon,2010,hymenoptera
32.905173-118.471614,1,San Clemente,32.905173,-118.471614,San Clemente Island; above Twin Dams Canyon,2010,hymenoptera
32.9093-118.4771,1,San Clemente,32.9093,-118.4771,"Horton Cyn., San Clemente Island",2010,hymenoptera
32.9097-118.4772,1,San Clemente,32.9097,-118.4772,San Clemente Island; Horton Canyon,2010,hymenoptera
32.91-118.48,1,San Clemente,32.91,-118.48,"USA:California, Los Angeles Co., Burns Canyon, San Clemente Island",2008,hymenoptera
32.91-118.53,10,San Clemente,32.91,-118.53,"San Clemente Island, Seal Cove",1980,hymenoptera
32.910152-118.505169,3,San Clemente,32.910152,-118.505169,San Clemente Island,1939,hymenoptera
32.91035-118.5037,2,San Clemente,32.91035,-118.5037,S. Clemente Island,1959,hymenoptera
32.912186-118.497194,3,San Clemente,32.912186,-118.497194,San Clemente Island,2010,hymenoptera
32.912571-118.478893,6,San Clemente,32.912571,-118.478893,San Clemente Island; Upper Horton Canyon; 32.9051 -118.4735,2010,hymenoptera
32.915-118.483,1,San Clemente,32.915,-118.483,"Los Angeles Co.: Burns Canyon, San Clemente Island",2008,hymenoptera
32.915-118.48333,1,San Clemente,32.915,-118.48333,"Burns Canyon, San Clemente Island",2008,hymenoptera
32.915-118.485,2,San Clemente,32.915,-118.485,"Burns Canyon, San Clemente Island",2008,hymenoptera
32.915-118.485,2,San Clemente,32.915,-118.485,"Los Angeles Co.: Burns Canyon, San Clemente Island",2008,hymenoptera
32.91667-118.48333,1,San Clemente,32.91667,-118.48333,"Burns Canyon, San Clemente Island",2008,hymenoptera
32.917-118.483,1,San Clemente,32.917,-118.483,"Los Angeles Co.: Burns Canyon, San Clemente Island",2008,hymenoptera
32.918-118.546,126,San Clemente,32.918,-118.546,"San Clemente Island, Eel Point",1978,hymenoptera
32.918-118.546,126,San Clemente,32.918,-118.546,"San Clemente Island, near Eel Point",1973,hymenoptera
32.919236-118.543673,2,San Clemente,32.919236,-118.543673,San Clemente Island; Eel Point,1978,hymenoptera
32.91985-118.48857,1,San Clemente,32.91985,-118.48857,"Stone Canyon, San Clemente Island",2011,hymenoptera
32.920469-118.503394,6,San Clemente,32.920469,-118.503394,San Clemente Island; above Tota Canyon,2010,hymenoptera
32.9348-118.5483,15,San Clemente,32.9348,-118.5483,San Clemente Island; near Eel Point,2010,hymenoptera
32.9348-118.5483,15,San Clemente,32.9348,-118.5483,"nr. Eel Point, San Clemente Island",2010,hymenoptera
32.9348-118.5483,15,San Clemente,32.9348,-118.5483,San Clemente Island; near Eel Point; 32.9348 -118.5483,2010,hymenoptera
32.938278-118.541297,6,San Clemente,32.938278,-118.541297,San Clemente Island; west of VC-3; MDS terrace flat,2010,hymenoptera
32.94666667-118.5305556,14,San Clemente,32.94666667,-118.5305556,NA,1939,hymenoptera
32.975964-118.571039,7,San Clemente,32.975964,-118.571039,San Clemente Island; northwest terrace flat; MDS boxthorn,2010,hymenoptera
32.975964-118.571039,7,San Clemente,32.975964,-118.571039,San Clemente Island; Northwest terrace flat; MDS boxthorn; 32.975964 -118.571039,2010,hymenoptera
32.975964-118.571039,7,San Clemente,32.975964,-118.571039,San Clemente Island; northwest terrace flat,2010,hymenoptera
32.975964-118.571039,7,San Clemente,32.975964,-118.571039,San Clemente Island; Northwest terrace flat; MDS boxthorn,2010,hymenoptera
32.97964-118.5392,2,San Clemente,32.97964,-118.5392,"NOTS Pier, San Clemente I.",2015,hymenoptera
32.9828-118.57083,4,San Clemente,32.9828,-118.57083,"Flasher Dunes, San Clemente Island",2011,hymenoptera
32.992031-118.574342,14,San Clemente,32.992031,-118.574342,San Clemente Island; dune area,2010,hymenoptera
32.992031-118.574342,14,San Clemente,32.992031,-118.574342,San Clemente Island,2010,hymenoptera
32.99398-118.5472,2,San Clemente,32.99398,-118.5472,"1.5 km SE Wilson Cove, San Clemente I.",2013,hymenoptera
32.99398-118.5472,2,San Clemente,32.99398,-118.5472,"1.5 km SE Wilson Cove, San Clemente Island",2013,hymenoptera
