latitude,longitude,locality
34.019513,-119.72834,Santa Cruz Island
34.01667,-119.71667,Santa Cruz Island
34.01667,-119.71667,"Santa Cruz Island, 3 2/3 miles to Devil's Peak, 2/3 of a mile to USGS post 1941, woodland"
34.04,-120.38,San Miguel Island
33.47558,-119.036211,Santa Barbara Island
32.9,-118.5,San Clemente Island
32.9,-118.5,"San Clemente Island, west shore"
33.25,-119.51,San Nicolas Island
33.25,-119.51,"San Nicolas Island, compound"
34,-119.8,Santa Cruz Island
33.95,-120.1,Santa Rosa Island
33.28,33.28,"San Nicolas Island, Vizcaino Point to Thousand Springs"
34.013522,-119.371837,"Anacapa Island, Middle; 34.004449 -119.39956"
34.013522,-119.371837,"Anacapa Island, Middle; 34.004449 -119.39956; 34.013522 -119.371837"
34.005,-119.393,Anacapa Island
33.475555,-119.035278,Santa Barbara Island
33.389063,-118.431776,Santa Catalina Island
34,-120.41667,"San Miguel Island, Cuylers Harbor, beach"
34,-120.41667,"San Miguel Island, Christi Beach"
34,-120.41667,"San Miguel Island, Cuyler Harbor, beach"
34,-120.41667,"San Miguel Island, Willow Canyon"
32.94666667,-118.5305556,NA
33.965378,-120.10412,Santa Rosa Island
33.4769,-119.03474,Santa Barbara I.
33.4769,-119.03474,Santa Barbara Is.
33.950003,-120.100964,Santa Rosa Island
32.90288,-118.49807,San Clemente Island
34.0397,-120.37444,San Miguel Island
34.040289,-120.373582,San Miguel Island; near airstrip
34.040289,-120.373582,San Miguel Island
33.270832,-119.47139,San Nicholas Island
33.38333,-118.41667,Santa Catalina Island
35.75247,-120.69628,"San Miguel Is., vicinity of Lester Ranch"
33.38583333,-118.4513889,NA
34,-120,withheld
32.89033508,-118.4866104,San Clemente Island
32.910152,-118.505169,San Clemente Island
33.24944444,-119.5002778,NA
33.25,-119.5,San Nicolas Isl
33.39848,-119.5358,Santa Cruz Island
32.900036,-118.500916,San Clemente Island
33.2445,-119.5003,S. Nicolas Island
33.27472222,-118.5261111,NA
33.399382,-118.451002,Catalina
34.39848,-119.5358,Santa Cruz Island
34.56143,-119.29867,"San Nicolas Island, Tule Creek"
34.016667,-119.716667,Santa Cruz Island
34.016667,-119.716667,"Santa Cruz Island, S. Ridge Road"
34.016667,-119.716667,Santa Cruz Island; South Ridge Road
34.016667,-119.716667,Santa Cruz Island; Ranch
34.016667,-119.716667,Santa Cruz Island; 34.008861 -119.761798
34.016667,-119.716667,Santa Cruz Island; in network of trails seen only at night by UC Research Station
34.016667,-119.716667,"Santa Cruz Island, in network of trails seen only at night by UC Research Station"
34.016667,-119.716667,Santa Cruz Island; E Camino Cielo Rd
34.016667,-119.716667,Santa Cruz Island; East Camino Cielo Rd
34.016667,-119.716667,East of UC Research Station
34.016667,-119.716667,St. Cruz Island
34.016667,-119.716667,Santa Cruz Island; near ranch
34.06666,-119.925,"Santa Cruz Island, Fraser Point"
34.01667,-119.71667,"Santa Cruz Island, 1/2 mile S. of University of California Research Station, Canada del Medio"
34.01667,-119.71667,"Santa Cruz Island, UC Station Headquarters"
34.007,-119.762,"Santa Cruz Island, Isley Canyon"
34.06389,-119.75167,"Santa Cruz Island, 0.5 mi. N University California Field Station, Canada del Medio"
34.06389,-119.75167,"Santa Cruz Island, beach, Laguna Canyon"
34.06389,-119.75167,"Santa Cruz Island, 3.8 mi. E of mouth of Canada de los Sauces"
34.06389,-119.75167,"Santa Cruz Island, Canada del Puerto"
34.06389,-119.75167,"Santa Cruz Island, University of California Research Station, Canada del Medio"
34.06389,-119.75167,"Santa Cruz Island, Cascada, 1.5 mi. W. Univ. California Field Station"
34.06389,-119.75167,"Santa Cruz Island, Canada Sauces Oeste"
34.06389,-119.75167,"Santa Cruz Island, Centinela and El Camino Viejo"
34.06389,-119.75167,"Santa Cruz Island, beach at mouth Sauces Canyon"
34.06389,-119.75167,"Santa Cruz Island, 0.5 mi. W University California Field Station, Canada del Medio"
34.06389,-119.75167,"Santa Cruz Island, 2.5 miles N, mouth of Laguna Canyon"
34.06389,-119.75167,"Santa Cruz Island, Christi Beach, west end"
33.475555,-119.035278,"Santa Barbara Island, Cat Canyon"
33.475555,-119.035278,"Santa Barbara Island, Cave Canyon"
33.475555,-119.035278,"Santa Barbara Island, Cliff Canyon"
33.475555,-119.035278,"Santa Barbara Island, Landing Cove"
33.475555,-119.035278,"Santa Barbara Island, northwestern terrace"
33.475555,-119.035278,"Santa Barbara Island, Cat Canyon; 33.475555 -119.035278"
34.012,-119.779,"Santa Cruz Island, between Centinella & Portezuela"
34.012,-119.779,"Santa Cruz Island, between Portezuela and Centinella"
33.389063,-118.431776,Santa Catalina Island; 33.389063 -118.431776
34.012,-119.882,"Santa Cruz Island, 500 feet above Pelican Bay"
33.477233,-119.035216,Santa Barbara Island; 33.47558 -119.036211
33.477233,-119.035216,Santa Barbara Island; northwestern terrace
33.996,-119.71562,"View Point Creek, Santa Cruz Island"
33.996,-119.71562,"Santa Cruz Island, .7 mi W Sauce's Gate on Ridge Rd."
33.996,-119.71562,"Santa Cruz Island, Canada de Isley"
33.996,-119.71562,"Santa Cruz, 2 mi E. of Radar Tracking Station"
34.044982,-119.725853,Santa Cruz Island; 34.016667 -119.716667
34.044982,-119.725853,Santa Cruz Island; Coches Prietos; 33.971399 -119.708214
34.013,-119.791,"Santa Cruz Island, ridge n. Laguna Canyon"
34.013,-119.791,"Santa Cruz Island, ridge s. Chinese Harbor"
33.95,-120.10096,"Santa Rosa Island, Torrey Pine area"
33.95,-120.10096,"Santa Rosa Island, Windmill Canyon north fork"
33.95,-120.10096,Santa Rosa Island 3.5 mi. W.Skunk Point
