locality_latlong,Freq,id,island,latitude,longitude,locality,year,taxa
32.801-118.426,2,2381391003,San Clemente,32.801,-118.426,"San Clemente I., S end",1925,mammal
32.80709263-118.4169988,1,1065370575,San Clemente,32.80709263,-118.4169988,San Clemente Id; Big Dog Cave,NA,mammal
32.811667-118.414444,1,735682818,San Clemente,32.811667,-118.414444,San Clemente Island; Horse Beach Cove,1939,mammal
32.81471849-118.4029746,1,1065413263,San Clemente,32.81471849,-118.4029746,"San Clemente Id; Pyramid Cove; Sheep Cave, W side of cove",1939,mammal
32.822778-118.384167,1,735682588,San Clemente,32.822778,-118.384167,"San Clemente Island; Pyramid Cove, 1/2 mi East of Chinetti Cabin",1939,mammal
32.8233554-118.3776451,2,1145820982,San Clemente,32.8233554,-118.3776451,"Smuggler's Cove, San Clemente Island",1920,mammal
32.82498427-118.3896704,32,1065406410,San Clemente,32.82498427,-118.3896704,San Clemente Id; Pyramid Cove,1939,mammal
32.852778-118.477222,1,735682703,San Clemente,32.852778,-118.477222,San Clemente Island; 1 mi up Horse Canyon,1982,mammal
32.85910417-118.3990939,1,1145821737,San Clemente,32.85910417,-118.3990939,"Mosquito Harbor, San Clemente Island",1918,mammal
32.86079111-118.400486,2,1065425168,San Clemente,32.86079111,-118.400486,San Clemente Id; Mosquito Harbor,1939,mammal
32.883333-118.483333,3,177170964,San Clemente,32.883333,-118.483333,SAN CLEMENTE IS,1915,mammal
32.885556-118.483611,5,735683187,San Clemente,32.885556,-118.483611,San Clemente Island; Middle Ranch Canyon,1941,mammal
32.890556-118.479167,4,735683534,San Clemente,32.890556,-118.479167,San Clemente Island; Middle Ranch Canyon,1941,mammal
32.891489-118.497847,1,1656637045,San Clemente,32.891489,-118.497847,San Clemente Island,1966,mammal
32.891944-118.476667,1,735682780,San Clemente,32.891944,-118.476667,San Clemente Island; Middle Ranch,1941,mammal
32.895-118.48,1,2381407341,San Clemente,32.895,-118.48,"San Clemente I., 3 mi. N Thirst",1974,mammal
32.897222-118.484444,1,735683246,San Clemente,32.897222,-118.484444,"San Clemente Island; Main Road, Mid Island",1982,mammal
32.897975-118.474893,13,2804173303,San Clemente,32.897975,-118.474893,"Twin Dams area, San Clemente Island",2019,mammal
32.9-118.5,48,2381408601,San Clemente,32.9,-118.5,San Clemente I.,1975,mammal
32.9-118.5,48,735684356,San Clemente,32.9,-118.5,San Clemente Island,1976,mammal
32.906-118.485,7,2381406730,San Clemente,32.906,-118.485,"San Clemente I. 0.3 mi. E, 0.8 mi. S BM1484",1964,mammal
32.906918-118.498627,2,476832299,San Clemente,32.906918,-118.498627,NA,1915,mammal
32.907391-118.497684,3,2804167301,San Clemente,32.907391,-118.497684,"Wallrock Canyon, San Clemente Island",2019,mammal
32.90911899-118.4971066,5,1145890996,San Clemente,32.90911899,-118.4971066,San Clemente Island,1897,mammal
32.91694966-118.510373,342,1065412385,San Clemente,32.91694966,-118.510373,San Clemente Id,1973,mammal
32.91694966-118.510373,342,1065333735,San Clemente,32.91694966,-118.510373,San Clemente Id; Red Canyon,1939,mammal
32.91694966-118.510373,342,1065348314,San Clemente,32.91694966,-118.510373,San Clemente Id; Horse Cove,1973,mammal
32.91694966-118.510373,342,1065427014,San Clemente,32.91694966,-118.510373,San Clemente Id; China Point,1939,mammal
32.91694966-118.510373,342,1065420369,San Clemente,32.91694966,-118.510373,San Clemente Id; China Canyon,1939,mammal
32.91694966-118.510373,342,1065419910,San Clemente,32.91694966,-118.510373,San Clemente Id; Horse Beach,1939,mammal
32.91694966-118.510373,342,1065403135,San Clemente,32.91694966,-118.510373,San Clemente Id; near Horse Beach Cove; Big Dog Mesa,1939,mammal
32.91694966-118.510373,342,1065399464,San Clemente,32.91694966,-118.510373,San Clemente Id; Lemon Tank Reservoir,1976,mammal
32.91694966-118.510373,342,1065392252,San Clemente,32.91694966,-118.510373,San Clemente Id; Middle Ranch,1941,mammal
32.91694966-118.510373,342,1065387748,San Clemente,32.91694966,-118.510373,"San Clemente Id; Chinetti Canyon; Fox Cave, near mouth",1939,mammal
32.91694966-118.510373,342,1065428139,San Clemente,32.91694966,-118.510373,San Clemente Id; Horse Beach Cove,1939,mammal
32.91694966-118.510373,342,1065427002,San Clemente,32.91694966,-118.510373,San Clemente Id; Horse Beach Canyon,1939,mammal
32.91694966-118.510373,342,1065416817,San Clemente,32.91694966,-118.510373,San Clemente Id; 1.5 mi S Middle Ranch; Meadow,1941,mammal
32.91694966-118.510373,342,1065421312,San Clemente,32.91694966,-118.510373,San Clemente Id; Big Dog Mesa,1939,mammal
32.91694966-118.510373,342,1065419742,San Clemente,32.91694966,-118.510373,San Clemente Id; Horse Beach Mesa,1939,mammal
32.91694966-118.510373,342,1065374831,San Clemente,32.91694966,-118.510373,San Clemente Id; China Creek Canyon,1939,mammal
32.91694966-118.510373,342,1065426481,San Clemente,32.91694966,-118.510373,San Clemente Id; Middle Ranch Canyon,1941,mammal
32.91694966-118.510373,342,1065425124,San Clemente,32.91694966,-118.510373,San Clemente Id; China Creek Basin,1939,mammal
32.91694966-118.510373,342,1065421762,San Clemente,32.91694966,-118.510373,San Clemente Id; Chinetti Canyon,1939,mammal
32.91694966-118.510373,342,1065418121,San Clemente,32.91694966,-118.510373,"San Clemente Id; Big Dog Mesa, W Pyramid Cove",1939,mammal
32.91694966-118.510373,342,1065415249,San Clemente,32.91694966,-118.510373,San Clemente Id; Zilch Islet,1939,mammal
32.91694966-118.510373,342,1065409555,San Clemente,32.91694966,-118.510373,San Clemente Id; Horse Beach Point,1939,mammal
32.91694966-118.510373,342,1065390186,San Clemente,32.91694966,-118.510373,"San Clemente Id; Middle Ranch Canyon, mouth",1941,mammal
32.924-118.543,2,2381405455,San Clemente,32.924,-118.543,"San Clemente I. 0.2 mi. E, 0.4 mi. N Eel Pt.",1964,mammal
