id,observed_on_string,year,month,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientificName,common_name,iconic_taxon_name,taxon_id,acceptedOrder,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,acceptedName,taxon_species_name,taxon_subspecies_name,taxon_variety_name
19199030,Mon Dec 24 2018 10:38:40 GMT-0800 (PST),2018,12,12/24/2018 0:00,2018-12-24 18:38:40 UTC,Pacific Time (US & Canada),266196,shrike2,2018-12-24 19:47:10 UTC,2021-05-03 00:44:46 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/19199030,https://inaturalist-open-data.s3.amazonaws.com/photos/29489562/medium.jpg?1545680934,,,,3,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.90217309,-118.4718017,10,10,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
19450205,2019/01/05 10:34 AM PST,2019,1,1/5/2019 0:00,2019-01-05 18:34:00 UTC,Pacific Time (US & Canada),266196,shrike2,2019-01-05 22:00:02 UTC,2021-05-03 00:44:38 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/19450205,https://inaturalist-open-data.s3.amazonaws.com/photos/29923381/medium.jpg?1546725115,,,,3,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.90245278,-118.4709333,,,,,FALSE,,,Earwigs,Dermaptera,Earwigs,Insecta,47793,Dermaptera,,,,,,,,
21810199,2019/03/25 7:27 AM PDT,2019,3,3/25/2019 0:00,2019-03-25 14:27:00 UTC,Pacific Time (US & Canada),12809,cedric_lee,2019-03-31 02:10:16 UTC,2021-01-16 23:51:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21810199,https://inaturalist-open-data.s3.amazonaws.com/photos/33776270/medium.jpeg?1553990717,,,,1,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.87920242,-118.4394284,8,8,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
21907540,2019/03/27 2:28 PM PDT,2019,3,3/27/2019 0:00,2019-03-27 21:28:00 UTC,Pacific Time (US & Canada),12809,cedric_lee,2019-04-02 13:39:40 UTC,2021-01-16 23:51:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21907540,https://inaturalist-open-data.s3.amazonaws.com/photos/33937049/medium.jpeg?1554185678,,,,1,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.86861111,-118.4963889,,,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
23146988,Fri Apr 26 2019 08:22:05 GMT-0700 (PDT),2019,4,4/26/2019 0:00,2019-04-26 15:22:05 UTC,Pacific Time (US & Canada),688240,empid,2019-04-26 15:22:39 UTC,2021-05-03 00:43:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23146988,https://inaturalist-open-data.s3.amazonaws.com/photos/35877952/medium.jpg?1556292163,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,32.88117047,-118.4450483,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
23190160,Fri Apr 26 2019 08:21:22 GMT-0700 (PDT),2019,4,4/26/2019 0:00,2019-04-26 15:21:22 UTC,Pacific Time (US & Canada),213838,vireolanius,2019-04-26 18:38:35 UTC,2021-05-03 00:43:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23190160,https://inaturalist-open-data.s3.amazonaws.com/photos/35938169/medium.jpg?1556303920,,,,3,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.88105426,-118.4448432,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
24084544,Mon Apr 29 2019 16:20:07 GMT-0700 (PDT),2019,4,4/29/2019 0:00,2019-04-29 23:20:07 UTC,Pacific Time (US & Canada),266196,shrike2,2019-04-30 00:43:43 UTC,2021-05-03 00:43:14 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/24084544,https://static.inaturalist.org/photos/37248753/medium.jpg?1556585364,,,,3,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,33.00218416,-118.5561389,10,10,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
37465632,Fri Jan 10 2020 08:32:33 GMT-0800 (PST),2020,1,1/10/2020 0:00,2020-01-10 16:32:33 UTC,Pacific Time (US & Canada),266196,shrike2,2020-01-10 21:22:26 UTC,2020-01-12 05:52:28 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/37465632,https://static.inaturalist.org/photos/59398164/medium.jpg?1578691360,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.94418667,-118.52877,10,10,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
37630766,Wed Jan 15 2020 13:40:00 GMT-0800 (PST),2020,1,1/15/2020 0:00,2020-01-15 21:40:00 UTC,Pacific Time (US & Canada),266196,shrike2,2020-01-15 23:10:52 UTC,2021-05-02 23:38:12 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/37630766,https://static.inaturalist.org/photos/59690938/medium.jpg?1579129904,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.99943,-118.5542533,5,5,,,FALSE,,,Ring-legged Earwig,Euborellia annulipes,Ring-legged Earwig,Insecta,196419,Dermaptera,Anisolabididae,Anisolabididae,Euborellia,Euborellia,Euborellia annulipes,Euborellia annulipes,,
41740967,2019/06/21 10:24 AM PDT,2021,6,6/21/2019 0:00,2019-06-21 17:24:00 UTC,Pacific Time (US & Canada),173183,serpophaga,2020-04-09 04:33:32 UTC,2020-12-10 20:08:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41740967,https://inaturalist-open-data.s3.amazonaws.com/photos/66224001/medium.jpeg?1586406421,,,,1,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.99588056,-118.5516528,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
