id,source,year,month,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,acceptedOrder,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,acceptedFamily,taxon_genus_name,taxon_genushybrid_name,acceptedGenus,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name,acceptedName,SBBG collection number
69413913,iNaturalist,2021,2,2021-02-10 2:00:58 PM PST,2/10/21,2021-02-10 22:00:58 UTC,Pacific Time (US & Canada),2177281,gheaton,2021-02-11 15:44:06 UTC,2021-02-11 16:59:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/69413913,https://inaturalist-open-data.s3.amazonaws.com/photos/112617884/medium.jpeg?1613058250,,,,1,0,FALSE,2,"Santa Cruz Island, California 93001, USA",Santa Cruz,34.019225,-119.6839306,,,,,FALSE,gps,gps,Bollmaniulus,Bollmaniulus,,Animalia,154892,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,Bollmaniulus,,Bollmaniulus,,,,,,,
70290938,iNaturalist,2019,4,2019/04/13 9:09 AM PDT,4/13/19,2019-04-13 16:09:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2021-02-28 01:36:13 UTC,2021-04-15 17:46:41 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/70290938,https://inaturalist-open-data.s3.amazonaws.com/photos/114228315/medium.jpeg?1614470216,,,,1,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands National Park, Channel Islands, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,34.02167167,-119.8702933,,,,,FALSE,,,Bollmaniulus,Bollmaniulus,,Animalia,154892,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,Bollmaniulus,,Bollmaniulus,,,,,,,
20473934,iNaturalist,2019,2,2019-02-18 5:39:53 PM PST,2/18/19,2019-02-19 01:39:53 UTC,Pacific Time (US & Canada),392423,bjdion,2019-02-19 03:34:40 UTC,2021-02-11 21:56:27 UTC,needs_id,CC-BY-NC-SA,https://www.inaturalist.org/observations/20473934,https://inaturalist-open-data.s3.amazonaws.com/photos/31605263/medium.jpeg?1550547285,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",Santa Catalina,33.38016351,-118.3935441,7,7,,,FALSE,,,Parajulid millipedes,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
26607590,iNaturalist,2019,6,2019-06-03 10:34:42 AM PDT,6/3/19,2019-06-03 17:34:42 UTC,Pacific Time (US & Canada),392423,bjdion,2019-06-08 14:44:25 UTC,2021-02-11 21:57:55 UTC,needs_id,CC-BY-NC-SA,https://www.inaturalist.org/observations/26607590,https://inaturalist-open-data.s3.amazonaws.com/photos/41326720/medium.jpeg?1560005071,,,,1,0,FALSE,2,"Los Angeles County, US-CA, US",Santa Catalina,33.35028641,-118.4326663,9,9,,,FALSE,,,Parajulid millipedes,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
63094109,iNaturalist,2020,10,Tue Oct 20 2020 07:32:18 GMT-0700 (PDT),10/20/20,2020-10-20 14:32:18 UTC,Pacific Time (US & Canada),3546833,emmalynskey,2020-10-20 15:05:49 UTC,2021-02-11 21:59:45 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/63094109,https://inaturalist-open-data.s3.amazonaws.com/photos/101202918/medium.jpg?1603206369,,,,2,0,FALSE,3,"Santa Catalina Island, CA, US",Santa Catalina,33.44133522,-118.4916733,19,19,,,FALSE,,,Parajulid millipedes,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
10444840,iNaturalist,2018,3,Sun Mar 25 2018 14:38:42 GMT-0700 (PDT),3/25/18,2018-03-25 21:38:42 UTC,Pacific Time (US & Canada),280979,emshaph,2018-03-27 04:50:45 UTC,2021-02-11 21:56:57 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/10444840,https://inaturalist-open-data.s3.amazonaws.com/photos/14517925/medium.jpg?1522127397,,,,1,0,FALSE,3,"W End Rd, , CA, US",Santa Catalina,33.4683781,-118.532996,22,22,,,FALSE,,,Parajulid millipedes,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
1472758,iNaturalist,2013,11,11/18/13 11:29,11/18/13,2013-11-18 19:29:57 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 09:15:16 UTC,2021-02-11 21:57:41 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1472758,https://inaturalist-open-data.s3.amazonaws.com/photos/1825864/medium.JPG?1431249327,,,,1,0,FALSE,,Little Harbor Campground,Santa Catalina,33.386534,-118.473733,195,195,,,FALSE,,,Julida,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
1472770,iNaturalist,2013,2,2/21/13 12:22,2/21/13,2013-02-21 20:22:08 UTC,Pacific Time (US & Canada),95810,kiloueka,2015-05-10 09:16:43 UTC,2021-02-11 21:57:27 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1472770,https://inaturalist-open-data.s3.amazonaws.com/photos/1825876/medium.JPG?1431249414,,,,1,0,FALSE,,Little Harbor Campground,Santa Catalina,33.386534,-118.473733,195,195,,,FALSE,,,Julida,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
38209015,iNaturalist,2020,1,2020-01-26 11:20:35 AM PST,1/26/20,2020-01-26 19:20:35 UTC,Pacific Time (US & Canada),34488,pileated,2020-02-02 05:38:32 UTC,2020-02-02 05:38:37 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/38209015,https://inaturalist-open-data.s3.amazonaws.com/photos/60692497/medium.jpg?1580621915,,,,0,0,FALSE,2,"Santa Cruz Island, California 93001, USA",Santa Cruz,34.01890564,-119.6841888,,,,,FALSE,gps,gps,Parajulidae,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
38209027,iNaturalist,2020,1,2020-01-26 11:32:01 AM PST,1/26/20,2020-01-26 19:32:01 UTC,Pacific Time (US & Canada),34488,pileated,2020-02-02 05:39:02 UTC,2020-02-02 05:39:08 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/38209027,https://inaturalist-open-data.s3.amazonaws.com/photos/60692524/medium.jpg?1580621945,,,,0,0,FALSE,2,"Santa Cruz Island, California 93001, USA",Santa Cruz,34.01908493,-119.6848068,,,,,FALSE,gps,gps,Parajulidae,Parajulidae,Parajulid millipedes,Animalia,82534,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Juliformia,Julida,Julida,,Parajuloidea,Parajulidae,,,,,Parajulidae,,,,,,,,,,
