source,Institution Accession Number ,Country,State,County,island,Locality Detail,Collector(s),order,Family,acceptedFamily,Subfamily,Genus,acceptedGenus,Subgenus,Species,Subspecies,acceptedName,original_date,month,day_arabic,year,TO Date Collected,day_messy,month_messy,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Stage,Elevation
LACM,LACM ENT 406898,USA,CA,Santa Barbara,San Miguel,,,Diptera,Tabanidae,Tabanidae,,Brennania,Brennania,,hera,,Brennania hera,1.viii.1939,8,1,1939,,1,viii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406899,USA,CA,Santa Barbara,San Miguel,,,Diptera,Tabanidae,Tabanidae,,Brennania,Brennania,,hera,,Brennania hera,1.viii.1939,8,1,1939,,1,viii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406900,USA,CA,Santa Barbara,San Miguel,,J.P. Donahue,Diptera,Tabanidae,Tabanidae,,Brennania,Brennania,,hera,,Brennania hera,17.viii.1970,8,17,1970,,17,viii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406901,USA,CA,Los Angeles,Santa Catalina,Toyon Canyon,S. Bennett,Diptera,Tabanidae,Tabanidae,,Tabanus,Tabanus,,punctifer,,Tabanus punctifer,15.v.1982,5,15,1982,,15,v,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406902,USA,CA,Los Angeles,Santa Catalina,Cottonwood Canyon,S. Bennett,Diptera,Tabanidae,Tabanidae,,Tabanus,Tabanus,,punctifer,,Tabanus punctifer,18.v.1982,5,18,1982,,18,v,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406903,USA,CA,Los Angeles,Santa Catalina,Toyon Canyon,S. Bennett,Diptera,Tabanidae,Tabanidae,,Tabanus,Tabanus,,punctifer,,Tabanus punctifer,viii.1988,8,8,1988,,viii,,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406904,USA,CA,Los Angeles,Santa Catalina,Toyon Canyon,S. Bennett,Diptera,Tabanidae,Tabanidae,,Tabanus,Tabanus,,punctifer,,Tabanus punctifer,25.viii.1985,8,25,1985,,25,viii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406905,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,CD Nagano & JN Hogue,Diptera,Tabanidae,Tabanidae,,Tabanus,Tabanus,,punctifer,,Tabanus punctifer,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26Q-04645,Channel Islands Survey,F,,,,,
LACM,LACM ENT 406906,USA,CA,Los Angeles,Santa Catalina,Ben Weston Beach,CD Nagano & JN Hogue,Diptera,Tabanidae,Tabanidae,,Tabanus,Tabanus,,punctifer,,Tabanus punctifer,8.viii.1980,8,8,1980,10.viii.1980,8,viii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406907,USA,CA,Los Angeles,Santa Catalina,Toyon Canyon,S. Bennett,Diptera,Tabanidae,Tabanidae,,Tabanus,Tabanus,,punctifer,,Tabanus punctifer,6.vi.1982,6,6,1982,,6,vi,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406908,USA,CA,Santa Barbara,Santa Rosa,,,Diptera,Tachinidae,Tachinidae,,Cylindromyia,Cylindromyia,,fumipennis,,Cylindromyia fumipennis,9.vii.1939,7,9,1939,,9,vii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406909,USA,CA,Los Angeles,Santa Catalina,Avalon Canyon,S. Bennett,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,29.ix.1981,9,29,1981,,29,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406910,USA,CA,Los Angeles,Santa Catalina,"Botanic garden, Avalon Canyon",S. Bennett,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,29.ix.1981,9,29,1981,,29,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406911,USA,CA,Los Angeles,Santa Catalina,Avalon Canyon,S. Bennett,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,29.ix.1981,9,29,1981,,29,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406912,USA,CA,Los Angeles,Santa Catalina,Avalon Canyon,S. Bennett,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,29.ix.1981,9,29,1981,,29,ix,26Q-04645,Channel Islands Survey,,,,No head,,
LACM,LACM ENT 406913,USA,CA,Los Angeles,Santa Catalina,Avalon Canyon,S. Bennett,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,29.ix.1981,9,29,1981,,29,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406914,USA,CA,Los Angeles,Santa Catalina,Toyon Bay,S. Bennett,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,10.x.1982,10,10,1982,,10,x,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406915,USA,CA,Los Angeles,Santa Catalina,Toyon Canyon,S. Bennett,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,18.ix.1982,9,18,1982,,18,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406916,USA,CA,Santa Barbara,Santa Rosa,,J.A. Comstock,Diptera,Tachinidae,Tachinidae,,,,,,,,11.xi.1941,11,11,1941,,11,xi,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406917,USA,CA,Ventura,Anacapa,,C. Henne,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,20.viii.1940,8,20,1940,,20,viii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406918,USA,CA,Santa Barbara,Santa Rosa,,,Diptera,Tachinidae,Tachinidae,,Paradejeania,Paradejeania,,rutilioides,nigrescens,Paradejeania rutilioides nigrescens,8.vii.1939,7,8,1939,,8,vii,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406919,USA,CA,Ventura,San Nicolas,,R.R. Sanders,Diptera,Sphaeroceridae,Sphaeroceridae,,Leptocera,Leptocera,,,,,13.ix.1962,9,13,1962,,13,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406920,USA,CA,Ventura,San Nicolas,,R.R. Sanders,Diptera,Sphaeroceridae,Sphaeroceridae,,Leptocera,Leptocera,,johnsoni,,Leptocera johnsoni,14.ix.1962,9,14,1962,,14,ix,26Q-04645,Channel Islands Survey,M,,,,,
LACM,LACM ENT 406921,USA,CA,Ventura,San Nicolas,,R.R. Sanders,Diptera,Sphaeroceridae,Sphaeroceridae,,Leptocera,Leptocera,,johnsoni,,Leptocera johnsoni,14.ix.1962,9,14,1962,,14,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406922,USA,CA,Ventura,San Nicolas,,R.R. Sanders,Diptera,Sphaeroceridae,Sphaeroceridae,,Leptocera,Leptocera,,johnsoni,,Leptocera johnsoni,14.ix.1962,9,14,1962,,14,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406923,USA,CA,Ventura,San Nicolas,,R.R. Sanders,Diptera,Sphaeroceridae,Sphaeroceridae,,Leptocera,Leptocera,,johnsoni,,Leptocera johnsoni,14.ix.1962,9,14,1962,,14,ix,26Q-04645,Channel Islands Survey,,,,,,
LACM,LACM ENT 406924,USA,CA,Ventura,San Nicolas,,R.R. Sanders,Diptera,Sphaeroceridae,Sphaeroceridae,,Leptocera,Leptocera,,johnsoni,,Leptocera johnsoni,14.ix.1962,9,14,1962,,14,ix,26Q-04645,Channel Islands Survey,F,,,,,
LACM,LACM ENT 406925,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406926,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406927,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406928,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406929,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406930,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406931,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406932,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406933,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406934,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406935,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406936,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406937,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406938,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406939,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406940,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406941,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406942,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406943,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406944,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,28.v.1939,5,28,1939,,28,v,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406945,USA,CA,Santa Barbara,Santa Barbara,,L.M. Martin,Diptera,Tephritidae,Tephritidae,,Dioxyna,Dioxyna,,picciola,,Dioxyna picciola,6.vi.1939,6,6,1939,,6,vi,26Q-04645,Channel Islands Survey,,On Coreopsis gigantea,,,,
LACM,LACM ENT 406946,USA,CA,Ventura,Anacapa,,C. Henne,Diptera,Tephritidae,Tephritidae,,Trupanea,Trupanea,,wheeleri,,Trupanea wheeleri,29.viii.1940,8,29,1940,,29,viii,26Q-04645,Channel Islands Survey,,Pupa on Corethrogyne filaginifolia var. latifolia,,"Pupa collected 29.viii.1940, emerged 7.ix.1940",,
LACM,LACM ENT 406947,USA,CA,Ventura,Anacapa,,C. Henne,Diptera,Tephritidae,Tephritidae,,Trupanea,Trupanea,,,,,29.viii.1940,8,29,1940,,29,viii,26Q-04645,Channel Islands Survey,,Pupa on Corethrogyne filaginifolia var. latifolia,,"Pupa collected 29.viii.1940, emerged 31.viii.1940",,
