record,source,Barcode,Country,State,County,island,Location,Latitude,Longitude,Collectors,trap,collection code,year,month,order,Family,acceptedFamily,acceptedGenus,acceptedName
occurrence,LACM,LACM ENT 478697,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 42,2016,4,Diptera,Anthomyiidae,Anthomyiidae,,
occurrence,LACM,LACM ENT 478639,USA,California,Ventura,San Nicolas,San Nicolas Island W (Dunes),22.261,-119.554,D. Knapp and C. Garoutte,pitfall trap,SD 39,2016,4,Diptera,Bombyliidae,Bombyliidae,,
occurrence,LACM,LACM ENT 515527,USA,California,Ventura,San Nicolas,San Nicolas Island W (Caliche),33.247,-119.544,D. Knapp and C. Garoutte,pitfall trap,CP 17,2016,4,Diptera,Cecidomyiidae,Cecidomyiidae,,
occurrence,LACM,LACM ENT 515507,USA,California,Ventura,San Nicolas,San Nicolas Island W (Caliche),33.247,-119.544,D. Knapp and C. Garoutte,pitfall trap,CP 39,2016,4,Diptera,Cecidomyiidae,Cecidomyiidae,,
occurrence,LACM,LACM ENT 515635,USA,California,Ventura,San Nicolas,San Nicolas Island W (Dunes),22.261,-119.554,D. Knapp and C. Garoutte,pitfall trap,SD 41,2016,4,Diptera,Cecidomyiidae,Cecidomyiidae,,
occurrence,LACM,LACM ENT 515594,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515596,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515597,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515604,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515606,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515607,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515611,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 515613,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 11,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478656,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478659,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478660,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478661,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
occurrence,LACM,LACM ENT 478662,USA,California,Ventura,San Nicolas,"San Nicolas Island, SE corner",33.221,-119.449,D. Knapp and C. Garoutte,pitfall trap,BB 12,2016,4,Diptera,Chloropidae,Chloropidae,,
