Institution,n
LACM,21894
SBMNH,7087
Bohart,6326
BISON,3393
YPM,2732
UCSB,2152
CAS,1793
SBBG Collected (housed at LACM),473
AMNH,446
UCR,310
UCD,204
EMEC,196
GBIF,179
DMNH,124
UMMZ,119
KU,117
UF,105
University of Alberta Museums (UAM),101
SDNHM,97
ANSP,82
UCRC,67
USDA-ARS,59
UCB,52
SDSU,44
USNM,44
TAMU,34
MCZ,29
CSCA,25
CSU,23
ASU,22
WFBM,22
"C.A. Triplehorn Insect Collection, Ohio State University, Columb",20
LEPSOC,20
DMNS,14
UNM,9
UTEP,9
NHMUK,8
UCM,8
INHS,6
NMSU,5
SDNH,5
UMNH,4
CHAS,3
CNC,3
NCSM,3
OSAC,3
"Smithsonian Institution, National Museum of Natural History",3
UA,3
UTC,3
AUM,2
MIN,2
NCSU,2
PBDB,2
"Cleveland Museum of Natural History, OH (CLEV)",1
CSUC,1
NEMU,1
NMV,1
UDCC,1
WAM,1
"Washington State University, Prosser Campus",1
all invertebrates ,48495
