"","acceptedName","total","acceptedFamily","acceptedGenus"
"1","Acinopterus angulatus",1,"Cicadellidae","Acinopterus"
"2","Aleurodicus dugesii",2,"Aleyrodidae",
"3","Aleyrodes spiraeoides",1,"Aleyrodidae","Aleyrodes"
"4","Anasa tristis",2,"Coreidae","Anasa"
"5","Anthocoris bakeri",1,"Anthocoridae","Anthocoris"
"6","Aphis",3,"Aphididae","Aphis"
"7","Aphis craccivora",1,"Aphididae","Aphis"
"8","Aphis nerii",3,"Aphididae","Aphis"
"9","Aphrophora permutata",11,"Aphrophoridae","Aphrophora"
"10","Apiomerus californicus",4,"Reduviidae","Apiomerus"
"11","Aquarius remigis",1,"Gerridae","Aquarius"
"12","Atomoscelis onustus",8,"Miridae","Atomoscelis"
"13","Bactericera lavaterae",11,"Triozidae","Bactericera"
"14","Bagrada hilaris",4,"Pentatomidae","Bagrada"
"15","Brachycaudus helichrysi",1,"Aphididae","Brachycaudus"
"16","Brachycaudus tragopogonis",1,"Aphididae","Brachycaudus"
"17","Braggia eriogoni",1,"Aphididae","Braggia"
"18","Brevicoryne brassicae",2,"Aphididae","Brevicoryne"
"19","Brooksetta ferox",2,"Miridae","Brooksetta"
"20","Cacopsylla brevistigmata",1,"Psyllidae","Cacopsylla"
"21","Cacopsylla curta",2,"Psyllidae","Cacopsylla"
"22","Calinda collaris",2,"Triozidae","Calinda"
"23","Calophya californica",6,"Calophyidae","Calophya"
"24","Calophya schini",3,"Calophyidae","Calophya"
"25","Catorhintha apicalis",3,"Coreidae","Catorhintha"
"26","Ceroplastes sinensis",4,"Coccidae","Ceroplastes"
"27","Chaitophorus populialbae",1,"Aphididae","Chaitophorus"
"28","Chlorochroa sayi",2,"Pentatomidae","Chlorochroa"
"29","Cimex lectularius",1,"Cimicidae","Cimex"
"30","Closterotomus norwegicus",3,"Miridae","Closterotomus"
"31","Corythucha incurvata",8,"Tingidae","Corythucha"
"32","Corythucha morrilli",1,"Tingidae","Corythucha"
"33","Cosmopepla conspicillaris",1,"Pentatomidae","Cosmopepla"
"34","Craspedolepta martini",1,"Aphalaridae","Craspedolepta"
"35","Creontiades rubrinervis",2,"Miridae","Creontiades"
"36","Danepteryx artemisiae",19,"Tropiduchidae","Danepteryx"
"37","Danepteryx barbarae",1,"Tropiduchidae","Danepteryx"
"38","Danepteryx robusta",1,"Tropiduchidae","Danepteryx"
"39","Deraeocoris bullatus",1,"Miridae","Deraeocoris"
"40","Deraeocoris cerachates",1,"Miridae","Deraeocoris"
"41","Draeculacephala minerva",11,"Cicadellidae","Draeculacephala"
"42","Empicoris rubromaculatus",1,"Reduviidae","Empicoris"
"43","Engytatus modestus",40,"Miridae","Engytatus"
"44","Eucarazzia elegans",1,"Aphididae","Eucarazzia"
"45","Euphyllura olivina",1,"Liviidae","Euphyllura"
"46","Europiella decolor",11,"Miridae","Europiella"
"47","Euscelis variegatus",1,"Cicadellidae","Euscelis"
"48","Euschistus conspersus",1,"Pentatomidae","Euschistus"
"49","Gardena elkinsi",1,"Reduviidae","Gardena"
"50","Geocoris pallens",1,"Lygaeidae","Geocoris"
"51","Glycaspis brimblecombei",1,"Aphalaridae","Glycaspis"
"52","Gyponana angulata",1,"Cicadellidae","Gyponana"
"53","Gyponana procera",1,"Cicadellidae","Gyponana"
"54","Haematosiphon inodorus",1,"Cimicidae","Haematosiphon"
"55","Harmostes reflexulus",1,"Rhopalidae","Harmostes"
"56","Heraeus coquilletti",2,"Rhyparochromidae","Heraeus"
"57","Heterotrioza chenopodii",2,"Triozidae","Heterotrioza"
"58","Irbisia morio",2,"Miridae","Irbisia"
"59","Irbisia pacifica",1,"Miridae","Irbisia"
"60","Largus californicus",47,"Largidae","Largus"
"61","Largus semipletus",1,"Largidae","Largus"
"62","Leptoglossus clypealis",2,"Coreidae","Leptoglossus"
"63","Leptoglossus zonatus",4,"Coreidae","Leptoglossus"
"64","Lopidea marginata",1,"Miridae","Lopidea"
"65","Lygaeus kalmii",19,"Lygaeidae","Lygaeus"
"66","Lygus bradleyi",1,"Miridae","Lygus"
"67","Lygus elisus",1,"Miridae","Lygus"
"68","Macrosiphoniella ludovicianae",1,"Aphididae","Macrosiphoniella"
"69","Macrosiphum euphorbiae",1,"Aphididae","Macrosiphum"
"70","Macrotylus dorsalis",6,"Miridae","Macrotylus"
"71","Melacoryphus rubicollis",4,"Lygaeidae","Melacoryphus"
"72","Melanoliarus zyxus",2,"Cixiidae","Melanoliarus"
"73","Melanopleurus belfragei",1,"Lygaeidae","Melanopleurus"
