"","Family","CalIBIS","LACM","iNaturalist","BOLD","total","Percentage"
"1","Achilidae",0,0,1,0,1,0.000720980533525595
"2","Aleyrodidae",0,0,17,0,17,0.0122566690699351
"3","Alydidae",2,0,0,0,2,0.00144196106705119
"4","Anthocoridae",0,0,8,0,8,0.00576784426820476
"5","Aphalaridae",0,0,4,0,4,0.00288392213410238
"6","Aphididae",0,0,51,1,52,0.0374909877433309
"7","Aphrophoridae",11,0,0,0,11,0.00793078586878154
"8","Berytidae",2,0,1,0,3,0.00216294160057678
"9","Calophyidae",0,0,9,0,9,0.00648882480173035
"10","Cercopidae",6,0,0,0,6,0.00432588320115357
"11","Cicadellidae",28,0,36,0,64,0.0461427541456381
"12","Cicadidae",11,0,1,0,12,0.00865176640230714
"13","Cimicidae",1,0,1,0,2,0.00144196106705119
"14","Cixiidae",0,0,2,2,4,0.00288392213410238
"15","Clastopteridae",0,0,1,0,1,0.000720980533525595
"16","Coccidae",0,0,11,0,11,0.00793078586878154
"17","Coreidae",20,0,19,0,39,0.0281182408074982
"18","Corixidae",15,0,3,0,18,0.0129776496034607
"19","Cydnidae",0,0,1,0,1,0.000720980533525595
"20","Dactylopiidae",0,0,5,0,5,0.00360490266762797
"21","Delphacidae",1,0,1,0,2,0.00144196106705119
"22","Dictyopharidae",0,0,1,0,1,0.000720980533525595
"23","Flatidae",0,0,1,0,1,0.000720980533525595
"24","Gerridae",9,25,4,0,13,0.00937274693583273
"25","Issidae",0,0,1,0,1,0.000720980533525595
"26","Largidae",14,0,52,0,66,0.0475847152126893
"27","Liviidae",0,0,1,0,1,0.000720980533525595
"28","Lygaeidae",43,0,41,0,84,0.06056236481615
"29","Membracidae",10,0,5,0,15,0.0108147080028839
"30","Miridae",131,0,40,0,171,0.123287671232877
"31","Nabidae",0,0,1,0,1,0.000720980533525595
"32","Notonectidae",7,0,5,0,12,0.00865176640230714
"33","Oxycarenidae",0,0,1,0,1,0.000720980533525595
"34","Pentatomidae",11,0,33,0,44,0.0317231434751262
"35","Polymerus",0,0,1,0,1,0.000720980533525595
"36","Pseudococcidae",0,0,1,0,1,0.000720980533525595
"37","Psyllidae",0,0,4,0,4,0.00288392213410238
"38","Pyrrhocoridae",2,0,62,0,64,0.0461427541456381
"39","Reduviidae",44,0,36,0,80,0.0576784426820476
"40","Rhopalidae",1,0,7,0,8,0.00576784426820476
"41","Rhyparochromidae",0,0,11,0,11,0.00793078586878154
"42","Saldidae",4,0,2,0,6,0.00432588320115357
"43","Scutelleridae",0,0,3,0,3,0.00216294160057678
"44","Thyreocoridae",1,0,0,0,1,0.000720980533525595
"45","Tingidae",0,0,13,0,13,0.00937274693583273
"46","Triozidae",0,0,18,0,18,0.0129776496034607
"47","Tropiduchidae",19,0,11,0,30,0.0216294160057678
