"","source","id","institutio","collection","ownerInsti","collecti_1","basisOfRec","occurrence","catalogNum","otherCatal","kingdom","phylum","class","order","family","scientificName","taxonID","scientif_1","genus","specificEp","taxonRank","infraspeci","identified","dateIdenti","identifica","identifi_1","taxonRemar","identifi_2","typeStatus","recordedBy","recordNumb","eventDate","year","month","day","startDayOf","endDayOfYe","verbatimEv","occurren_1","habitat","fieldNumbe","informatio","dataGenera","dynamicPro","associated","reproducti","establishm","lifeStage","sex","individual","samplingPr","samplingEf","preparatio","country","stateProvi","county","municipali","island","locality","ArcMap_IslandName","locationRe","decimalLat","decimalLon","geodeticDa","coordinate","verbatimCo","georeferen","georefer_1","georefer_2","georefer_3","georefer_4","minimumEle","maximumEle","minimumDep","maximumDep","verbatimDe","verbatimEl","dispositio","language","recordEnte","modified","rights","rightsHold","accessRigh","recordId","references","acceptedName","acceptedFamily","acceptedGenus"
"1","Cal-IBIS",1574302,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","6c015b2d-e563-475c-8a90-1addfcb934a3","UCSB-IZC00031711",,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydidae",45430,"Amyot and Serville, 1843",,,,,,,,,,0,,,,,1976,6,0,0,,"Jun-76",,,,,,,,,,,,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,33.998239,-119.725508,"WGS84",20600,,"entan (2019-09-19 15:25:08)",,"georef batch tool 2019-09-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:e92e977d-8007-47f9-a41b-1c9c978afde1","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574302",,,
"2",,1575273,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","3f175b8c-e613-4ec3-ab73-c5be77d1cd95","UCSB-IZC 00001529",,"Animalia","Arthropoda","Insecta","Hemiptera","Alydidae","Alydidae",45430,"Amyot and Serville, 1843",,,,,,,,,,0,,,,,1974,5,0,0,,"1974-5-0",,,,,,,,,,"Adult",,1,,,"Pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,34.008126,-119.724201,"WGS84",20754,,"rbehm (2018-09-17 15:33:25)",,"georef batch tool 2018-09-17; GeoLocate","reviewed - high confidence",,0,,,,,,,,"CWright","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:b04d141c-2a4f-4c63-b54b-ebfa2eba8371","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575273",,,
"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Cal-IBIS",1574325,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","154e3337-0612-4044-bf25-9af7a7d0c7c4","UCSB-IZC00031628",,"Animalia","Arthropoda","Insecta","Hemiptera","Berytidae","Berytidae",45489,"Fieber, 1851",,,,,,,,,,0,,,,"6/21/83 0:00",1983,6,21,172,,"6/21/83",,,,,,,,,,,,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,33.998239,-119.725508,"WGS84",20600,,"entan (2019-09-19 15:25:08)",,"georef batch tool 2019-09-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:d863448b-30d1-40a0-821c-a81752f21bfe","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574325",,,
"5","Cal-IBIS",1574324,"UCSB","IZC",,"b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","44aa8fae-7bc0-41a1-bd1f-4953ea59e159","UCSB-IZC00031654",,"Animalia","Arthropoda","Insecta","Hemiptera","Berytidae","Berytidae",45489,"Fieber, 1851",,,,,,,,,,0,,,,,1976,3,0,0,,"Mar-76",,,,,,,,,,,,1,,,"pinned","United States","California","Santa Barbara",,"Santa Cruz","Santa Cruz Island","Santa Cruz",,33.998239,-119.725508,"WGS84",20600,,"entan (2019-09-19 15:25:08)",,"georef batch tool 2019-09-19; GeoLocate","reviewed - high confidence",,0,,,,,,,,"entan","2/7/20 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:f20b6678-7968-438c-a560-0d19222bd112","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574324",,,
"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","Cal-IBIS",1568044,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:73fcb364-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116394",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,"J. P. Kramer",1984,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:d7af073e-2b6e-4416-a64c-b6615c8f7016","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568044",,,
"8","Cal-IBIS",1568045,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f4047268-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116395",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:abc61c0d-cc28-4028-821d-84e23547b085","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568045",,,
"9","Cal-IBIS",1568046,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f406ea66-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116396",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:bc503af5-3e6b-4b50-b90e-5f2386bfc879","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568046",,,
"10","Cal-IBIS",1568047,"UCR","TTD","University of California, Rivers","b81c83d7-8ea1-475b-8c94-327913979a87","PreservedSpecimen","urn:uuid:f4093cd0-9d21-11e4-8259-0026552be7ea","UCR_ENT 00116397",,"Animalia","Arthropoda","Insecta","Hemiptera","Cercopidae","Aphrophora permutata",100002,"Uhler, 1875","Aphrophora","permutata",,,,,,,,0,"None","R. D. Goeden and D. W. Ricker",,"4/16/83 0:00",1983,4,16,106,,"4/16/83",,,,,,,"associated with:Cirsium brevistylum",,,"Adult",,1,"Unknown",,,"UNITED STATES","California","Santa Barbara",,"Santa Cruz","Embudo, Santa Cruz Island","Santa Cruz",,34.04028,-119.84374,,0,,"GeoLocate Software",,,,"Uncertainty: 30045 m; Centrad; Geolocate 2015; Latitude, Longitude, and Uncertainty are all based only on Santa Cruz Island",0,,,,,,,,,"1/15/15 0:00","http://creativecommons.org/publicdomain/zero/1.0/",,,"urn:uuid:add5f0b9-9923-4686-9301-8ce3936ebc44","http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568047",,,
