"","record","source","place_guess","ArcMap_Name","latitude","longitude","positional_accuracy","public_positional_accuracy","geoprivacy","taxon_geoprivacy","coordinates_obscured","positioning_method","positioning_device","species_guess","scientificName","common_name","iconic_taxon_name","taxon_id","taxon_order_name","taxon_genus_name","taxon_species_name","taxon_subspecies_name","id","observed_o","n_string","X26","observed_on","month","year","time_obser","ved_at","X32","time_zone","user_login","created_at","updated_at","quality_grade","license","url","image_url","num_identification_agreements","num_identification_disagreements","captive_cultivated","oauth_application_id","OID_","acceptedName","acceptedFamily","acceptedGenus"
"1","occurrence","iNaturalist","Santa Barbara County, CA, USA","Santa Cruz",34.0222355,-119.8713326,90,90,,,FALSE,,,"Minute Pirate Bugs","Anthocoridae","Minute pirate bugs","Insecta",174592,"Hemiptera",,,,6382899,"5/19/2017","6:35 AM PDT",,"5/19/2017 0:00",5,2017,"5/19/2017",13:35:00,"UTC","Pacific Time (US & Canada)","silversea_starsong","2017-05-27 19:14:30 UTC","2017-05-31 03:32:37 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/6382899","https://inaturalist-open-data.s3.amazonaws.com/photos/8057301/medium.jpeg?1495911298",0,0,FALSE,,0,,,
"2","occurrence","iNaturalist","Santa Barbara County, CA, USA","Santa Cruz",34.0222355,-119.8713326,90,90,,,FALSE,,,"Cacopsylla curta","Cacopsylla curta",,"Insecta",533396,"Hemiptera","Cacopsylla","Cacopsylla curta",,6382900,"5/19/2017","6:36 AM PDT",,"5/19/2017 0:00",5,2017,"5/19/2017",13:36:00,"UTC","Pacific Time (US & Canada)","silversea_starsong","2017-05-27 19:14:30 UTC","2017-07-04 05:51:37 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/6382900","https://inaturalist-open-data.s3.amazonaws.com/photos/8057303/medium.jpeg?1495911301",1,0,FALSE,,0,,,
"3","occurrence","iNaturalist","Santa Barbara County, CA, USA","Santa Cruz",34.05418667,-119.8930617,,,,,FALSE,,,"Lemonade berry psyllid","Calophya californica","lemonade berry psyllid","Insecta",490520,"Hemiptera","Calophya","Calophya californica",,6384808,"5/19/2017","9:37 AM PDT",,"5/19/2017 0:00",5,2017,"5/19/2017",16:37:00,"UTC","Pacific Time (US & Canada)","silversea_starsong","2017-05-27 20:59:58 UTC","2017-07-04 05:39:47 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/6384808","https://inaturalist-open-data.s3.amazonaws.com/photos/8059803/medium.jpeg?1495918121",1,0,FALSE,,0,,,
"4","occurrence","iNaturalist","Santa Barbara County, CA, USA","Santa Cruz",34.04919,-119.8970517,,,,,FALSE,,,"Tortistilus","Tortistilus",,"Insecta",178787,"Hemiptera","Tortistilus",,,6389092,"5/19/2017","10:38 AM PDT",,"5/19/2017 0:00",5,2017,"5/19/2017",17:38:00,"UTC","Pacific Time (US & Canada)","silversea_starsong","2017-05-28 01:59:53 UTC","2021-02-09 21:57:17 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/6389092","https://inaturalist-open-data.s3.amazonaws.com/photos/8066265/medium.jpg?1495936188",1,0,FALSE,,0,,,
"5","occurrence","iNaturalist","Santa Barbara County, CA, USA","Santa Cruz",34.05087,-119.900175,,,,,FALSE,,,"Say's Stink Bug","Chlorochroa sayi","Say's Stink Bug","Insecta",84093,"Hemiptera","Chlorochroa","Chlorochroa sayi",,6390594,"5/19/2017","11:46 AM PDT",,"5/19/2017 0:00",5,2017,"5/19/2017",18:46:00,"UTC","Pacific Time (US & Canada)","silversea_starsong","2017-05-28 04:01:43 UTC","2019-07-12 13:12:25 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/6390594","https://inaturalist-open-data.s3.amazonaws.com/photos/8068382/medium.jpeg?1495944078",2,0,FALSE,,0,,,
"6","occurrence","iNaturalist","Santa Barbara County, CA, USA","Santa Cruz",34.04564884,-119.5681572,244,244,,,FALSE,,,"Scale Insects","Coccoidea","Scale Insects","Insecta",60922,"Hemiptera",,,,6422709,"5/24/2017","10:17 AM PDT",,"5/24/2017 0:00",5,2017,"5/24/2017",17:17:00,"UTC","Pacific Time (US & Canada)","tiyumq","2017-05-29 23:03:00 UTC","2017-07-29 06:23:13 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/6422709","https://inaturalist-open-data.s3.amazonaws.com/photos/8107620/medium.jpeg?1496097233",1,0,FALSE,,0,,,
"7","occurrence","iNaturalist","Santa Barbara County, CA, USA","Santa Cruz",34.04524275,-119.568243,122,122,,,FALSE,,,"Largus","Largus",,"Insecta",52985,"Hemiptera","Largus",,,6423073,"5/24/2017","10:11 AM PDT",,"5/24/2017 0:00",5,2017,"5/24/2017",17:11:00,"UTC","Pacific Time (US & Canada)","tiyumq","2017-05-29 23:29:25 UTC","2020-11-13 10:14:34 UTC","needs_id","CC-BY-NC","https://www.inaturalist.org/observations/6423073","https://inaturalist-open-data.s3.amazonaws.com/photos/8108932/medium.jpeg?1496100107",2,0,FALSE,,0,,,
"8","occurrence","iNaturalist","Los Angeles County, US-CA, US","Santa Catalina",33.37040749,-118.3549813,21,21,,,FALSE,,,"Stink Bugs","Euschistus",,"Insecta",70076,"Hemiptera","Euschistus",,,6632690,"6/13/2017","1:14:59 PM PDT",,"6/13/2017 0:00",6,2017,"6/13/2017",20:14:59,"UTC","Pacific Time (US & Canada)","bjdion","2017-06-13 23:37:49 UTC","2018-11-13 15:29:33 UTC","needs_id","CC-BY-NC-SA","https://www.inaturalist.org/observations/6632690","https://inaturalist-open-data.s3.amazonaws.com/photos/8420682/medium.jpeg?1497397185",1,0,FALSE,2,0,,,
"9","occurrence","iNaturalist","1–99 Cove Rd, Avalon, CA, US","Santa Catalina",33.46926645,-118.5343256,22,22,,,FALSE,,,"Okanagana catalina","Okanagana catalina",,"Insecta",176585,"Hemiptera","Okanagana","Okanagana catalina",,6819395,"Fri Jun 23","2017 11:03:04 GMT-0700","(PDT)","6/23/2017 0:00",6,2017,"6/23/2017",18:03:04,"UTC","Pacific Time (US & Canada)","emshaph","2017-06-27 05:57:58 UTC","2019-10-05 07:25:15 UTC","research","CC-BY-NC","https://www.inaturalist.org/observations/6819395","https://inaturalist-open-data.s3.amazonaws.com/photos/8680142/medium.jpg?1498543240",2,0,FALSE,3,0,"Okanagana catalina","Cicadidae","Okanagana"
"10","occurrence","iNaturalist","Channel Islands National Park, Channel Islands National Pk, CA, US","Santa Cruz",34.05079167,-119.557175,,,,,FALSE,,,"Scantius aegyptius","Scantius aegyptius","Mediterranean red bug","Insecta",209594,"Hemiptera","Scantius","Scantius aegyptius",,6848065,"Fri Jun 23","2017 11:25:34 GMT-0700","(PDT)","6/23/2017 0:00",6,2017,"6/23/2017",18:25:34,"UTC","Pacific Time (US & Canada)","bgfelder","2017-06-29 15:47:25 UTC","2020-12-03 13:49:30 UTC","research",,"https://www.inaturalist.org/observations/6848065","https://static.inaturalist.org/photos/8724229/medium.jpg?1498751252",3,0,FALSE,3,0,,,
