"","source","record","source_1","Institution Accession Number","Country","State","County","island","Locality Detail","Collector(s)","order","family","Subfamily","Genus","Subgenus","acceptedEpithet","Subspecies","scientificName","original_date","month","day_arabic","year","TO Date Collected","day_messy","month_messy","Drawer","Survey","Sex","Collecting Remarks","Type","Curation Remarks","Stage","Elevation","acceptedName","acceptedFamily","acceptedGenus"
"1","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz","Central Valley","C.D. Nagano","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","22.vi.1979",6,22,1979,"29.vi.1979",22,"vi","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"2","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz","Central Valley","C.D. Nagano","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","22.vi.1979",6,22,1979,"29.vi.1979",22,"vi","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"3","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Rosa",,,"Hemiptera","Gerridae",,"Gerris",,,,"Gerris","5.vii.1939",7,5,1939,,5,"vii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"4","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Los Angeles","San Clemente",,,"Hemiptera","Gerridae",,"Gerris",,,,"Gerris","4.iv.1939",4,4,1939,,4,"iv","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"5","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Los Angeles","San Clemente",,,"Hemiptera","Gerridae",,"Gerris",,,,"Gerris","4.iv.1939",4,4,1939,,4,"iv","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"6","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"7","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"8","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"9","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"10","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"11","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"12","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"13","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,,"Hemiptera","Gerridae",,"Gerris",,,,"Gerris","13.viii.1939",8,13,1939,,13,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
"14","LACM","occurrence","LACM","LACM ENT 380015","USA","CA","Santa Barbara","Santa Cruz",,"L.M. Martin","Hemiptera","Gerridae",,"Gerris",,,,"Gerris","16.viii.1939",8,16,1939,,16,"viii","26P-04614","Channel Islands Survey",,,,,,,,"Gerridae","Gerris"
