hemsp
Acanthophysa echinata?
Acizzia uncatoides
Acyrthosiphon pisum
Aleuroplatus coronata
Aleuroplatus gelatinosus
Allokermes ferrisi
Allokermes galliformis
Allokermes rattani
Alydus tomentosa
Amonostherium lichtensioides
Anisococcus adenostomae
Anisococcus quercus
Aphis armoraciae
Aphis rumicis
Atractotomus agrifoliae
Buenoa scimitra
Capitophorus elaeagni
Cavariella aegopodii
Ceroplastes cistudiformis
Chaetophylidea moerens
Chelinidea tabulata
Chelinidea vittiger
Chionaspis pinifoliae
Chlorochroa rossiana
Chorizococcus abroniae
Chrysomphalus aonidum
Cixius cultus
Closterocoris amoenus
Coccus hesperidum
Comstockiella sabalis
Coriomeris occidentalis
Corisella decolor
Corisella inscripta
Cryphula trimaculatus
Dactylopius opuntiae
Deltocephalus punctatus
Diaspis echinocacti
Discococcus simplex
Discococcus spectabilis
Distichlicoccus salinus
Dysmicoccus ryani
Ehrhornia cupressi
Emblethis bicarius
Emblethis vicarius
Empoasca abrupta
Eurygaster amerinda
Eurygaster shoshone
Ferrisia virgata
Gerris remigis
Graptocorixa uhleri
Heliococcus clemente
Hemiberlesia rapax
Heterococcus arenae
Insulaphylus cruz
Insulaphylus meridianus
Irbisia brachycera
Irbisia californica
Irbisia mollipes
Kleidocerys ovalis
Liorhyssus hyalinus
Lopidea nigridia
Lygus hesperus
Macroporus repetitus
Maculamiris insulanus
Melanopleurus fuscosus
Microvelia beameri
Miserococcus arenarius
Mistharnophantia sonorana
Murgantia histrionica
Mycetococcus ehrhorni
Myzocallis agrifolicola
Narnia femorata
Narnia inornata
Narnia pallidicornis
Neaethus vitripennis
Neortholomus scolopax
Nezara viridula
Notonecta kirbyi
Notonecta undulata
Notonecta unifasciata
Nysius raphanus
Okanagana catalina
Okanagana hirsuta
Okanagana vanduzeei
Orius harpocrates
Ozophora occidentalis
Paludicoccus di
Paludicoccus disticlium
Paratrioza lavaterae
Phenacoccus artemisiae
Phenacoccus colemani
Phenacoccus eriogoni
Phenacoccus eschscholtziae
Phenacoccus gossypii
Phenacoccus madeirensis
Phenacoccus solani
Phytocoris histriculus
Phytocoris insulatus
Polymerus uhleri
Porcellionides pruinosus
Prionosoma podopioides
Pseudococcus affinis
Pseudococcus beardsleyi
Pseudococcus longisetosus
Pseudococcus maritimus
Pseudococcus obscurus
Pseudococcus sp. nr. dispar
Puto yuccae
Quernocoris caliginosus
Radicoccus kelloggi
Rasahus biguttatus
Reticopsis udrobates
Rhizoecus bicirculus
Rhizoecus falcifer
Rhizoecus gracilis
Rhizoecus nakaharai
Rhizoecus subcyperalis
Saissetia oleae
Saldula comatula
Saldula pexa
Spilococcus corticosus
Spilococcus implicatus
Spilococcus keiferi
Spilococcus pressus
Tamalia coweni
Tetraleurodes mori
Thyanta custator accerra
Thyanta pallidovirens
Tiaja cruzensis
Tiaja insula
Tiaja interrupta
Trialeurodes drewsi
Trialeurodes vaporariorum
Tridiscus distichlii
Trionymus caricis
Trionymus frontalis
Trionymus smithii
Trionymus utahensis
Tuberculatus pallidus
Tuberculatus pallidus nymphus
Xerophloea peltata
