source,record,ORDER,acceptedOrder,FAMILY,acceptedFamily,GENUS,acceptedGenus,SPECIES,scientificName,acceptedName,DESCRIBER,YEAR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,MUSEUM,SOURCE,ANA,BAR,CAT,CLE,COR,CRU,GUA,MIG,NIC,ROS,NO,SO,COLLECTOR,MONTH,YRCOLL,NOSPEC,ECOLOGY,NOTES
Literature,Literature,Hemiptera,Hemiptera,Anthocoridae,Anthocoridae,Orius,Orius,harpocrates,Orius harpocrates,Orius harpocrates,Herring,1966,,S. E. Miller & Davis,1986,Psyche,92,550,,,,,,,,,,,,x,,,,,,0,,,found on Malacothrix,
Literature,Literature,Hemiptera,Hemiptera,Aradidae,Aradidae,Aradus,Aradus,,Aradus ,,,,MISID as aequalis,Uhler,1894,Proc. Calif. Acad. Sci. ser.2,4,281,,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,tabulata,Chelinidea tabulata,Chelinidea tabulata,(Burmeister),1834,,Goeden et al.,1967,Hilgardia,38,584,,,,,,,,,,x,,,,,,,,0,,,,"intro., est."
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,tabulata,Chelinidea tabulata,Chelinidea tabulata,(Burmeister),1834,,"Goeden, Fleschner et al.",1968,Calif. Agri.,22,8,-10,,,,,,,,,x,,,,,,,,0,,,"intr. to control prickly pear,",first successful introduction
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,tabulata,Chelinidea tabulata,Chelinidea tabulata,(Burmeister),1834,,Clausen,1978,"U.S. Dept. Agric., Agric.",480,369,,,,,,,,,,x,,,,,,,,0,,,intro. from Texas as biocontro,host: Opuntia
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,tabulata,Chelinidea tabulata,Chelinidea tabulata,(Burmeister),1834,,Herring,1980,Proc. Ent. Soc. Wash.,82,237,-251,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,vittiger,Chelinidea vittiger,Chelinidea vittiger,Uhler,1863,,Goeden et al.,1967,Hilgardia,38,585,,,,,,,,,,x,,,,,,,,0,,,,"intro., est."
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,vittiger,Chelinidea vittiger,Chelinidea vittiger,Uhler,1863,,"Goeden, Fleschner et al.",1968,Calif. Agri.,22,8,-10,,,,,,,,,x,,,,,,,,0,,,intr. to control prickly pear,"1945 attempt failed, est. 1961"
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,vittiger,Chelinidea vittiger,Chelinidea vittiger,Uhler,1863,,"De Vol, J. & Goeden, R.",1973,Environ. Ent.,2,231,-240,,,,,,,,,x,,,,,,,,,,,biology on Opuntia spp.,
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,vittiger,Chelinidea vittiger,Chelinidea vittiger,Uhler,1863,,Clausen,1978,"U.S. Dept. Agric., Agric.",480,369,,,,,,,,,,x,,,,,,,,0,,,intro. from Texas as biocontro,host: Opuntia
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,vittiger,Chelinidea vittiger,Chelinidea vittiger,Uhler,1863,,Clausen,1978,"U.S. Dept. Agric., Agric.",480,369,,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Chelinidea,Chelinidea,vittiger,Chelinidea vittiger,Chelinidea vittiger,Uhler,1863,,Herring,1980,Proc. Ent. Soc. Wash.,82,237,-251,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Coriomeris,Coriomeris,occidentalis,Coriomeris occidentalis,Coriomeris occidentalis,Dolling & Yonke,1976,,Dolling & Yonke,1976,Ann. Ent. Soc. Amer.,69,1147,-152,,,,,,,x,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Narnia,Narnia,femorata,Narnia femorata,Narnia femorata,Stal,1892,,Seavey,1892,Zoe,3,263,,,,,,,x,,,,,,,,,,Seavey,8,1892,,,
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Narnia,Narnia,inornata,Narnia inornata,Narnia inornata,Distant,1892,,Goeden et al.,1967,Hilgardia,38,583,,,,,,,,,,x,,,,,,,,0,,,,native
Literature,Literature,Hemiptera,Hemiptera,Coreidae,Coreidae,Narnia,Narnia,pallidocornis,Narnia pallidocornis,Narnia pallidicornis,Stal,1870,,"De Vol, J. & Goeden, R.",1973,Environ. Ent.,2,239,,,,,,,,,,x,,,,,,,,,,,,
Literature,Literature,Hemiptera,Hemiptera,Corixidae,Corixidae,Corisella,Corisella,decolor,Corisella decolor,Corisella decolor,(Uhler),1871,,Menke et al.,1979,Bull. Calif. Insect Survey,21,107,,,,map,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Corixidae,Corixidae,Corisella,Corisella,inscripta,Corisella inscripta,Corisella inscripta,(Uhler),1894,,Hungerford,1948,Univ. Kansas Sci. Bull.,32,1,-827,,,,,,,x,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Corixidae,Corixidae,Corisella,Corisella,inscripta,Corisella inscripta,Corisella inscripta,(Uhler),1894,,Menke et al.,1979,Bull. Calif. Insect Survey,21,107,,,,map,,,,x,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Corixidae,Corixidae,Graptocorixa,Graptocorixa,uhleri,Graptocorixa uhleri,Graptocorixa uhleri,(Hungerford),1925,,Hungerford,1930,Pan-Pac. Ent.,7,22,-26,,CAS,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Corixidae,Corixidae,Graptocorixa,Graptocorixa,uhleri,Graptocorixa uhleri,Graptocorixa uhleri,(Hungerford),1925,,Hungerford,1948,Univ. Kansas Sci. Bull.,32,1,-827,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Corixidae,Corixidae,Graptocorixa,Graptocorixa,uhleri,Graptocorixa uhleri,Graptocorixa uhleri,(Hungerford),1925,,Menke et al.,1979,Bull. Calif. Insect Survey,21,97,,,,map,,,,x,,,,,,,,,,0,,,,
