scientificName,acceptedName,acceptedFamily,acceptedGenus
Orius harpocrates,Orius harpocrates,Anthocoridae,Orius
Aradus ,,Aradidae,Aradus
Chelinidea tabulata,Chelinidea tabulata,Coreidae,Chelinidea
Chelinidea vittiger,Chelinidea vittiger,Coreidae,Chelinidea
Coriomeris occidentalis,Coriomeris occidentalis,Coreidae,Coriomeris
Narnia femorata,Narnia femorata,Coreidae,Narnia
Narnia inornata,Narnia inornata,Coreidae,Narnia
Narnia pallidocornis,Narnia pallidicornis,Coreidae,Narnia
Corisella decolor,Corisella decolor,Corixidae,Corisella
Corisella inscripta,Corisella inscripta,Corixidae,Corisella
Graptocorixa uhleri,Graptocorixa uhleri,Corixidae,Graptocorixa
Macroporus repetitius,Macroporus repetitus,Cydnidae,Macroporus
Aquarius remigis,Aquarius remigis,Gerridae,Aquarius
Cryphula trimaculatus,Cryphula trimaculatus,Lygaeidae,Cryphula
Emblethis vicarius,Emblethis vicarius,Lygaeidae,Emblethis
Kleidocerys ovalis,Kleidocerys ovalis,Lygaeidae,Kleidocerys
Lygaeus kalmii kalmii,Lygaeus kalmii,Lygaeidae,Lygaeus
Lygaeus ,,Lygaeidae,Lygaeus
Melanopleurus fuscosus,Melanopleurus fuscosus,Lygaeidae,Melanopleurus
Neortholomus scolopax,Neortholomus scolopax,Lygaeidae,Neortholomus
Nysius raphanus,Nysius raphanus,Lygaeidae,Nysius
Nysius ,,Lygaeidae,Nysius
Ozophora occidentalis,Ozophora occidentalis,Lygaeidae,Ozophora
Atractotomus agrifoliae,Atractotomus agrifoliae,Miridae,Atractotomus
Chaetophylidea moerens,Chaetophylidea moerens,Miridae,Chaetophylidea
Closterocoris amoenus,Closterocoris amoenus,Miridae,Closterocoris
Irbisia brachycera,Irbisia brachycera,Miridae,Irbisia
Irbisia californica,Irbisia californica,Miridae,Irbisia
Irbisia mollipes,Irbisia mollipes,Miridae,Irbisia
Irbisia ,,Miridae,Irbisia
Lopidea nigridia aculeata,Lopidea nigridia,Miridae,Lopidea
Lygus hesperus,Lygus hesperus,Miridae,Lygus
Phytocoris histriculus,Phytocoris histriculus,Miridae,Phytocoris
Phytocoris insulatus,Phytocoris insulatus,Miridae,Phytocoris
Polymerus uhleri,Polymerus uhleri,Miridae,Polymerus
Buenoa scimitra,Buenoa scimitra,Notonectidae,Buenoa
