scientificName,acceptedName,acceptedFamily,acceptedGenus
Achilidae,,Achilidae,
Acinopterus angulatus,,,
Agalliopsis,,,
Aleurodicus dugesii,,,
Aleyrodes spiraeoides,,,
Aleyrodidae,,Aleyrodidae,
Alydidae,,Alydidae,
Anasa,,,
Anasa tristis,,,
Anthocoridae,,Anthocoridae,
Anthocoris,,,
Anthocoris bakeri,,,
Aphididae,,Aphididae,
Aphidoidea,,,
Aphidomorpha,,,
Aphis,,,
Aphis craccivora,,,
Aphis nerii,,,
Aphrophora permutata,,,
Apiomerus californicus,,,
Atomoscelis onustus,,,
Auchenorrhyncha,,,
Bactericera lavaterae,,,
Bagrada hilaris,,,
Ballana,,,
Berytidae,,Berytidae,
Brachycaudus helichrysi,,,
Brachycaudus tragopogonis,,,
Braggia eriogoni,,,
Brevicoryne brassicae,,,
Brooksetta,,,
Brooksetta ferox,,,
Cacopsylla brevistigmata,,,
Cacopsylla curta,,,
Calinda,,,
Calinda collaris,,,
Calophya californica,,,
Calophya schini,,,
Catorhintha,,,
Catorhintha apicalis,,,
Ceratocapsus,,,
Cercopidae,,Cercopidae,
Cercopoidea,,,
Ceroplastes,,,
Ceroplastes sinensis,,,
Chaitophorus populialbae,,,
Chlorochroa,,,
Chlorochroa sayi,,,
Cicadellidae,,Cicadellidae,
Cicadidae,,Cicadidae,
Cicadomorpha,,,
Cimex lectularius,,,
Cimicomorpha,,,
Cixiidae,,Cixiidae,
Clastoptera,,,
Cloanthanus,,,
Closterotomus norwegicus,,,
Coccidae,,Coccidae,
Coccoidea,,,
Coreidae,,Coreidae,
Coreoidea,,,
Corixidae,,Corixidae,
Corythucha,,,
Corythucha incurvata,,,
Corythucha morrilli,,,
Cosmopepla conspicillaris,,,
Craspedolepta,,,
Craspedolepta martini,,,
Creontiades rubrinervis,,,
Cydnidae,,Cydnidae,
Dactylopiidae,,Dactylopiidae,
Dactylopius,,,
Danepteryx artemisiae,,,
Danepteryx barbarae,,,
Danepteryx robusta,,,
Deltocephalinae,,Cicadellidae,
Deraeocoris bullatus,,,
Deraeocoris cerachates,,,
Dikraneurini,,Cicadellidae,
Draeculacephala minerva,,,
Elicini,,Tropiduchidae,
Emesaya,,,
Emesinae,,Reduviidae,
Empicoris rubromaculatus,,,
Empoascini,,Cicadellidae,
Engytatus modestus,,,
Eucarazzia elegans,,,
Euglyptoneura,,,
Euphyllura olivina,,,
Europiella decolor,,,
Eurygaster,,,
Eurymelinae,,Cicadellidae,
Euscelis variegatus,,,
Euschistus,,,
Euschistus conspersus,,,
Friscanus,,,
Fulgoroidea,,,
Gardena elkinsi,,,
Geocoris,,,
Geocoris pallens,,,
Gerridae,,Gerridae,
Gerrini,,Gerridae,
