scientificName,acceptedName,acceptedFamily,acceptedGenus,,Sources:
Achilidae,,Achilidae,,,GBIF and Discover Life
Acinopterus angulatus,Acinopterus angulatus,Cicadellidae,Acinopterus,,
Agalliopsis,,Cicadellidae,Agalliopsis,,
Aleurodicus dugesii,Aleurodicus dugesii,Aleyrodidae,,,
Aleyrodes spiraeoides,Aleyrodes spiraeoides,Aleyrodidae,Aleyrodes,,
Aleyrodidae,,Aleyrodidae,,,
Alydidae,,Alydidae,,,
Anasa,,Coreidae,Anasa,,
Anasa tristis,Anasa tristis,Coreidae,Anasa,,
Anthocoridae,,Anthocoridae,,,
Anthocoris,,Anthocoridae,Anthocoris,,
Anthocoris bakeri,Anthocoris bakeri,Anthocoridae,Anthocoris,,
Aphididae,,Aphididae,,,
Aphidoidea,,,,,
Aphidomorpha,,,,,
Aphis,Aphis,Aphididae,Aphis,,
Aphis craccivora,Aphis craccivora,Aphididae,Aphis,,
Aphis nerii,Aphis nerii,Aphididae,Aphis,,
Aphrophora permutata,Aphrophora permutata,Aphrophoridae,Aphrophora,,
Apiomerus californicus,Apiomerus californicus,Reduviidae,Apiomerus,,
Atomoscelis onustus,Atomoscelis onustus,Miridae,Atomoscelis,,
Auchenorrhyncha,,,,,
Bactericera lavaterae,Bactericera lavaterae,Triozidae,Bactericera,,
Bagrada hilaris,Bagrada hilaris,Pentatomidae,Bagrada,,
Ballana,,Cicadellidae,Ballana,,
Berytidae,,Berytidae,,,
Brachycaudus helichrysi,Brachycaudus helichrysi,Aphididae,Brachycaudus,,
Brachycaudus tragopogonis,Brachycaudus tragopogonis,Aphididae,Brachycaudus,,
Braggia eriogoni,Braggia eriogoni,Aphididae,Braggia,,
Brevicoryne brassicae,Brevicoryne brassicae,Aphididae,Brevicoryne,,
Brooksetta,,Miridae,Brooksetta,,
Brooksetta ferox,Brooksetta ferox,Miridae,Brooksetta,,
Cacopsylla brevistigmata,Cacopsylla brevistigmata,Psyllidae,Cacopsylla,,
Cacopsylla curta,Cacopsylla curta,Psyllidae,Cacopsylla,,
Calinda,,Triozidae,Calinda,,
Calinda collaris,Calinda collaris,Triozidae,Calinda,,
Calophya californica,Calophya californica,Calophyidae,Calophya,,
Calophya schini,Calophya schini,Calophyidae,Calophya,,
Catorhintha,,Coreidae,Catorhintha,,
Catorhintha apicalis,Catorhintha apicalis,Coreidae,Catorhintha,,
Ceratocapsus,,Miridae,Ceratocapsus,,
Cercopidae,,Cercopidae,,,
Cercopoidea,,,,,
Ceroplastes,,Coccidae,Ceroplastes,,
Ceroplastes sinensis,Ceroplastes sinensis,Coccidae,Ceroplastes,,
Chaitophorus populialbae,Chaitophorus populialbae,Aphididae,Chaitophorus,,
Chlorochroa,,Pentatomidae,Chlorochroa,,
Chlorochroa sayi,Chlorochroa sayi,Pentatomidae,Chlorochroa,,
Cicadellidae,,Cicadellidae,,,
Cicadidae,,Cicadidae,,,
Cicadomorpha,,,,,
Cimex lectularius,Cimex lectularius,Cimicidae,Cimex,,
Cimicomorpha,,,,,
Cixiidae,,Cixiidae,,,
Clastoptera,,Clastopteridae,Clastoptera,,
Cloanthanus,,,,genus doubtful; no species,
Closterotomus norwegicus,Closterotomus norwegicus,Miridae,Closterotomus,,
Coccidae,,Coccidae,,,
Coccoidea,,,,,
Coreidae,,Coreidae,,,
Coreoidea,,,,,
Corixidae,,Corixidae,,,
Corythucha,,Tingidae,Corythucha,,
Corythucha incurvata,Corythucha incurvata,Tingidae,Corythucha,,
Corythucha morrilli,Corythucha morrilli,Tingidae,Corythucha,,
Cosmopepla conspicillaris,Cosmopepla conspicillaris,Pentatomidae,Cosmopepla,,
Craspedolepta,,Aphalaridae,Craspedolepta,,
Craspedolepta martini,Craspedolepta martini,Aphalaridae,Craspedolepta,,
Creontiades rubrinervis,Creontiades rubrinervis,Miridae,Creontiades,,
Cydnidae,,Cydnidae,,,
Dactylopiidae,,Dactylopiidae,,,
Dactylopius,,Dactylopiidae,Dactylopius,,
Danepteryx artemisiae,Danepteryx artemisiae,Tropiduchidae,Danepteryx,,
Danepteryx barbarae,Danepteryx barbarae,Tropiduchidae,Danepteryx,,
Danepteryx robusta,Danepteryx robusta,Tropiduchidae,Danepteryx,,
Deltocephalinae,,Cicadellidae,,,
Deraeocoris bullatus,Deraeocoris bullatus,Miridae,Deraeocoris,,
Deraeocoris cerachates,Deraeocoris cerachates,Miridae,Deraeocoris,,
Dikraneurini,,Cicadellidae,,,
Draeculacephala minerva,Draeculacephala minerva,Cicadellidae,Draeculacephala,,
Elicini,,Tropiduchidae,,,
Emesaya,,Reduviidae,Emesaya,,
Emesinae,,Reduviidae,,,
Empicoris rubromaculatus,Empicoris rubromaculatus,Reduviidae,Empicoris,,
Empoascini,,Cicadellidae,,,
