id,observed_o,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,oauth_appl,place_gues,latitude,longitude,ArcMap_IslandName,positional,public_pos,taxon_geop,coordinate,positionin,position_1,place_coun,species_gu,infraorder,suborder,superfamily,bee,family,subfamily,tribe,subtribe,genus ,subgenus,species,scientific,taxon_id,,
2971256,4/18/16,4/18/16 0:00, ,Pacific Time (US & Canada),213838,vireolanius,2016-04-19 02:50:05 UTC,2018-01-10 02:41:07 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2971256,https://inaturalist-open-data.s3.amazonaws.com/photos/3413260/medium.JPG?1461034208, , , ,1,0,0,"Eel Point, San Clemente Island, CA",32.918863,-118.543167,San Clemente,446,446, ,FALSE, , ,United States,Bembix,,,,,Crabronidae,,,,Bembix,,,Bembix,53067,,
2971327,4/18/16,4/18/16 0:00, ,Pacific Time (US & Canada),213838,vireolanius,2016-04-19 02:58:59 UTC,2021-02-15 07:19:31 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2971327,https://inaturalist-open-data.s3.amazonaws.com/photos/3413370/medium.JPG?1461034742, , , ,1,0,0,"Eel Point, San Clemente Island, CA",32.918863,-118.543167,San Clemente,446,446, ,FALSE, , ,United States,Ammophilinae,,,,,Sphecidae,,,,Ammophila,,,Ammophila,83951,,
2982758,Wed Apr 20 2016 07:41:07 GMT-0700 (PDT),4/20/16 0:00,2016-04-20 14:41:07 UTC,Pacific Time (US & Canada),213838,vireolanius,2016-04-20 17:13:45 UTC,2021-01-24 19:20:16 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/2982758,https://inaturalist-open-data.s3.amazonaws.com/photos/3429386/medium.jpg?1461172439, , , ,2,0,3,"San Clemente Island Naval Unde, Avalon, CA, US",32.92577639,-118.5234642,San Clemente,878,878, ,FALSE, , ,United States,Andrena,,,,Anthophila,Andrenidae,,,,Andrena,,,Andrena,57669,,
3458194,Tue Jun 14 2016 10:08:59 GMT-0700 (PDT),6/14/16 0:00,2016-06-14 17:08:59 UTC,Pacific Time (US & Canada),213838,vireolanius,2016-06-14 23:17:50 UTC,2019-07-23 09:00:18 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3458194,https://inaturalist-open-data.s3.amazonaws.com/photos/4013838/medium.jpg?1465946277, , ,ID by Korie Merrill,0,0,3,"San Clemente Island, Los Angeles County, US-CA, US",32.898726,-118.51594,San Clemente,13,13, ,FALSE, , ,United States,Carpenter and Sugar Ants,,,,,Formicidae,,,,Camponotus,,bakeri,Camponotus bakeri,68943,,
3817345,2016/08/04 4:02 PM PDT,8/4/16 0:00,2016-08-04 23:02:00 UTC,Pacific Time (US & Canada),213838,vireolanius,2016-08-07 00:49:25 UTC,2021-03-04 03:28:27 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/3817345,https://inaturalist-open-data.s3.amazonaws.com/photos/4462907/medium.jpg?1470530925, , , ,1,0,0,"Los Angeles County, CA, USA",32.99737711,-118.554036,San Clemente,563,563, ,FALSE, , ,United States,Prionyx,,,,,Sphecidae,,,,Prionyx,,,Prionyx,131029,,
5048327,2017/01/25 10:56 AM PST,1/25/17 0:00,2017-01-25 18:56:00 UTC,Pacific Time (US & Canada),195291,stephanomeria,2017-02-03 22:04:24 UTC,2019-01-10 03:06:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5048327,https://inaturalist-open-data.s3.amazonaws.com/photos/6186690/medium.jpeg?1486158908, , , ,1,0,0,"Los Angeles County, CA, USA",32.96935,-118.5286472,San Clemente,0,0, ,FALSE, , ,United States,Metallic Green Bees,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
5236857,Mon Mar 06 2017 09:08:32 GMT-0800 (PST),3/6/17 0:00,2017-03-06 17:08:32 UTC,Pacific Time (US & Canada),213838,vireolanius,2017-03-06 17:10:54 UTC,2021-01-23 22:15:10 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5236857,https://inaturalist-open-data.s3.amazonaws.com/photos/6475759/medium.jpg?1488820265, , , ,2,0,3,"Los Angeles County, US-CA, US",32.996027,-118.552104,San Clemente,55,55, ,FALSE, , ,United States,Enicospilus,,,,,Ichneumonidae,,,,Enicospilus,,,Enicospilus,143968,,
5708914,2017/04/14 3:30 PM PDT,4/14/17 0:00,2017-04-14 22:30:00 UTC,Pacific Time (US & Canada),213838,vireolanius,2017-04-15 02:29:38 UTC,2020-10-14 06:41:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5708914,https://inaturalist-open-data.s3.amazonaws.com/photos/7076518/medium.jpg?1492223356, , , ,3,1,0,"Los Angeles County, US-CA, US",33.014853,-118.604107,San Clemente,273,273, ,FALSE, ,manual,United States,Aporini,,,,,Pompilidae,,Aporini,,,,,Aporini,366840,,
5802714,2017/04/15 4:12 PM PDT,4/15/17 0:00,2017-04-15 23:12:00 UTC,Pacific Time (US & Canada),454320,roxanchicalo,2017-04-17 22:39:30 UTC,2018-01-27 10:01:27 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5802714,https://inaturalist-open-data.s3.amazonaws.com/photos/7212435/medium.jpeg?1492468560, , , ,1,0,0,"Los Angeles County, US-CA, US",32.89737997,-118.4710693,San Clemente,488,488, ,FALSE, , ,United States,Astata,,,,,Crabronidae,,,,Astata,,,Astata,250770,,
5802716,2017/04/14 3:42 PM PDT,4/14/17 0:00,2017-04-14 22:42:00 UTC,Pacific Time (US & Canada),454320,roxanchicalo,2017-04-17 22:39:31 UTC,2018-01-27 10:01:19 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5802716,https://inaturalist-open-data.s3.amazonaws.com/photos/7212392/medium.jpeg?1492468484, , , ,1,0,0,"Los Angeles County, CA, USA",32.88757827,-118.4638596,San Clemente,488,488, ,FALSE, , ,United States,Ammophila,,,,,Sphecidae,,,,Ammophila,,,Ammophila,83951,,
5828357,4/17/17 12:07,4/17/17 0:00,2017-04-17 19:07:00 UTC,Arizona,454320,roxanchicalo,2017-04-18 19:26:17 UTC,2021-02-08 23:24:47 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5828357,https://inaturalist-open-data.s3.amazonaws.com/photos/7249535/medium.jpeg?1492543200, , , ,3,1,0,"Los Angeles County, CA, USA",32.98095684,-118.5646774,San Clemente,915,915, ,FALSE, , ,United States,Wegwespen,,,,,Pompilidae,,,,,,,Pompilidae,54028,,
5840901,2017/04/18 1:23 PM PDT,4/18/17 0:00,2017-04-18 20:23:00 UTC,Pacific Time (US & Canada),221355,sci_nro,2017-04-19 01:52:31 UTC,2020-12-27 04:41:24 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/5840901,https://inaturalist-open-data.s3.amazonaws.com/photos/7267442/medium.jpeg?1492566529, , , ,1,0,0,"Los Angeles County, CA, USA",32.91846434,-118.4868622,San Clemente,1953,1953, ,FALSE, , ,United States,Cutworm Wasps,,,,,Sphecidae,,,,Podalonia,,,Podalonia,154665,,
6709866,2017/06/08 10:51 AM PDT,6/8/17 0:00,2017-06-08 17:51:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2017-06-18 22:41:37 UTC,2021-02-07 17:46:44 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6709866,https://inaturalist-open-data.s3.amazonaws.com/photos/8513103/medium.jpg?1497825457, , , ,4,0,0,"Los Angeles County, CA, USA",32.9042953,-118.4810139,San Clemente,764,764, ,FALSE, , ,United States,Diadasia,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,121512,,
9569168,2017/07/22 8:38 AM PDT,7/22/17 0:00,2017-07-22 15:38:00 UTC,Pacific Time (US & Canada),724795,jim_carretta,2018-01-23 03:38:33 UTC,2019-03-17 17:47:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9569168,https://inaturalist-open-data.s3.amazonaws.com/photos/13062186/medium.jpeg?1516678460, , ,"These stayed overnight on this grass stem at Mail Point, San Clemente Island.",2,0,0,"Los Angeles County, CA, USA",32.88630438,-118.5170713,San Clemente,130,130, ,FALSE, , ,United States,Texas Striped Sweat Bee,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,133797,,
