record,source,month_arabic,day_arabic,year,island,order,family,genus,acceptedGenus,specificEp,acceptedEpithet,scientificName,acceptedScientificName
occurrence,iNaturalist,4,18,2016,San Clemente,Hymenoptera ,Crabronidae,Bembix,Bembix,,,Bembix,Bembix
occurrence,iNaturalist,4,18,2016,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,20,2016,San Clemente,Hymenoptera ,Andrenidae,Andrena,Andrena,,,Andrena,Andrena
occurrence,iNaturalist,6,14,2016,San Clemente,Hymenoptera ,Formicidae,Camponotus,Camponotus,bakeri,bakeri,Camponotus bakeri,Camponotus bakeri
occurrence,iNaturalist,8,4,2016,San Clemente,Hymenoptera ,Sphecidae,Prionyx,Prionyx,,,Prionyx,Prionyx
occurrence,iNaturalist,1,25,2017,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,6,2017,San Clemente,Hymenoptera ,Ichneumonidae,Enicospilus,Enicospilus,,,Enicospilus,Enicospilus
occurrence,iNaturalist,4,14,2017,San Clemente,Hymenoptera ,Pompilidae,,,,,Aporini,Aporini
occurrence,iNaturalist,4,15,2017,San Clemente,Hymenoptera ,Crabronidae,Astata,Astata,,,Astata,Astata
occurrence,iNaturalist,4,14,2017,San Clemente,Hymenoptera ,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,17,2017,San Clemente,Hymenoptera ,Pompilidae,,,,,Pompilidae,Pompilidae
occurrence,iNaturalist,4,18,2017,San Clemente,Hymenoptera ,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,6,8,2017,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,7,22,2017,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,1,30,2018,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,15,2018,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,18,2018,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,18,2018,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,4,2018,San Clemente,Hymenoptera ,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,25,2018,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
