ORDER,FAMILY,GENUS,SPECIES,DESCRIBER,YEAR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,MUSEUM,SOURCE,ANA,BAR,CAT,CLE,COR,CRU,GUA,MIG,NIC,ROS,NO,SO,COLLECTOR,MONTH,YRCOLL,NOSPEC,ECOLOGY,NOTES
,,Solenotus,sp.,,,MISSPELLING?,Straughan,1982,"Tech. Rep., Allan Hancock, USC",6,379,,,,,,,,x,,,,,,,,,,0,,,,
Acari,Acaridae,Tyrophagus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Adamystidae,undetermined,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ameroseiidae,Epicriopsis,nr. palustris,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Anystidae,nr. Bechsteinia,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Aphelacaridae,Aphelacarus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Argasidae,Ornithodoros,megnini,(Duges),1884,as Otobius SYN,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,,,,,,,,,,x,,,,0,,,,
Acari,Argasidae,Ornithodoros,megnini,(Duges),1884,as Otobius SYN,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,23,-24,,,,,,,,,,,,,x,,,,0,,,,
Acari,Argasidae,Ornithodoros,talaje,(Guerin-Meneville),1849,,"Nuttall, Warburton, et al",1908,Ticks: Mon. Ixodoides,,59,-61,,,,,,,x,,,,,,,,,,0,,,,
Acari,Argasidae,Ornithodoros,talaje,(Guerin-Meneville),1849,,Banks,1908,"U.S. Dept. Agr., Bur. Ent.",15,1,-60,,,,,,,x,,,,,,,,,,0,,,,
Acari,Argasidae,Ornithodoros,talaje,(Guerin-Meneville),1849,,"Cox, Jahraus & Moore",1921,Pom Coll. J. Ent. & Zool.,13,23,-37,,,,,,,x,,,,,,,,,,0,,,,
Acari,Argasidae,Ornithodoros,talaje,(Guerin-Meneville),1849,,Aitken,1939,Pan-Pac. Ent.,15,12,,,,lit,,,,x,,,,,,,,,,0,,,,
Acari,Argasidae,Ornithodoros,talaje,(Guerin-Meneville),1849,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,20,,,,,,,,x,,,,,,,,,,0,,,,
Acari,Ascidae,Antennoseius,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ascidae,Gamasellodes,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Ascidae,Iphidozercon,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Ascidae,Zerconopsis,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Bdellidae,Bdella,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Bimichaeliidae,undetermined,sp.,,,as Pachygnathidae,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Brachychthoniidae,Eobrachychtonius,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Brachychthoniidae,Poecilochthonius,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Brachychthoniidae,Sellnickochthonius,sp. (zelawaiensis grp.),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Caeculidae,Caeculus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Caligonellidae,Caligonella,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Camerobiidae,Neophyllobius,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Camisiidae,Camisia,sp. (segnis grp.),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ceratozetidae,Ceratozetes,new sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Ceratozetidae,Ceratozetes,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Ceratozetidae,Chamobates,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Ceratozetidae,new gen.,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cheyletidae,Cheyletomorpha,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cheyletidae,Eucheyletia,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cheyletidae,Neoeucheyla,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cosmochthoniidae,Cosmochthonius,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cryptognathidae,Cryptognathus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ctenacaridae,Beklemishivia,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cunaxidae,Cunaxa,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cunaxidae,Cunaxoides,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Cunaxidae,Neocunaxoides,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Damaeidae,Epidamaeus,nr. longiseta,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Dermanyssidae,Dermanyssus,gallinae,(DeGeer),1778,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,Hirundo rustica,
Acari,Dermanyssidae,Railleitia,caprae,Lavoipierre & Larsen,1981,,Lavoipierre & Larsen,1981,Calif. Vet.,35,23,-24,,,,,,,x,,,,,,,,,,0,,,found on Capra hircus,
Acari,Eremaeidae,Eremaeus,stitkos,Higgins,1962,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Eremaeidae,Kartoeremaeus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Eriophyidae,Aceria,catalinae,Keifer,1962,,Keifer,1962,Eriophyid Studies,B-7,12,,,,,,,x,,,,,,,,,,,0,,,on Eriogonum giganteum,
Acari,Erythraeidae,Leptus,sp.,,,,Straughan,1982,"Tech. Rep., Allan Hancock, USC",6,378,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Erythraeidae,Leptus,sp.,,,,Straughan & Hadley,1980,The Calif. Isls.: Proc. Multi.,,392,,,,,,,x,,,,,,,,,,,0,,,,the Isthmus
Acari,Erythraeidae,Rhyncholophus,augustipes,Banks,1907,as gracilipes SYN,Banks,1904,Proc. Calif. Acad. Sci. ser.3,3,365,,,,,,,,,,,,,,x,,,Eisen,7,,,,
Acari,Erythraeidae,Rhyncholophus,augustipes,Banks,1907,=gracilipes HOM,Banks,1907,Proc. U.S. Natl. Mus.,32,595,-625,,,lit,,,,,,,,,,x,,,,0,,,,
Acari,Erythraeidae,Rhyncholophus,augustipes,Banks,1907,as gracilipes SYN,"Cox, Jahraus & Moore",1921,Pom Coll. J. Ent. & Zool.,13,23,-37,,,,,,,,,,,,,x,,,,0,,,,
Acari,Eupodidae,Eupodes,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Galumnidae,Galumna,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,169,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Glycyphagidae,,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Gymnodamaeidae,Gymnodamaeus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Gymnodamaeidae,Joshuella,sp. (nr. striata),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Halacaridae,Agaue,variabilis,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,,,,x,,,,,,,,,0,,,from intertidal algae,
Acari,Halacaridae,Agauopsis,curvata,Krantz,1973,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,,,,x,,,,,,,,,0,,,from intertidal algae,
Acari,Halacaridae,Agauopsis,filirostris,Macquitty,1983,,Macquitty,1983,Acarologia,24,59,-64,,,,,,,,x,,,,,,,,,0,,,marine,
Acari,Halacaridae,Agauopsis,filirostris,Macquitty,1983,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,,,,x,,,,,,,,,0,,,from intertidal algae,
Acari,Halacaridae,Copidognathus,ilsebartschi,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,,,,x,,,,,,,,,0,,,from intertital algae,
Acari,Halacaridae,Copidognathus,spinifer,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,,x,x,,,,,,,,,,0,,,found on ocean bottom,
Acari,Halacaridae,Halacarus,newelli,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,,x,x,,,,,,,,,,0,,,found on ocean bottom,
Acari,Haplochthonidae,Haplochthonius,variabilis,Wallwork,1972,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Haplozetidae,Peloribates,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Hermaniellidae,Hermaniella,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ichthyostomatogaster,Asternolaelaps,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ixodidae,Dermacentor,albipictus,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,33,,,,map,,,x,,,,,,,,,,,0,,,,
Acari,Ixodidae,Dermacentor,albipictus,(Packard),1869,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,Odocoileus hemionus as host,
Acari,Ixodidae,Dermacentor,albipictus,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,30,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Ixodidae,Haemaphysalis,leporispalustris,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,46,,,,,x,,,,,,,,,,,,,0,,,,
