"","source","month_arabic","day_arabic","year","island","order","family","genus","specificEp","scientificName"
"1","iNaturalist",4,18,2016,"San Clemente","Hymenoptera ","Crabronidae","Bembix","","Bembix"
"2","iNaturalist",4,18,2016,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"3","iNaturalist",4,20,2016,"San Clemente","Hymenoptera ","Andrenidae","Andrena","","Andrena"
"4","iNaturalist",6,14,2016,"San Clemente","Hymenoptera ","Formicidae","Camponotus","bakeri","Camponotus bakeri"
"5","iNaturalist",8,4,2016,"San Clemente","Hymenoptera ","Sphecidae","Prionyx","","Prionyx"
"6","iNaturalist",1,25,2017,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"7","iNaturalist",3,6,2017,"San Clemente","Hymenoptera ","Ichneumonidae","Enicospilus","","Enicospilus"
"8","iNaturalist",4,14,2017,"San Clemente","Hymenoptera ","Pompilidae","","","Aporini"
"9","iNaturalist",4,15,2017,"San Clemente","Hymenoptera ","Crabronidae","Astata","","Astata"
"10","iNaturalist",4,14,2017,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"11","iNaturalist",4,17,2017,"San Clemente","Hymenoptera ","Pompilidae","","","Pompilidae"
"12","iNaturalist",4,18,2017,"San Clemente","Hymenoptera ","Sphecidae","Podalonia","","Podalonia"
"13","iNaturalist",6,8,2017,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"14","iNaturalist",7,22,2017,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"15","iNaturalist",1,30,2018,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"16","iNaturalist",3,15,2018,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"17","iNaturalist",3,18,2018,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"18","iNaturalist",3,18,2018,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"19","iNaturalist",4,4,2018,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"20","iNaturalist",4,25,2018,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"21","iNaturalist",4,27,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"22","iNaturalist",4,27,2018,"San Clemente","Hymenoptera ","Apidae","Habropoda","depressa","Habropoda depressa"
"23","iNaturalist",4,28,2018,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"24","iNaturalist",4,28,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"25","iNaturalist",4,27,2018,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"26","iNaturalist",4,28,2018,"San Clemente","Hymenoptera ","Halictidae","Agapostemon","texanus","Agapostemon texanus"
"27","iNaturalist",4,28,2018,"San Clemente","Hymenoptera ","Ichneumonidae","","","Ichneumonidae"
"28","iNaturalist",4,28,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"29","iNaturalist",4,29,2018,"San Clemente","Hymenoptera ","Formicidae","Aphaenogaster","patruelis","Aphaenogaster patruelis"
"30","iNaturalist",4,27,2018,"San Clemente","Hymenoptera ","Formicidae","Monomorium","","Monomorium"
"31","iNaturalist",4,26,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"32","iNaturalist",5,12,2018,"San Clemente","Hymenoptera ","Formicidae","Camponotus","bakeri","Camponotus bakeri"
"33","iNaturalist",5,15,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"34","iNaturalist",5,13,2018,"San Clemente","Hymenoptera ","Apidae","Anthophora","urbana","Anthophora urbana"
"35","iNaturalist",6,22,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"36","iNaturalist",6,22,2018,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"37","iNaturalist",6,22,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"38","iNaturalist",6,22,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","bituberculata","Diadasia bituberculata"
"39","iNaturalist",7,6,2018,"San Clemente","Hymenoptera ","Sphecidae","Sceliphron","caementarium","Sceliphron caementarium"
"40","iNaturalist",7,9,2018,"San Clemente","Hymenoptera ","Formicidae","Linepithema","humile","Linepithema humile"
"41","iNaturalist",7,7,2018,"San Clemente","Hymenoptera "," ","","","Anthophila"
"42","iNaturalist",7,19,2018,"San Clemente","Hymenoptera ","Apidae","Diadasia","","Diadasia"
"43","iNaturalist",7,19,2018,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"44","iNaturalist",7,19,2018,"San Clemente","Hymenoptera ","Formicidae","","","Formicidae"
"45","iNaturalist",7,19,2018,"San Clemente","Hymenoptera "," ","","","Apoidea"
"46","iNaturalist",8,1,2018,"San Clemente","Hymenoptera ","Sphecidae","Sceliphron","caementarium","Sceliphron caementarium"
"47","iNaturalist",6,25,2016,"San Clemente","Hymenoptera ","Sphecidae","Podalonia","","Podalonia"
"48","iNaturalist",10,26,2018,"San Clemente","Hymenoptera ","Sphecidae","Sceliphron","caementarium","Sceliphron caementarium"
"49","iNaturalist",10,29,2018,"San Clemente","Hymenoptera ","Sphecidae","Ammophila","","Ammophila"
"50","iNaturalist",12,24,2018,"San Clemente","Hymenoptera ","Formicidae","Pheidole","","Pheidole"
"51","iNaturalist",1,4,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"52","iNaturalist",1,4,2019,"San Clemente","Hymenoptera ","Ichneumonidae","Ophion","","Ophion"
"53","iNaturalist",2,7,2019,"San Clemente","Hymenoptera ","Formicidae","Camponotus","","Camponotus"
