record,source,month,day,year,island,order,family,acceptedFamily,genus,acceptedGenus,specificEp,acceptedEpithet,scientificName,acceptedName
occurrence,iNaturalist,4,18,2016,San Clemente,Hymenoptera ,Crabronidae,Crabronidae,Bembix,Bembix,,,Bembix,Bembix
occurrence,iNaturalist,4,18,2016,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,20,2016,San Clemente,Hymenoptera ,Andrenidae,Andrenidae,Andrena,Andrena,,,Andrena,Andrena
occurrence,iNaturalist,6,14,2016,San Clemente,Hymenoptera ,Formicidae,Formicidae,Camponotus,Camponotus,bakeri,bakeri,Camponotus bakeri,Camponotus bakeri
occurrence,iNaturalist,8,4,2016,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Prionyx,Prionyx,,,Prionyx,Prionyx
occurrence,iNaturalist,1,25,2017,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,6,2017,San Clemente,Hymenoptera ,Ichneumonidae,Ichneumonidae,Enicospilus,Enicospilus,,,Enicospilus,Enicospilus
occurrence,iNaturalist,4,14,2017,San Clemente,Hymenoptera ,Pompilidae,Pompilidae,,,,,Aporini,Aporini
occurrence,iNaturalist,4,15,2017,San Clemente,Hymenoptera ,Crabronidae,Crabronidae,Astata,Astata,,,Astata,Astata
occurrence,iNaturalist,4,14,2017,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,4,17,2017,San Clemente,Hymenoptera ,Pompilidae,Pompilidae,,,,,Pompilidae,Pompilidae
occurrence,iNaturalist,4,18,2017,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,6,8,2017,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,7,22,2017,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,1,30,2018,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,15,2018,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,18,2018,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,3,18,2018,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,4,2018,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,25,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Habropoda,Habropoda,depressa,depressa,Habropoda depressa,Habropoda depressa
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Halictidae,Halictidae,Agapostemon,Agapostemon,texanus,texanus,Agapostemon texanus,Agapostemon texanus
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Ichneumonidae,Ichneumonidae,,,,,Ichneumonidae,Ichneumonidae
occurrence,iNaturalist,4,28,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,4,29,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,Aphaenogaster,Aphaenogaster,patruelis,patruelis,Aphaenogaster patruelis,Aphaenogaster patruelis
occurrence,iNaturalist,4,27,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,Monomorium,Monomorium,,,Monomorium,Monomorium
occurrence,iNaturalist,4,26,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,5,12,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,Camponotus,Camponotus,bakeri,bakeri,Camponotus bakeri,Camponotus bakeri
occurrence,iNaturalist,5,15,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,5,13,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Anthophora,Anthophora,urbana,urbana,Anthophora urbana,Anthophora urbana
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,6,22,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,bituberculata,bituberculata,Diadasia bituberculata,Diadasia bituberculata
occurrence,iNaturalist,7,6,2018,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Sceliphron,Sceliphron,caementarium,caementarium,Sceliphron caementarium,Sceliphron caementarium
occurrence,iNaturalist,7,9,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,Linepithema,Linepithema,humile,humile,Linepithema humile,Linepithema humile
occurrence,iNaturalist,7,7,2018,San Clemente,Hymenoptera , , ,,,,,Anthophila,Anthophila
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera ,Apidae,Apidae,Diadasia,Diadasia,,,Diadasia,Diadasia
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,7,19,2018,San Clemente,Hymenoptera , , ,,,,,Apoidea,Apoidea
occurrence,iNaturalist,8,1,2018,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Sceliphron,Sceliphron,caementarium,caementarium,Sceliphron caementarium,Sceliphron caementarium
occurrence,iNaturalist,6,25,2016,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,10,26,2018,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Sceliphron,Sceliphron,caementarium,caementarium,Sceliphron caementarium,Sceliphron caementarium
occurrence,iNaturalist,10,29,2018,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,12,24,2018,San Clemente,Hymenoptera ,Formicidae,Formicidae,Pheidole,Pheidole,,,Pheidole,Pheidole
occurrence,iNaturalist,1,4,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,1,4,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,2,7,2019,San Clemente,Hymenoptera ,Formicidae,Formicidae,Camponotus,Camponotus,,,Camponotus,Camponotus
occurrence,iNaturalist,2,10,2019,San Clemente,Hymenoptera ,Formicidae,Formicidae,,,,,Myrmicinae,Myrmicinae
occurrence,iNaturalist,2,28,2019,San Clemente,Hymenoptera ,Ichneumonidae,Ichneumonidae,Ophion,Ophion,,,Ophion,Ophion
occurrence,iNaturalist,3,7,2019,San Clemente,Hymenoptera ,Apidae,Apidae,Anthophora,Anthophora,edwardsii,edwardsii,Anthophora edwardsii,Anthophora edwardsii
occurrence,iNaturalist,3,7,2019,San Clemente,Hymenoptera ,Andrenidae,Andrenidae,Andrena,Andrena,,,Diandrena,Diandrena
occurrence,iNaturalist,1,6,2019,San Clemente,Hymenoptera ,Mutillidae,Mutillidae,Sphaeropthalma,Sphaeropthalma,unicolor,unicolor,Sphaeropthalma unicolor,Sphaeropthalma unicolor
occurrence,iNaturalist,3,2,2019,San Clemente,Hymenoptera ,Formicidae,Formicidae,Tapinoma,Tapinoma,sessile,sessile,Tapinoma sessile,Tapinoma sessile
occurrence,iNaturalist,3,14,2019,San Clemente,Hymenoptera ,Apidae,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,3,17,2019,San Clemente,Hymenoptera ,Apidae,Apidae,Anthophora,Anthophora,,,Anthophora,Anthophora
occurrence,iNaturalist,3,18,2019,San Clemente,Hymenoptera ,Formicidae,Formicidae,,,,,Formicidae,Formicidae
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Ammophila,Ammophila,,,Ammophila,Ammophila
occurrence,iNaturalist,3,26,2019,San Clemente,Hymenoptera ,Pompilidae,Pompilidae,,,,,Pompilidae,Pompilidae
occurrence,iNaturalist,3,27,2019,San Clemente,Hymenoptera ,Sphecidae,Sphecidae,Podalonia,Podalonia,,,Podalonia,Podalonia
occurrence,iNaturalist,3,21,2019,San Clemente,Hymenoptera ,Formicidae,Formicidae,Aphaenogaster,Aphaenogaster,patruelis,patruelis,Aphaenogaster patruelis,Aphaenogaster patruelis
