obs_num,observed_o,observed_1,user_id,quality_gr,place_gues,latitude,longitude,ArcMap_IslandName,month,day,year,infraorder,suborder,superfamily,bee,family,subfamily,tribe,subtribe,genus,subgenus,species,scientific,island
1,4/18/16,4/18/16 0:00,213838,needs_id,"Eel Point, San Clemente Island, CA",32.918863,-118.543167,San Clemente,4,18,2016,,,,,Crabronidae,,,,Bembix,,,Bembix,San Clemente
2,4/18/16,4/18/16 0:00,213838,needs_id,"Eel Point, San Clemente Island, CA",32.918863,-118.543167,San Clemente,4,18,2016,,,,,Sphecidae,,,,Ammophila,,,Ammophila,San Clemente
3,Wed Apr 20 2016 07:41:07 GMT-0700 (PDT),4/20/16 0:00,213838,needs_id,"San Clemente Island Naval Unde, Avalon, CA, US",32.92577639,-118.5234642,San Clemente,4,20,2016,,,,Anthophila,Andrenidae,,,,Andrena,,,Andrena,San Clemente
4,Tue Jun 14 2016 10:08:59 GMT-0700 (PDT),6/14/16 0:00,213838,needs_id,"San Clemente Island, Los Angeles County, US-CA, US",32.898726,-118.51594,San Clemente,6,14,2016,,,,,Formicidae,,,,Camponotus,,bakeri,Camponotus bakeri,San Clemente
5,2016/08/04 4:02 PM PDT,8/4/16 0:00,213838,needs_id,"Los Angeles County, CA, USA",32.99737711,-118.554036,San Clemente,8,4,2016,,,,,Sphecidae,,,,Prionyx,,,Prionyx,San Clemente
6,2017/01/25 10:56 AM PST,1/25/17 0:00,195291,needs_id,"Los Angeles County, CA, USA",32.96935,-118.5286472,San Clemente,1,25,2017,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
7,Mon Mar 06 2017 09:08:32 GMT-0800 (PST),3/6/17 0:00,213838,needs_id,"Los Angeles County, US-CA, US",32.996027,-118.552104,San Clemente,3,6,2017,,,,,Ichneumonidae,,,,Enicospilus,,,Enicospilus,San Clemente
8,2017/04/14 3:30 PM PDT,4/14/17 0:00,213838,needs_id,"Los Angeles County, US-CA, US",33.014853,-118.604107,San Clemente,4,14,2017,,,,,Pompilidae,,Aporini,,,,,Aporini,San Clemente
9,2017/04/15 4:12 PM PDT,4/15/17 0:00,454320,needs_id,"Los Angeles County, US-CA, US",32.89737997,-118.4710693,San Clemente,4,15,2017,,,,,Crabronidae,,,,Astata,,,Astata,San Clemente
10,2017/04/14 3:42 PM PDT,4/14/17 0:00,454320,needs_id,"Los Angeles County, CA, USA",32.88757827,-118.4638596,San Clemente,4,14,2017,,,,,Sphecidae,,,,Ammophila,,,Ammophila,San Clemente
11,4/17/17 12:07,4/17/17 0:00,454320,needs_id,"Los Angeles County, CA, USA",32.98095684,-118.5646774,San Clemente,4,17,2017,,,,,Pompilidae,,,,,,,Pompilidae,San Clemente
12,2017/04/18 1:23 PM PDT,4/18/17 0:00,221355,needs_id,"Los Angeles County, CA, USA",32.91846434,-118.4868622,San Clemente,4,18,2017,,,,,Sphecidae,,,,Podalonia,,,Podalonia,San Clemente
13,2017/06/08 10:51 AM PDT,6/8/17 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.9042953,-118.4810139,San Clemente,6,8,2017,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,San Clemente
14,2017/07/22 8:38 AM PDT,7/22/17 0:00,724795,research,"Los Angeles County, CA, USA",32.88630438,-118.5170713,San Clemente,7,22,2017,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
15,2018/01/30 8:29 AM PST,1/30/18 0:00,523703,needs_id,"Los Angeles County, CA, USA",32.8797854,-118.5082126,San Clemente,1,30,2018,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
16,Thu Mar 15 2018 10:39:20 GMT-0700 (PDT),3/15/18 0:00,266196,research,"San Clemente Island Underwater Range, , CA, US",32.9249661,-118.4939159,San Clemente,3,15,2018,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
17,Sun Mar 18 2018 12:13:07 GMT-0700 (PDT),3/18/18 0:00,213838,needs_id,"Los Angeles County, US-CA, US",32.8943964,-118.4512383,San Clemente,3,18,2018,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
18,Sun Mar 18 2018 12:15:26 GMT-0700 (PDT),3/18/18 0:00,213838,needs_id,"Los Angeles County, US-CA, US",32.89438119,-118.4512163,San Clemente,3,18,2018,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
19,Wed Apr 04 2018 09:35:51 GMT-0700 (PDT),4/4/18 0:00,266196,needs_id,"Los Angeles County, US-CA, US",32.91826945,-118.5020741,San Clemente,4,4,2018,,,,Anthophila,Halictidae,,,,Agapostemon,,texanus,Agapostemon texanus,San Clemente
20,Wed Apr 25 2018 12:36:29 GMT-0700 (PDT),4/25/18 0:00,887173,research,"Los Angeles County, US-CA, US",32.87888667,-118.4339917,San Clemente,4,25,2018,,,,Anthophila,Apidae,,,,Habropoda,,depressa,Habropoda depressa,San Clemente
21,2018/04/27 9:13 AM PDT,4/27/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.83978911,-118.379488,San Clemente,4,27,2018,,,,Anthophila,Apidae,,,,Diadasia,,,Diadasia,San Clemente
22,2018/04/27 9:41 AM PDT,4/27/18 0:00,23091,research,"Los Angeles County, CA, USA",32.84728866,-118.394165,San Clemente,4,27,2018,,,,Anthophila,Apidae,,,,Habropoda,,depressa,Habropoda depressa,San Clemente
23,2018/04/28 12:06 PM PDT,4/28/18 0:00,23091,needs_id,"Los Angeles County, CA, USA",32.97498817,-118.5387564,San Clemente,4,28,2018,,,,,Formicidae,,,,,,,Formicidae,San Clemente
